CNAME:,HONEYWELL INTERNATIONAL INC
Google Trends Search Term:,honeywell
Google Trends Suggestion:,multinational conglomerate company
Google Trends URL:,/m/01gx66
Year,Month,SVI Data
2004,Jan,91
2004,Feb,81
2004,Mar,90
2004,Apr,76
2004,May,71
2004,Jun,86
2004,Jul,76
2004,Aug,78
2004,Sep,76
2004,Oct,87
2004,Nov,87
2004,Dec,88
2005,Jan,100
2005,Feb,79
2005,Mar,73
2005,Apr,76
2005,May,79
2005,Jun,73
2005,Jul,77
2005,Aug,68
2005,Sep,69
2005,Oct,87
2005,Nov,91
2005,Dec,81
2006,Jan,79
2006,Feb,77
2006,Mar,73
2006,Apr,61
2006,May,74
2006,Jun,78
2006,Jul,69
2006,Aug,70
2006,Sep,74
2006,Oct,86
2006,Nov,69
2006,Dec,66
2007,Jan,80
2007,Feb,77
2007,Mar,62
2007,Apr,63
2007,May,62
2007,Jun,69
2007,Jul,62
2007,Aug,69
2007,Sep,64
2007,Oct,70
2007,Nov,71
2007,Dec,66
2008,Jan,73
2008,Feb,67
2008,Mar,66
2008,Apr,62
2008,May,52
2008,Jun,65
2008,Jul,61
2008,Aug,61
2008,Sep,58
2008,Oct,73
2008,Nov,66
2008,Dec,60
2009,Jan,63
2009,Feb,57
2009,Mar,55
2009,Apr,50
2009,May,46
2009,Jun,52
2009,Jul,53
2009,Aug,49
2009,Sep,50
2009,Oct,58
2009,Nov,51
2009,Dec,56
2010,Jan,53
2010,Feb,50
2010,Mar,50
2010,Apr,45
2010,May,45
2010,Jun,49
2010,Jul,47
2010,Aug,48
2010,Sep,46
2010,Oct,55
2010,Nov,57
2010,Dec,56
2011,Jan,56
2011,Feb,54
2011,Mar,50
2011,Apr,46
2011,May,45
2011,Jun,49
2011,Jul,46
2011,Aug,51
2011,Sep,47
2011,Oct,50
2011,Nov,46
2011,Dec,44
2012,Jan,52
2012,Feb,47
2012,Mar,41
2012,Apr,42
2012,May,42
2012,Jun,43
2012,Jul,39
2012,Aug,39
2012,Sep,39
2012,Oct,47
2012,Nov,45
2012,Dec,37
2013,Jan,44
2013,Feb,37
2013,Mar,36
2013,Apr,37
2013,May,37
2013,Jun,36
2013,Jul,37
2013,Aug,35
2013,Sep,36
2013,Oct,41
2013,Nov,37
2013,Dec,37
2014,Jan,40
2014,Feb,39
2014,Mar,35
2014,Apr,34
2014,May,37
2014,Jun,34
2014,Jul,36
2014,Aug,33
2014,Sep,35
2014,Oct,39
2014,Nov,39
2014,Dec,34
2015,Jan,37
2015,Feb,35
2015,Mar,34
2015,Apr,31
2015,May,33
2015,Jun,39
2015,Jul,37
2015,Aug,36
2015,Sep,35
2015,Oct,37
2015,Nov,35
2015,Dec,31
2016,Jan,34
2016,Feb,38
2016,Mar,34
2016,Apr,31
2016,May,30
2016,Jun,33
2016,Jul,32
2016,Aug,33
2016,Sep,33
2016,Oct,36
2016,Nov,34
2016,Dec,33
2017,Jan,36
2017,Feb,33
2017,Mar,34
2017,Apr,33
2017,May,34
2017,Jun,36
2017,Jul,32
2017,Aug,37
2017,Sep,33
2017,Oct,41
2017,Nov,36
2017,Dec,32
2018,Jan,39
2018,Feb,36
2018,Mar,33
2018,Apr,32
2018,May,32
2018,Jun,33
2018,Jul,35
2018,Aug,35
2018,Sep,34
2018,Oct,40
2018,Nov,35
2018,Dec,33
2019,Jan,37
2019,Feb,37
2019,Mar,33
2019,Apr,36
2019,May,35
2019,Jun,36
2019,Jul,37
2019,Aug,34
2019,Sep,34
2019,Oct,36
2019,Nov,32
2019,Dec,28
2020,Jan,34
2020,Feb,35
2020,Mar,49
2020,Apr,37
2020,May,43
2020,Jun,39
2020,Jul,38
2020,Aug,38
2020,Sep,31
2020,Oct,33
2020,Nov,31
2020,Dec,30
2021,Jan,29
2021,Feb,33
2021,Mar,29
2021,Apr,31
2021,May,31
2021,Jun,32
2021,Jul,31
2021,Aug,31
2021,Sep,31
2021,Oct,31
2021,Nov,31
2021,Dec,28
2022,Jan,33
2022,Feb,33
2022,Mar,33
