CNAME:,GENERAL MOTORS CO
Google Trends Search Term:,general motors
Google Trends Suggestion:,automotive manufacturer
Google Trends URL:,/m/035nm
Year,Month,SVI Data
2004,Jan,50
2004,Feb,49
2004,Mar,48
2004,Apr,47
2004,May,44
2004,Jun,45
2004,Jul,48
2004,Aug,46
2004,Sep,48
2004,Oct,44
2004,Nov,40
2004,Dec,42
2005,Jan,47
2005,Feb,43
2005,Mar,47
2005,Apr,50
2005,May,52
2005,Jun,71
2005,Jul,59
2005,Aug,51
2005,Sep,43
2005,Oct,45
2005,Nov,49
2005,Dec,43
2006,Jan,45
2006,Feb,44
2006,Mar,47
2006,Apr,44
2006,May,42
2006,Jun,42
2006,Jul,43
2006,Aug,39
2006,Sep,41
2006,Oct,37
2006,Nov,36
2006,Dec,35
2007,Jan,37
2007,Feb,40
2007,Mar,38
2007,Apr,34
2007,May,36
2007,Jun,35
2007,Jul,37
2007,Aug,35
2007,Sep,44
2007,Oct,36
2007,Nov,33
2007,Dec,31
2008,Jan,33
2008,Feb,34
2008,Mar,32
2008,Apr,35
2008,May,34
2008,Jun,43
2008,Jul,45
2008,Aug,46
2008,Sep,38
2008,Oct,62
2008,Nov,78
2008,Dec,65
2009,Jan,44
2009,Feb,47
2009,Mar,58
2009,Apr,68
2009,May,100
2009,Jun,86
2009,Jul,54
2009,Aug,42
2009,Sep,34
2009,Oct,30
2009,Nov,29
2009,Dec,31
2010,Jan,34
2010,Feb,30
2010,Mar,36
2010,Apr,37
2010,May,28
2010,Jun,29
2010,Jul,27
2010,Aug,32
2010,Sep,26
2010,Oct,27
2010,Nov,46
2010,Dec,24
2011,Jan,31
2011,Feb,33
2011,Mar,32
2011,Apr,29
2011,May,29
2011,Jun,29
2011,Jul,29
2011,Aug,28
2011,Sep,29
2011,Oct,27
2011,Nov,26
2011,Dec,25
2012,Jan,28
2012,Feb,32
2012,Mar,28
2012,Apr,27
2012,May,28
2012,Jun,28
2012,Jul,28
2012,Aug,30
2012,Sep,30
2012,Oct,28
2012,Nov,24
2012,Dec,25
2013,Jan,28
2013,Feb,26
2013,Mar,26
2013,Apr,25
2013,May,25
2013,Jun,25
2013,Jul,27
2013,Aug,25
2013,Sep,24
2013,Oct,24
2013,Nov,24
2013,Dec,26
2014,Jan,27
2014,Feb,30
2014,Mar,37
2014,Apr,41
2014,May,37
2014,Jun,40
2014,Jul,38
2014,Aug,29
2014,Sep,30
2014,Oct,32
2014,Nov,29
2014,Dec,26
2015,Jan,30
2015,Feb,28
2015,Mar,29
2015,Apr,28
2015,May,28
2015,Jun,29
2015,Jul,31
2015,Aug,29
2015,Sep,30
2015,Oct,32
2015,Nov,29
2015,Dec,25
2016,Jan,28
2016,Feb,30
2016,Mar,27
2016,Apr,28
2016,May,27
2016,Jun,27
2016,Jul,26
2016,Aug,26
2016,Sep,26
2016,Oct,25
2016,Nov,25
2016,Dec,25
2017,Jan,28
2017,Feb,27
2017,Mar,28
2017,Apr,27
2017,May,27
2017,Jun,27
2017,Jul,26
2017,Aug,27
2017,Sep,25
2017,Oct,27
2017,Nov,23
2017,Dec,23
2018,Jan,26
2018,Feb,26
2018,Mar,26
2018,Apr,26
2018,May,23
2018,Jun,25
2018,Jul,26
2018,Aug,25
2018,Sep,24
2018,Oct,25
2018,Nov,40
2018,Dec,29
2019,Jan,27
2019,Feb,29
2019,Mar,27
2019,Apr,25
2019,May,26
2019,Jun,25
2019,Jul,25
2019,Aug,24
2019,Sep,51
2019,Oct,60
2019,Nov,25
2019,Dec,23
2020,Jan,26
2020,Feb,27
2020,Mar,36
2020,Apr,28
2020,May,26
2020,Jun,25
2020,Jul,25
2020,Aug,27
2020,Sep,27
2020,Oct,27
2020,Nov,27
2020,Dec,25
2021,Jan,35
2021,Feb,36
2021,Mar,31
2021,Apr,29
2021,May,26
2021,Jun,27
2021,Jul,27
2021,Aug,27
2021,Sep,25
2021,Oct,25
2021,Nov,26
2021,Dec,24
2022,Jan,27
2022,Feb,30
2022,Mar,28
