CNAME:,GOODRX HOLDINGS INC
Google Trends Search Term:,goodrx
Google Trends Suggestion:,company
Google Trends URL:,/g/11df0pkp5v
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,1
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,0
2011,Jan,0
2011,Feb,0
2011,Mar,0
2011,Apr,0
2011,May,0
2011,Jun,0
2011,Jul,0
2011,Aug,0
2011,Sep,0
2011,Oct,0
2011,Nov,0
2011,Dec,0
2012,Jan,0
2012,Feb,0
2012,Mar,0
2012,Apr,0
2012,May,1
2012,Jun,0
2012,Jul,0
2012,Aug,0
2012,Sep,0
2012,Oct,1
2012,Nov,1
2012,Dec,1
2013,Jan,2
2013,Feb,1
2013,Mar,4
2013,Apr,2
2013,May,2
2013,Jun,2
2013,Jul,3
2013,Aug,2
2013,Sep,3
2013,Oct,3
2013,Nov,4
2013,Dec,4
2014,Jan,4
2014,Feb,5
2014,Mar,5
2014,Apr,5
2014,May,5
2014,Jun,5
2014,Jul,6
2014,Aug,5
2014,Sep,6
2014,Oct,5
2014,Nov,8
2014,Dec,8
2015,Jan,9
2015,Feb,9
2015,Mar,10
2015,Apr,8
2015,May,9
2015,Jun,12
2015,Jul,13
2015,Aug,13
2015,Sep,14
2015,Oct,14
2015,Nov,15
2015,Dec,14
2016,Jan,16
2016,Feb,16
2016,Mar,14
2016,Apr,14
2016,May,15
2016,Jun,18
2016,Jul,20
2016,Aug,20
2016,Sep,18
2016,Oct,21
2016,Nov,22
2016,Dec,21
2017,Jan,30
2017,Feb,28
2017,Mar,29
2017,Apr,22
2017,May,24
2017,Jun,24
2017,Jul,25
2017,Aug,27
2017,Sep,24
2017,Oct,30
2017,Nov,32
2017,Dec,38
2018,Jan,52
2018,Feb,51
2018,Mar,45
2018,Apr,42
2018,May,42
2018,Jun,43
2018,Jul,44
2018,Aug,47
2018,Sep,44
2018,Oct,49
2018,Nov,51
2018,Dec,53
2019,Jan,67
2019,Feb,70
2019,Mar,67
2019,Apr,62
2019,May,64
2019,Jun,66
2019,Jul,68
2019,Aug,72
2019,Sep,70
2019,Oct,78
2019,Nov,76
2019,Dec,80
2020,Jan,100
2020,Feb,99
2020,Mar,82
2020,Apr,66
2020,May,62
2020,Jun,68
2020,Jul,68
2020,Aug,73
2020,Sep,78
2020,Oct,77
2020,Nov,69
2020,Dec,72
2021,Jan,81
2021,Feb,75
2021,Mar,73
2021,Apr,69
2021,May,62
2021,Jun,62
2021,Jul,63
2021,Aug,67
2021,Sep,68
2021,Oct,66
2021,Nov,72
2021,Dec,71
2022,Jan,93
2022,Feb,87
2022,Mar,83
