CNAME:,GAP INC
Google Trends Search Term:,gap inc
Google Trends Suggestion:,clothing retail company
Google Trends URL:,/m/01yfp7
Year,Month,SVI Data
2004,Jan,54
2004,Feb,45
2004,Mar,54
2004,Apr,54
2004,May,57
2004,Jun,51
2004,Jul,51
2004,Aug,61
2004,Sep,60
2004,Oct,63
2004,Nov,72
2004,Dec,81
2005,Jan,55
2005,Feb,51
2005,Mar,55
2005,Apr,54
2005,May,53
2005,Jun,51
2005,Jul,50
2005,Aug,64
2005,Sep,76
2005,Oct,69
2005,Nov,80
2005,Dec,93
2006,Jan,53
2006,Feb,50
2006,Mar,52
2006,Apr,52
2006,May,50
2006,Jun,48
2006,Jul,54
2006,Aug,66
2006,Sep,73
2006,Oct,88
2006,Nov,91
2006,Dec,100
2007,Jan,64
2007,Feb,64
2007,Mar,70
2007,Apr,61
2007,May,60
2007,Jun,56
2007,Jul,56
2007,Aug,65
2007,Sep,66
2007,Oct,82
2007,Nov,96
2007,Dec,95
2008,Jan,65
2008,Feb,59
2008,Mar,60
2008,Apr,59
2008,May,57
2008,Jun,53
2008,Jul,54
2008,Aug,61
2008,Sep,64
2008,Oct,71
2008,Nov,86
2008,Dec,85
2009,Jan,57
2009,Feb,52
2009,Mar,59
2009,Apr,52
2009,May,51
2009,Jun,50
2009,Jul,55
2009,Aug,62
2009,Sep,64
2009,Oct,81
2009,Nov,85
2009,Dec,85
2010,Jan,54
2010,Feb,51
2010,Mar,60
2010,Apr,51
2010,May,51
2010,Jun,48
2010,Jul,48
2010,Aug,60
2010,Sep,55
2010,Oct,85
2010,Nov,82
2010,Dec,75
2011,Jan,56
2011,Feb,57
2011,Mar,62
2011,Apr,57
2011,May,55
2011,Jun,53
2011,Jul,54
2011,Aug,58
2011,Sep,63
2011,Oct,67
2011,Nov,80
2011,Dec,76
2012,Jan,52
2012,Feb,54
2012,Mar,63
2012,Apr,61
2012,May,57
2012,Jun,53
2012,Jul,57
2012,Aug,63
2012,Sep,66
2012,Oct,66
2012,Nov,85
2012,Dec,73
2013,Jan,56
2013,Feb,55
2013,Mar,62
2013,Apr,56
2013,May,59
2013,Jun,53
2013,Jul,56
2013,Aug,61
2013,Sep,59
2013,Oct,64
2013,Nov,81
2013,Dec,75
2014,Jan,52
2014,Feb,50
2014,Mar,55
2014,Apr,53
2014,May,53
2014,Jun,49
2014,Jul,51
2014,Aug,54
2014,Sep,55
2014,Oct,56
2014,Nov,74
2014,Dec,66
2015,Jan,45
2015,Feb,41
2015,Mar,47
2015,Apr,45
2015,May,49
2015,Jun,48
2015,Jul,49
2015,Aug,53
2015,Sep,51
2015,Oct,52
2015,Nov,67
2015,Dec,60
2016,Jan,43
2016,Feb,42
2016,Mar,45
2016,Apr,43
2016,May,45
2016,Jun,42
2016,Jul,43
2016,Aug,45
2016,Sep,45
2016,Oct,46
2016,Nov,62
2016,Dec,54
2017,Jan,37
2017,Feb,39
2017,Mar,39
2017,Apr,39
2017,May,40
2017,Jun,38
2017,Jul,39
2017,Aug,43
2017,Sep,43
2017,Oct,43
2017,Nov,62
2017,Dec,52
2018,Jan,36
2018,Feb,37
2018,Mar,37
2018,Apr,37
2018,May,38
2018,Jun,37
2018,Jul,36
2018,Aug,38
2018,Sep,40
2018,Oct,42
2018,Nov,58
2018,Dec,47
2019,Jan,33
2019,Feb,32
2019,Mar,35
2019,Apr,34
2019,May,35
2019,Jun,33
2019,Jul,34
2019,Aug,36
2019,Sep,34
2019,Oct,37
2019,Nov,46
2019,Dec,44
2020,Jan,29
2020,Feb,29
2020,Mar,25
2020,Apr,29
2020,May,37
2020,Jun,42
2020,Jul,36
2020,Aug,33
2020,Sep,35
2020,Oct,38
2020,Nov,44
2020,Dec,42
2021,Jan,28
2021,Feb,26
2021,Mar,31
2021,Apr,30
2021,May,31
2021,Jun,32
2021,Jul,29
2021,Aug,32
2021,Sep,37
2021,Oct,39
2021,Nov,49
2021,Dec,43
2022,Jan,32
2022,Feb,30
2022,Mar,31
