CNAME:,KELLOGG CO
Google Trends Search Term:,kellogg's
Google Trends Suggestion:,company
Google Trends URL:,/m/02nh0x
Year,Month,SVI Data
2004,Jan,76
2004,Feb,77
2004,Mar,76
2004,Apr,74
2004,May,74
2004,Jun,68
2004,Jul,70
2004,Aug,67
2004,Sep,60
2004,Oct,75
2004,Nov,80
2004,Dec,69
2005,Jan,77
2005,Feb,71
2005,Mar,66
2005,Apr,71
2005,May,69
2005,Jun,67
2005,Jul,66
2005,Aug,66
2005,Sep,67
2005,Oct,68
2005,Nov,62
2005,Dec,57
2006,Jan,71
2006,Feb,61
2006,Mar,64
2006,Apr,69
2006,May,63
2006,Jun,93
2006,Jul,65
2006,Aug,66
2006,Sep,70
2006,Oct,67
2006,Nov,56
2006,Dec,55
2007,Jan,58
2007,Feb,62
2007,Mar,53
2007,Apr,60
2007,May,53
2007,Jun,52
2007,Jul,49
2007,Aug,53
2007,Sep,62
2007,Oct,61
2007,Nov,49
2007,Dec,50
2008,Jan,59
2008,Feb,59
2008,Mar,55
2008,Apr,54
2008,May,53
2008,Jun,46
2008,Jul,48
2008,Aug,48
2008,Sep,49
2008,Oct,54
2008,Nov,48
2008,Dec,45
2009,Jan,78
2009,Feb,88
2009,Mar,64
2009,Apr,53
2009,May,54
2009,Jun,53
2009,Jul,50
2009,Aug,54
2009,Sep,52
2009,Oct,51
2009,Nov,50
2009,Dec,43
2010,Jan,50
2010,Feb,50
2010,Mar,45
2010,Apr,40
2010,May,40
2010,Jun,75
2010,Jul,50
2010,Aug,42
2010,Sep,40
2010,Oct,43
2010,Nov,42
2010,Dec,39
2011,Jan,53
2011,Feb,47
2011,Mar,53
2011,Apr,59
2011,May,59
2011,Jun,66
2011,Jul,58
2011,Aug,50
2011,Sep,46
2011,Oct,53
2011,Nov,46
2011,Dec,39
2012,Jan,43
2012,Feb,48
2012,Mar,41
2012,Apr,45
2012,May,57
2012,Jun,42
2012,Jul,41
2012,Aug,48
2012,Sep,46
2012,Oct,53
2012,Nov,41
2012,Dec,34
2013,Jan,40
2013,Feb,40
2013,Mar,35
2013,Apr,34
2013,May,34
2013,Jun,38
2013,Jul,37
2013,Aug,40
2013,Sep,36
2013,Oct,39
2013,Nov,38
2013,Dec,30
2014,Jan,37
2014,Feb,37
2014,Mar,37
2014,Apr,40
2014,May,38
2014,Jun,35
2014,Jul,36
2014,Aug,34
2014,Sep,36
2014,Oct,37
2014,Nov,32
2014,Dec,27
2015,Jan,34
2015,Feb,35
2015,Mar,35
2015,Apr,34
2015,May,29
2015,Jun,29
2015,Jul,29
2015,Aug,31
2015,Sep,31
2015,Oct,31
2015,Nov,32
2015,Dec,29
2016,Jan,45
2016,Feb,42
2016,Mar,57
2016,Apr,42
2016,May,42
2016,Jun,49
2016,Jul,41
2016,Aug,52
2016,Sep,52
2016,Oct,46
2016,Nov,41
2016,Dec,66
2017,Jan,40
2017,Feb,47
2017,Mar,42
2017,Apr,37
2017,May,38
2017,Jun,37
2017,Jul,34
2017,Aug,37
2017,Sep,36
2017,Oct,45
2017,Nov,36
2017,Dec,35
2018,Jan,37
2018,Feb,37
2018,Mar,36
2018,Apr,37
2018,May,33
2018,Jun,43
2018,Jul,38
2018,Aug,37
2018,Sep,39
2018,Oct,37
2018,Nov,37
2018,Dec,32
2019,Jan,35
2019,Feb,35
2019,Mar,35
2019,Apr,36
2019,May,32
2019,Jun,32
2019,Jul,33
2019,Aug,39
2019,Sep,35
2019,Oct,38
2019,Nov,31
2019,Dec,29
2020,Jan,31
2020,Feb,33
2020,Mar,29
2020,Apr,32
2020,May,31
2020,Jun,32
2020,Jul,34
2020,Aug,37
2020,Sep,34
2020,Oct,31
2020,Nov,26
2020,Dec,27
2021,Jan,30
2021,Feb,32
2021,Mar,31
2021,Apr,28
2021,May,34
2021,Jun,33
2021,Jul,39
2021,Aug,35
2021,Sep,39
2021,Oct,53
2021,Nov,34
2021,Dec,100
2022,Jan,35
2022,Feb,32
2022,Mar,32
