CNAME:,REYNOLDS AMERICAN INC
Google Trends Search Term:,reynolds american
Google Trends Suggestion:,tobacco company
Google Trends URL:,/m/07q_12
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,26
2004,May,12
2004,Jun,0
2004,Jul,0
2004,Aug,34
2004,Sep,64
2004,Oct,0
2004,Nov,23
2004,Dec,20
2005,Jan,53
2005,Feb,37
2005,Mar,55
2005,Apr,72
2005,May,24
2005,Jun,75
2005,Jul,16
2005,Aug,23
2005,Sep,78
2005,Oct,27
2005,Nov,55
2005,Dec,26
2006,Jan,35
2006,Feb,36
2006,Mar,16
2006,Apr,39
2006,May,53
2006,Jun,50
2006,Jul,43
2006,Aug,45
2006,Sep,60
2006,Oct,41
2006,Nov,45
2006,Dec,41
2007,Jan,44
2007,Feb,55
2007,Mar,38
2007,Apr,38
2007,May,39
2007,Jun,30
2007,Jul,28
2007,Aug,10
2007,Sep,20
2007,Oct,42
2007,Nov,46
2007,Dec,9
2008,Jan,36
2008,Feb,40
2008,Mar,31
2008,Apr,58
2008,May,19
2008,Jun,18
2008,Jul,31
2008,Aug,22
2008,Sep,41
2008,Oct,31
2008,Nov,21
2008,Dec,28
2009,Jan,27
2009,Feb,48
2009,Mar,34
2009,Apr,30
2009,May,33
2009,Jun,22
2009,Jul,28
2009,Aug,39
2009,Sep,31
2009,Oct,32
2009,Nov,37
2009,Dec,26
2010,Jan,41
2010,Feb,21
2010,Mar,36
2010,Apr,20
2010,May,37
2010,Jun,33
2010,Jul,26
2010,Aug,21
2010,Sep,19
2010,Oct,29
2010,Nov,41
2010,Dec,29
2011,Jan,29
2011,Feb,41
2011,Mar,30
2011,Apr,34
2011,May,18
2011,Jun,28
2011,Jul,15
2011,Aug,26
2011,Sep,26
2011,Oct,24
2011,Nov,21
2011,Dec,20
2012,Jan,19
2012,Feb,23
2012,Mar,31
2012,Apr,31
2012,May,22
2012,Jun,18
2012,Jul,28
2012,Aug,18
2012,Sep,20
2012,Oct,31
2012,Nov,16
2012,Dec,16
2013,Jan,18
2013,Feb,33
2013,Mar,21
2013,Apr,28
2013,May,14
2013,Jun,24
2013,Jul,35
2013,Aug,26
2013,Sep,16
2013,Oct,35
2013,Nov,27
2013,Dec,28
2014,Jan,29
2014,Feb,33
2014,Mar,40
2014,Apr,30
2014,May,40
2014,Jun,29
2014,Jul,100
2014,Aug,35
2014,Sep,47
2014,Oct,48
2014,Nov,26
2014,Dec,32
2015,Jan,38
2015,Feb,57
2015,Mar,36
2015,Apr,50
2015,May,55
2015,Jun,52
2015,Jul,37
2015,Aug,31
2015,Sep,63
2015,Oct,53
2015,Nov,22
2015,Dec,17
2016,Jan,34
2016,Feb,45
2016,Mar,49
2016,Apr,39
2016,May,35
2016,Jun,32
2016,Jul,42
2016,Aug,31
2016,Sep,37
2016,Oct,81
2016,Nov,48
2016,Dec,35
2017,Jan,50
2017,Feb,43
2017,Mar,34
2017,Apr,31
2017,May,33
2017,Jun,41
2017,Jul,80
2017,Aug,50
2017,Sep,26
2017,Oct,32
2017,Nov,35
2017,Dec,15
2018,Jan,27
2018,Feb,33
2018,Mar,51
2018,Apr,51
2018,May,19
2018,Jun,24
2018,Jul,25
2018,Aug,26
2018,Sep,34
2018,Oct,30
2018,Nov,33
2018,Dec,28
2019,Jan,28
2019,Feb,30
2019,Mar,32
2019,Apr,28
2019,May,27
2019,Jun,25
2019,Jul,20
2019,Aug,24
2019,Sep,32
2019,Oct,28
2019,Nov,29
2019,Dec,19
2020,Jan,19
2020,Feb,24
2020,Mar,27
2020,Apr,21
2020,May,16
2020,Jun,20
2020,Jul,24
2020,Aug,25
2020,Sep,26
2020,Oct,23
2020,Nov,14
2020,Dec,12
2021,Jan,15
2021,Feb,14
2021,Mar,11
2021,Apr,20
2021,May,14
2021,Jun,22
2021,Jul,17
2021,Aug,13
2021,Sep,24
2021,Oct,23
2021,Nov,17
2021,Dec,13
2022,Jan,27
2022,Feb,23
2022,Mar,23
