CNAME:,AUTOLIV INC
Google Trends Search Term:,autoliv
Google Trends Suggestion:,company
Google Trends URL:,/m/02h13v
Year,Month,SVI Data
2004,Jan,56
2004,Feb,37
2004,Mar,59
2004,Apr,54
2004,May,81
2004,Jun,100
2004,Jul,60
2004,Aug,39
2004,Sep,74
2004,Oct,99
2004,Nov,31
2004,Dec,48
2005,Jan,85
2005,Feb,96
2005,Mar,60
2005,Apr,93
2005,May,67
2005,Jun,86
2005,Jul,73
2005,Aug,58
2005,Sep,74
2005,Oct,74
2005,Nov,80
2005,Dec,54
2006,Jan,64
2006,Feb,70
2006,Mar,37
2006,Apr,58
2006,May,54
2006,Jun,73
2006,Jul,67
2006,Aug,44
2006,Sep,48
2006,Oct,79
2006,Nov,53
2006,Dec,34
2007,Jan,77
2007,Feb,73
2007,Mar,58
2007,Apr,50
2007,May,44
2007,Jun,57
2007,Jul,51
2007,Aug,54
2007,Sep,56
2007,Oct,52
2007,Nov,36
2007,Dec,20
2008,Jan,31
2008,Feb,59
2008,Mar,54
2008,Apr,64
2008,May,42
2008,Jun,67
2008,Jul,56
2008,Aug,48
2008,Sep,63
2008,Oct,82
2008,Nov,43
2008,Dec,41
2009,Jan,65
2009,Feb,53
2009,Mar,49
2009,Apr,50
2009,May,38
2009,Jun,46
2009,Jul,54
2009,Aug,38
2009,Sep,29
2009,Oct,60
2009,Nov,35
2009,Dec,37
2010,Jan,41
2010,Feb,37
2010,Mar,42
2010,Apr,39
2010,May,56
2010,Jun,53
2010,Jul,48
2010,Aug,56
2010,Sep,56
2010,Oct,45
2010,Nov,37
2010,Dec,36
2011,Jan,42
2011,Feb,44
2011,Mar,46
2011,Apr,62
2011,May,49
2011,Jun,43
2011,Jul,48
2011,Aug,57
2011,Sep,46
2011,Oct,45
2011,Nov,39
2011,Dec,40
2012,Jan,53
2012,Feb,46
2012,Mar,49
2012,Apr,42
2012,May,48
2012,Jun,46
2012,Jul,45
2012,Aug,40
2012,Sep,32
2012,Oct,49
2012,Nov,33
2012,Dec,28
2013,Jan,34
2013,Feb,36
2013,Mar,44
2013,Apr,36
2013,May,47
2013,Jun,47
2013,Jul,51
2013,Aug,41
2013,Sep,52
2013,Oct,48
2013,Nov,47
2013,Dec,22
2014,Jan,51
2014,Feb,36
2014,Mar,38
2014,Apr,41
2014,May,46
2014,Jun,30
2014,Jul,48
2014,Aug,52
2014,Sep,40
2014,Oct,42
2014,Nov,42
2014,Dec,46
2015,Jan,51
2015,Feb,63
2015,Mar,55
2015,Apr,45
2015,May,57
2015,Jun,65
2015,Jul,56
2015,Aug,49
2015,Sep,52
2015,Oct,54
2015,Nov,49
2015,Dec,45
2016,Jan,59
2016,Feb,65
2016,Mar,56
2016,Apr,62
2016,May,55
2016,Jun,59
2016,Jul,44
2016,Aug,55
2016,Sep,58
2016,Oct,57
2016,Nov,49
2016,Dec,41
2017,Jan,51
2017,Feb,46
2017,Mar,44
2017,Apr,49
2017,May,38
2017,Jun,51
2017,Jul,41
2017,Aug,43
2017,Sep,47
2017,Oct,40
2017,Nov,35
2017,Dec,28
2018,Jan,54
2018,Feb,50
2018,Mar,51
2018,Apr,45
2018,May,41
2018,Jun,37
2018,Jul,50
2018,Aug,37
2018,Sep,36
2018,Oct,35
2018,Nov,36
2018,Dec,27
2019,Jan,36
2019,Feb,37
2019,Mar,36
2019,Apr,30
2019,May,37
2019,Jun,32
2019,Jul,32
2019,Aug,31
2019,Sep,36
2019,Oct,31
2019,Nov,30
2019,Dec,25
2020,Jan,38
2020,Feb,31
2020,Mar,31
2020,Apr,22
2020,May,19
2020,Jun,26
2020,Jul,31
2020,Aug,24
2020,Sep,24
2020,Oct,25
2020,Nov,22
2020,Dec,25
2021,Jan,21
2021,Feb,35
2021,Mar,26
2021,Apr,23
2021,May,24
2021,Jun,27
2021,Jul,29
2021,Aug,27
2021,Sep,20
2021,Oct,25
2021,Nov,31
2021,Dec,33
2022,Jan,26
2022,Feb,32
2022,Mar,28
