CNAME:,NYSE EURONEXT
Google Trends Search Term:,nyse euronext
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/0bwpfs
Year,Month,SVI Data
2004,Jan,29
2004,Feb,14
2004,Mar,18
2004,Apr,0
2004,May,6
2004,Jun,0
2004,Jul,7
2004,Aug,6
2004,Sep,23
2004,Oct,18
2004,Nov,6
2004,Dec,0
2005,Jan,5
2005,Feb,5
2005,Mar,4
2005,Apr,5
2005,May,13
2005,Jun,13
2005,Jul,4
2005,Aug,8
2005,Sep,11
2005,Oct,11
2005,Nov,4
2005,Dec,14
2006,Jan,16
2006,Feb,3
2006,Mar,68
2006,Apr,39
2006,May,59
2006,Jun,71
2006,Jul,26
2006,Aug,45
2006,Sep,29
2006,Oct,42
2006,Nov,31
2006,Dec,39
2007,Jan,41
2007,Feb,61
2007,Mar,51
2007,Apr,70
2007,May,47
2007,Jun,50
2007,Jul,40
2007,Aug,47
2007,Sep,36
2007,Oct,36
2007,Nov,42
2007,Dec,34
2008,Jan,46
2008,Feb,48
2008,Mar,27
2008,Apr,34
2008,May,45
2008,Jun,47
2008,Jul,30
2008,Aug,31
2008,Sep,37
2008,Oct,57
2008,Nov,52
2008,Dec,63
2009,Jan,29
2009,Feb,56
2009,Mar,62
2009,Apr,40
2009,May,37
2009,Jun,44
2009,Jul,34
2009,Aug,40
2009,Sep,50
2009,Oct,44
2009,Nov,35
2009,Dec,47
2010,Jan,34
2010,Feb,51
2010,Mar,54
2010,Apr,45
2010,May,44
2010,Jun,39
2010,Jul,34
2010,Aug,41
2010,Sep,32
2010,Oct,44
2010,Nov,43
2010,Dec,25
2011,Jan,40
2011,Feb,100
2011,Mar,56
2011,Apr,59
2011,May,39
2011,Jun,46
2011,Jul,42
2011,Aug,43
2011,Sep,31
2011,Oct,46
2011,Nov,29
2011,Dec,27
2012,Jan,42
2012,Feb,39
2012,Mar,31
2012,Apr,32
2012,May,33
2012,Jun,43
2012,Jul,34
2012,Aug,29
2012,Sep,25
2012,Oct,42
2012,Nov,27
2012,Dec,45
2013,Jan,38
2013,Feb,40
2013,Mar,25
2013,Apr,25
2013,May,38
2013,Jun,24
2013,Jul,32
2013,Aug,27
2013,Sep,30
2013,Oct,26
2013,Nov,35
2013,Dec,28
2014,Jan,27
2014,Feb,24
2014,Mar,23
2014,Apr,21
2014,May,25
2014,Jun,18
2014,Jul,17
2014,Aug,14
2014,Sep,14
2014,Oct,19
2014,Nov,13
2014,Dec,13
2015,Jan,16
2015,Feb,13
2015,Mar,8
2015,Apr,9
2015,May,13
2015,Jun,11
2015,Jul,20
2015,Aug,12
2015,Sep,8
2015,Oct,12
2015,Nov,10
2015,Dec,10
2016,Jan,11
2016,Feb,11
2016,Mar,9
2016,Apr,12
2016,May,10
2016,Jun,6
2016,Jul,9
2016,Aug,13
2016,Sep,7
2016,Oct,7
2016,Nov,11
2016,Dec,5
2017,Jan,9
2017,Feb,10
2017,Mar,9
2017,Apr,9
2017,May,6
2017,Jun,10
2017,Jul,13
2017,Aug,7
2017,Sep,8
2017,Oct,7
2017,Nov,12
2017,Dec,8
2018,Jan,10
2018,Feb,11
2018,Mar,8
2018,Apr,13
2018,May,19
2018,Jun,11
2018,Jul,8
2018,Aug,5
2018,Sep,9
2018,Oct,12
2018,Nov,7
2018,Dec,11
2019,Jan,11
2019,Feb,11
2019,Mar,6
2019,Apr,9
2019,May,9
2019,Jun,7
2019,Jul,7
2019,Aug,8
2019,Sep,6
2019,Oct,7
2019,Nov,5
2019,Dec,5
2020,Jan,8
2020,Feb,9
2020,Mar,14
2020,Apr,9
2020,May,7
2020,Jun,12
2020,Jul,7
2020,Aug,4
2020,Sep,7
2020,Oct,6
2020,Nov,5
2020,Dec,10
2021,Jan,10
2021,Feb,9
2021,Mar,8
2021,Apr,7
2021,May,5
2021,Jun,5
2021,Jul,6
2021,Aug,4
2021,Sep,6
2021,Oct,3
2021,Nov,8
2021,Dec,6
2022,Jan,2
2022,Feb,7
2022,Mar,6
