CNAME:,VIRTU FINANCIAL INC
Google Trends Search Term:,virtu financial
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/0hnd98b
Year,Month,SVI Data
2004,Jan,14
2004,Feb,13
2004,Mar,8
2004,Apr,19
2004,May,12
2004,Jun,6
2004,Jul,6
2004,Aug,11
2004,Sep,16
2004,Oct,27
2004,Nov,17
2004,Dec,15
2005,Jan,9
2005,Feb,5
2005,Mar,0
2005,Apr,14
2005,May,12
2005,Jun,17
2005,Jul,0
2005,Aug,8
2005,Sep,14
2005,Oct,17
2005,Nov,7
2005,Dec,10
2006,Jan,6
2006,Feb,12
2006,Mar,11
2006,Apr,6
2006,May,13
2006,Jun,8
2006,Jul,3
2006,Aug,17
2006,Sep,17
2006,Oct,7
2006,Nov,14
2006,Dec,11
2007,Jan,16
2007,Feb,2
2007,Mar,13
2007,Apr,10
2007,May,9
2007,Jun,9
2007,Jul,11
2007,Aug,20
2007,Sep,25
2007,Oct,17
2007,Nov,14
2007,Dec,11
2008,Jan,17
2008,Feb,14
2008,Mar,14
2008,Apr,8
2008,May,17
2008,Jun,26
2008,Jul,17
2008,Aug,14
2008,Sep,10
2008,Oct,17
2008,Nov,13
2008,Dec,19
2009,Jan,18
2009,Feb,25
2009,Mar,13
2009,Apr,15
2009,May,7
2009,Jun,5
2009,Jul,7
2009,Aug,16
2009,Sep,19
2009,Oct,19
2009,Nov,13
2009,Dec,19
2010,Jan,13
2010,Feb,12
2010,Mar,8
2010,Apr,13
2010,May,17
2010,Jun,12
2010,Jul,10
2010,Aug,16
2010,Sep,19
2010,Oct,20
2010,Nov,11
2010,Dec,11
2011,Jan,19
2011,Feb,18
2011,Mar,21
2011,Apr,15
2011,May,15
2011,Jun,22
2011,Jul,25
2011,Aug,16
2011,Sep,25
2011,Oct,17
2011,Nov,22
2011,Dec,23
2012,Jan,22
2012,Feb,23
2012,Mar,21
2012,Apr,21
2012,May,17
2012,Jun,13
2012,Jul,14
2012,Aug,26
2012,Sep,20
2012,Oct,20
2012,Nov,22
2012,Dec,28
2013,Jan,22
2013,Feb,11
2013,Mar,16
2013,Apr,18
2013,May,22
2013,Jun,12
2013,Jul,15
2013,Aug,15
2013,Sep,24
2013,Oct,15
2013,Nov,15
2013,Dec,17
2014,Jan,22
2014,Feb,23
2014,Mar,75
2014,Apr,50
2014,May,21
2014,Jun,17
2014,Jul,22
2014,Aug,16
2014,Sep,22
2014,Oct,17
2014,Nov,16
2014,Dec,23
2015,Jan,20
2015,Feb,35
2015,Mar,20
2015,Apr,100
2015,May,28
2015,Jun,23
2015,Jul,21
2015,Aug,45
2015,Sep,28
2015,Oct,22
2015,Nov,28
2015,Dec,20
2016,Jan,25
2016,Feb,23
2016,Mar,20
2016,Apr,18
2016,May,21
2016,Jun,18
2016,Jul,14
2016,Aug,20
2016,Sep,26
2016,Oct,20
2016,Nov,18
2016,Dec,36
2017,Jan,23
2017,Feb,25
2017,Mar,32
2017,Apr,39
2017,May,30
2017,Jun,20
2017,Jul,23
2017,Aug,26
2017,Sep,20
2017,Oct,29
2017,Nov,30
2017,Dec,19
2018,Jan,21
2018,Feb,34
2018,Mar,21
2018,Apr,23
2018,May,34
2018,Jun,23
2018,Jul,18
2018,Aug,22
2018,Sep,23
2018,Oct,33
2018,Nov,35
2018,Dec,16
2019,Jan,22
2019,Feb,19
2019,Mar,30
2019,Apr,26
2019,May,27
2019,Jun,25
2019,Jul,28
2019,Aug,33
2019,Sep,27
2019,Oct,28
2019,Nov,22
2019,Dec,17
2020,Jan,19
2020,Feb,31
2020,Mar,36
2020,Apr,22
2020,May,25
2020,Jun,21
2020,Jul,20
2020,Aug,27
2020,Sep,31
2020,Oct,20
2020,Nov,16
2020,Dec,14
2021,Jan,27
2021,Feb,29
2021,Mar,24
2021,Apr,20
2021,May,21
2021,Jun,20
2021,Jul,18
2021,Aug,18
2021,Sep,19
2021,Oct,16
2021,Nov,16
2021,Dec,18
2022,Jan,17
2022,Feb,19
2022,Mar,16
