CNAME:,GENESCO INC
Google Trends Search Term:,genesco
Google Trends Suggestion:,specialty retail company
Google Trends URL:,/m/03cbgd
Year,Month,SVI Data
2004,Jan,57
2004,Feb,64
2004,Mar,51
2004,Apr,23
2004,May,64
2004,Jun,43
2004,Jul,15
2004,Aug,27
2004,Sep,64
2004,Oct,0
2004,Nov,47
2004,Dec,90
2005,Jan,32
2005,Feb,44
2005,Mar,42
2005,Apr,27
2005,May,39
2005,Jun,25
2005,Jul,64
2005,Aug,37
2005,Sep,26
2005,Oct,60
2005,Nov,20
2005,Dec,27
2006,Jan,35
2006,Feb,43
2006,Mar,45
2006,Apr,50
2006,May,50
2006,Jun,56
2006,Jul,45
2006,Aug,33
2006,Sep,63
2006,Oct,52
2006,Nov,43
2006,Dec,52
2007,Jan,62
2007,Feb,48
2007,Mar,50
2007,Apr,64
2007,May,72
2007,Jun,90
2007,Jul,61
2007,Aug,69
2007,Sep,99
2007,Oct,60
2007,Nov,60
2007,Dec,100
2008,Jan,70
2008,Feb,94
2008,Mar,69
2008,Apr,51
2008,May,43
2008,Jun,65
2008,Jul,51
2008,Aug,43
2008,Sep,49
2008,Oct,54
2008,Nov,47
2008,Dec,40
2009,Jan,41
2009,Feb,58
2009,Mar,50
2009,Apr,42
2009,May,48
2009,Jun,30
2009,Jul,23
2009,Aug,36
2009,Sep,25
2009,Oct,39
2009,Nov,30
2009,Dec,33
2010,Jan,44
2010,Feb,44
2010,Mar,34
2010,Apr,40
2010,May,36
2010,Jun,24
2010,Jul,40
2010,Aug,34
2010,Sep,44
2010,Oct,40
2010,Nov,33
2010,Dec,41
2011,Jan,40
2011,Feb,42
2011,Mar,40
2011,Apr,46
2011,May,40
2011,Jun,31
2011,Jul,41
2011,Aug,44
2011,Sep,48
2011,Oct,33
2011,Nov,33
2011,Dec,34
2012,Jan,39
2012,Feb,43
2012,Mar,47
2012,Apr,38
2012,May,38
2012,Jun,40
2012,Jul,32
2012,Aug,41
2012,Sep,30
2012,Oct,39
2012,Nov,40
2012,Dec,49
2013,Jan,46
2013,Feb,40
2013,Mar,40
2013,Apr,33
2013,May,46
2013,Jun,30
2013,Jul,34
2013,Aug,37
2013,Sep,36
2013,Oct,31
2013,Nov,37
2013,Dec,29
2014,Jan,33
2014,Feb,36
2014,Mar,35
2014,Apr,37
2014,May,33
2014,Jun,34
2014,Jul,35
2014,Aug,40
2014,Sep,34
2014,Oct,35
2014,Nov,45
2014,Dec,44
2015,Jan,43
2015,Feb,42
2015,Mar,42
2015,Apr,32
2015,May,33
2015,Jun,41
2015,Jul,51
2015,Aug,49
2015,Sep,42
2015,Oct,39
2015,Nov,36
2015,Dec,38
2016,Jan,51
2016,Feb,48
2016,Mar,34
2016,Apr,32
2016,May,31
2016,Jun,27
2016,Jul,27
2016,Aug,25
2016,Sep,32
2016,Oct,31
2016,Nov,38
2016,Dec,38
2017,Jan,41
2017,Feb,50
2017,Mar,39
2017,Apr,31
2017,May,31
2017,Jun,29
2017,Jul,31
2017,Aug,32
2017,Sep,29
2017,Oct,26
2017,Nov,38
2017,Dec,29
2018,Jan,41
2018,Feb,47
2018,Mar,29
2018,Apr,27
2018,May,26
2018,Jun,30
2018,Jul,25
2018,Aug,36
2018,Sep,28
2018,Oct,28
2018,Nov,28
2018,Dec,30
2019,Jan,33
2019,Feb,31
2019,Mar,33
2019,Apr,21
2019,May,16
2019,Jun,23
2019,Jul,22
2019,Aug,20
2019,Sep,18
2019,Oct,21
2019,Nov,22
2019,Dec,20
2020,Jan,29
2020,Feb,25
2020,Mar,30
2020,Apr,26
2020,May,17
2020,Jun,25
2020,Jul,20
2020,Aug,23
2020,Sep,17
2020,Oct,17
2020,Nov,16
2020,Dec,21
2021,Jan,16
2021,Feb,20
2021,Mar,15
2021,Apr,23
2021,May,26
2021,Jun,16
2021,Jul,17
2021,Aug,22
2021,Sep,20
2021,Oct,14
2021,Nov,15
2021,Dec,13
2022,Jan,25
2022,Feb,20
2022,Mar,19
