CNAME:,SENDGRID INC
Google Trends Search Term:,sendgrid
Google Trends Suggestion:,email marketing company
Google Trends URL:,/m/0wr97kd
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,2
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,1
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,1
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,1
2008,Jul,0
2008,Aug,1
2008,Sep,0
2008,Oct,1
2008,Nov,0
2008,Dec,1
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,1
2009,May,0
2009,Jun,0
2009,Jul,1
2009,Aug,1
2009,Sep,1
2009,Oct,1
2009,Nov,1
2009,Dec,2
2010,Jan,1
2010,Feb,1
2010,Mar,2
2010,Apr,5
2010,May,6
2010,Jun,5
2010,Jul,3
2010,Aug,8
2010,Sep,7
2010,Oct,4
2010,Nov,6
2010,Dec,4
2011,Jan,9
2011,Feb,8
2011,Mar,11
2011,Apr,7
2011,May,17
2011,Jun,15
2011,Jul,12
2011,Aug,16
2011,Sep,17
2011,Oct,14
2011,Nov,16
2011,Dec,16
2012,Jan,13
2012,Feb,22
2012,Mar,20
2012,Apr,17
2012,May,24
2012,Jun,22
2012,Jul,18
2012,Aug,22
2012,Sep,22
2012,Oct,24
2012,Nov,22
2012,Dec,28
2013,Jan,27
2013,Feb,26
2013,Mar,84
2013,Apr,30
2013,May,29
2013,Jun,27
2013,Jul,30
2013,Aug,33
2013,Sep,29
2013,Oct,30
2013,Nov,33
2013,Dec,27
2014,Jan,30
2014,Feb,35
2014,Mar,32
2014,Apr,36
2014,May,34
2014,Jun,35
2014,Jul,37
2014,Aug,34
2014,Sep,41
2014,Oct,40
2014,Nov,34
2014,Dec,37
2015,Jan,33
2015,Feb,41
2015,Mar,46
2015,Apr,44
2015,May,43
2015,Jun,53
2015,Jul,47
2015,Aug,43
2015,Sep,40
2015,Oct,46
2015,Nov,43
2015,Dec,43
2016,Jan,43
2016,Feb,53
2016,Mar,54
2016,Apr,57
2016,May,50
2016,Jun,54
2016,Jul,51
2016,Aug,56
2016,Sep,57
2016,Oct,50
2016,Nov,59
2016,Dec,50
2017,Jan,56
2017,Feb,67
2017,Mar,67
2017,Apr,56
2017,May,58
2017,Jun,62
2017,Jul,59
2017,Aug,62
2017,Sep,68
2017,Oct,68
2017,Nov,83
2017,Dec,58
2018,Jan,63
2018,Feb,70
2018,Mar,67
2018,Apr,64
2018,May,70
2018,Jun,63
2018,Jul,64
2018,Aug,72
2018,Sep,66
2018,Oct,100
2018,Nov,74
2018,Dec,63
2019,Jan,72
2019,Feb,88
2019,Mar,72
2019,Apr,80
2019,May,79
2019,Jun,74
2019,Jul,81
2019,Aug,76
2019,Sep,75
2019,Oct,75
2019,Nov,64
2019,Dec,54
2020,Jan,63
2020,Feb,74
2020,Mar,67
2020,Apr,72
2020,May,70
2020,Jun,81
2020,Jul,81
2020,Aug,74
2020,Sep,81
2020,Oct,59
2020,Nov,45
2020,Dec,41
2021,Jan,34
2021,Feb,43
2021,Mar,39
2021,Apr,38
2021,May,37
2021,Jun,38
2021,Jul,35
2021,Aug,39
2021,Sep,34
2021,Oct,42
2021,Nov,38
2021,Dec,34
2022,Jan,37
2022,Feb,39
2022,Mar,45
