CNAME:,CABLEVISION SYSTEMS CORP
Google Trends Search Term:,cablevision
Google Trends Suggestion:,company
Google Trends URL:,/g/11d_8tj7r6
Year,Month,SVI Data
2004,Jan,14
2004,Feb,22
2004,Mar,19
2004,Apr,15
2004,May,15
2004,Jun,18
2004,Jul,11
2004,Aug,21
2004,Sep,16
2004,Oct,19
2004,Nov,24
2004,Dec,11
2005,Jan,25
2005,Feb,15
2005,Mar,35
2005,Apr,20
2005,May,18
2005,Jun,21
2005,Jul,17
2005,Aug,23
2005,Sep,19
2005,Oct,24
2005,Nov,16
2005,Dec,12
2006,Jan,15
2006,Feb,23
2006,Mar,24
2006,Apr,22
2006,May,24
2006,Jun,16
2006,Jul,20
2006,Aug,19
2006,Sep,22
2006,Oct,18
2006,Nov,15
2006,Dec,22
2007,Jan,21
2007,Feb,18
2007,Mar,20
2007,Apr,22
2007,May,21
2007,Jun,21
2007,Jul,17
2007,Aug,19
2007,Sep,25
2007,Oct,27
2007,Nov,19
2007,Dec,26
2008,Jan,19
2008,Feb,22
2008,Mar,22
2008,Apr,24
2008,May,19
2008,Jun,29
2008,Jul,25
2008,Aug,28
2008,Sep,21
2008,Oct,23
2008,Nov,25
2008,Dec,33
2009,Jan,35
2009,Feb,26
2009,Mar,27
2009,Apr,30
2009,May,31
2009,Jun,32
2009,Jul,29
2009,Aug,33
2009,Sep,36
2009,Oct,29
2009,Nov,35
2009,Dec,35
2010,Jan,100
2010,Feb,29
2010,Mar,56
2010,Apr,31
2010,May,32
2010,Jun,40
2010,Jul,36
2010,Aug,31
2010,Sep,34
2010,Oct,63
2010,Nov,37
2010,Dec,35
2011,Jan,37
2011,Feb,36
2011,Mar,33
2011,Apr,38
2011,May,31
2011,Jun,29
2011,Jul,29
2011,Aug,47
2011,Sep,41
2011,Oct,35
2011,Nov,33
2011,Dec,40
2012,Jan,36
2012,Feb,30
2012,Mar,29
2012,Apr,28
2012,May,27
2012,Jun,35
2012,Jul,34
2012,Aug,51
2012,Sep,49
2012,Oct,53
2012,Nov,52
2012,Dec,30
2013,Jan,30
2013,Feb,25
2013,Mar,31
2013,Apr,25
2013,May,22
2013,Jun,25
2013,Jul,29
2013,Aug,40
2013,Sep,32
2013,Oct,26
2013,Nov,27
2013,Dec,27
2014,Jan,31
2014,Feb,25
2014,Mar,30
2014,Apr,28
2014,May,24
2014,Jun,26
2014,Jul,23
2014,Aug,24
2014,Sep,28
2014,Oct,26
2014,Nov,24
2014,Dec,23
2015,Jan,23
2015,Feb,20
2015,Mar,19
2015,Apr,20
2015,May,23
2015,Jun,22
2015,Jul,21
2015,Aug,19
2015,Sep,25
2015,Oct,21
2015,Nov,20
2015,Dec,16
2016,Jan,19
2016,Feb,14
2016,Mar,13
2016,Apr,18
2016,May,14
2016,Jun,14
2016,Jul,13
2016,Aug,15
2016,Sep,14
2016,Oct,13
2016,Nov,12
2016,Dec,14
2017,Jan,13
2017,Feb,11
2017,Mar,11
2017,Apr,12
2017,May,9
2017,Jun,11
2017,Jul,9
2017,Aug,11
2017,Sep,13
2017,Oct,11
2017,Nov,10
2017,Dec,11
2018,Jan,12
2018,Feb,9
2018,Mar,15
2018,Apr,10
2018,May,9
2018,Jun,11
2018,Jul,11
2018,Aug,14
2018,Sep,10
2018,Oct,10
2018,Nov,9
2018,Dec,10
2019,Jan,9
2019,Feb,8
2019,Mar,9
2019,Apr,9
2019,May,9
2019,Jun,9
2019,Jul,15
2019,Aug,11
2019,Sep,19
2019,Oct,11
2019,Nov,11
2019,Dec,8
2020,Jan,9
2020,Feb,10
2020,Mar,12
2020,Apr,10
2020,May,6
2020,Jun,9
2020,Jul,8
2020,Aug,19
2020,Sep,7
2020,Oct,7
2020,Nov,7
2020,Dec,7
2021,Jan,7
2021,Feb,5
2021,Mar,6
2021,Apr,5
2021,May,5
2021,Jun,6
2021,Jul,6
2021,Aug,5
2021,Sep,6
2021,Oct,6
2021,Nov,5
2021,Dec,5
2022,Jan,6
2022,Feb,5
2022,Mar,4
