CNAME:,WALT DISNEY CO NEW
Google Trends Search Term:,the walt disney company
Google Trends Suggestion:,entertainment company
Google Trends URL:,/m/09b3v
Year,Month,SVI Data
2004,Jan,57
2004,Feb,58
2004,Mar,50
2004,Apr,49
2004,May,50
2004,Jun,46
2004,Jul,47
2004,Aug,47
2004,Sep,45
2004,Oct,51
2004,Nov,54
2004,Dec,56
2005,Jan,60
2005,Feb,57
2005,Mar,60
2005,Apr,58
2005,May,61
2005,Jun,64
2005,Jul,63
2005,Aug,62
2005,Sep,57
2005,Oct,64
2005,Nov,67
2005,Dec,71
2006,Jan,79
2006,Feb,75
2006,Mar,79
2006,Apr,78
2006,May,75
2006,Jun,100
2006,Jul,98
2006,Aug,84
2006,Sep,75
2006,Oct,81
2006,Nov,85
2006,Dec,89
2007,Jan,93
2007,Feb,89
2007,Mar,83
2007,Apr,78
2007,May,78
2007,Jun,85
2007,Jul,84
2007,Aug,90
2007,Sep,78
2007,Oct,74
2007,Nov,76
2007,Dec,80
2008,Jan,76
2008,Feb,74
2008,Mar,71
2008,Apr,64
2008,May,67
2008,Jun,75
2008,Jul,78
2008,Aug,84
2008,Sep,65
2008,Oct,68
2008,Nov,76
2008,Dec,72
2009,Jan,71
2009,Feb,66
2009,Mar,68
2009,Apr,63
2009,May,64
2009,Jun,66
2009,Jul,71
2009,Aug,66
2009,Sep,61
2009,Oct,65
2009,Nov,62
2009,Dec,66
2010,Jan,68
2010,Feb,63
2010,Mar,63
2010,Apr,56
2010,May,56
2010,Jun,55
2010,Jul,55
2010,Aug,52
2010,Sep,49
2010,Oct,53
2010,Nov,55
2010,Dec,59
2011,Jan,63
2011,Feb,59
2011,Mar,58
2011,Apr,57
2011,May,54
2011,Jun,59
2011,Jul,67
2011,Aug,62
2011,Sep,53
2011,Oct,61
2011,Nov,56
2011,Dec,67
2012,Jan,63
2012,Feb,59
2012,Mar,55
2012,Apr,49
2012,May,49
2012,Jun,58
2012,Jul,59
2012,Aug,53
2012,Sep,50
2012,Oct,58
2012,Nov,57
2012,Dec,57
2013,Jan,57
2013,Feb,53
2013,Mar,52
2013,Apr,51
2013,May,51
2013,Jun,51
2013,Jul,56
2013,Aug,53
2013,Sep,49
2013,Oct,54
2013,Nov,56
2013,Dec,59
2014,Jan,63
2014,Feb,57
2014,Mar,62
2014,Apr,61
2014,May,58
2014,Jun,55
2014,Jul,56
2014,Aug,53
2014,Sep,51
2014,Oct,54
2014,Nov,58
2014,Dec,56
2015,Jan,56
2015,Feb,55
2015,Mar,55
2015,Apr,53
2015,May,50
2015,Jun,52
2015,Jul,53
2015,Aug,55
2015,Sep,53
2015,Oct,54
2015,Nov,52
2015,Dec,51
2016,Jan,52
2016,Feb,53
2016,Mar,50
2016,Apr,49
2016,May,52
2016,Jun,63
2016,Jul,46
2016,Aug,42
2016,Sep,44
2016,Oct,47
2016,Nov,49
2016,Dec,47
2017,Jan,49
2017,Feb,48
2017,Mar,53
2017,Apr,46
2017,May,45
2017,Jun,43
2017,Jul,49
2017,Aug,43
2017,Sep,42
2017,Oct,45
2017,Nov,45
2017,Dec,52
2018,Jan,48
2018,Feb,49
2018,Mar,47
2018,Apr,44
2018,May,42
2018,Jun,45
2018,Jul,45
2018,Aug,42
2018,Sep,43
2018,Oct,47
2018,Nov,45
2018,Dec,45
2019,Jan,49
2019,Feb,45
2019,Mar,50
2019,Apr,45
2019,May,45
2019,Jun,45
2019,Jul,50
2019,Aug,49
2019,Sep,46
2019,Oct,49
2019,Nov,67
2019,Dec,59
2020,Jan,62
2020,Feb,54
2020,Mar,54
2020,Apr,48
2020,May,45
2020,Jun,38
2020,Jul,41
2020,Aug,36
2020,Sep,39
2020,Oct,36
2020,Nov,35
2020,Dec,40
2021,Jan,38
2021,Feb,42
2021,Mar,40
2021,Apr,41
2021,May,43
2021,Jun,43
2021,Jul,45
2021,Aug,43
2021,Sep,44
2021,Oct,48
2021,Nov,51
2021,Dec,50
2022,Jan,49
2022,Feb,53
2022,Mar,53
