CNAME:,MARKEL CORP NEW
Google Trends Search Term:,markel corporation
Google Trends Suggestion:,insurance company
Google Trends URL:,/m/06zckd
Year,Month,SVI Data
2004,Jan,46
2004,Feb,33
2004,Mar,50
2004,Apr,48
2004,May,46
2004,Jun,84
2004,Jul,46
2004,Aug,52
2004,Sep,55
2004,Oct,53
2004,Nov,47
2004,Dec,36
2005,Jan,60
2005,Feb,62
2005,Mar,55
2005,Apr,50
2005,May,46
2005,Jun,44
2005,Jul,48
2005,Aug,43
2005,Sep,53
2005,Oct,52
2005,Nov,60
2005,Dec,50
2006,Jan,48
2006,Feb,38
2006,Mar,42
2006,Apr,46
2006,May,50
2006,Jun,49
2006,Jul,46
2006,Aug,44
2006,Sep,51
2006,Oct,54
2006,Nov,45
2006,Dec,40
2007,Jan,52
2007,Feb,44
2007,Mar,47
2007,Apr,54
2007,May,55
2007,Jun,58
2007,Jul,38
2007,Aug,59
2007,Sep,50
2007,Oct,57
2007,Nov,49
2007,Dec,47
2008,Jan,56
2008,Feb,50
2008,Mar,48
2008,Apr,55
2008,May,58
2008,Jun,52
2008,Jul,54
2008,Aug,46
2008,Sep,43
2008,Oct,49
2008,Nov,37
2008,Dec,39
2009,Jan,44
2009,Feb,45
2009,Mar,44
2009,Apr,41
2009,May,43
2009,Jun,46
2009,Jul,50
2009,Aug,40
2009,Sep,44
2009,Oct,40
2009,Nov,42
2009,Dec,39
2010,Jan,45
2010,Feb,49
2010,Mar,45
2010,Apr,39
2010,May,47
2010,Jun,36
2010,Jul,39
2010,Aug,39
2010,Sep,37
2010,Oct,35
2010,Nov,30
2010,Dec,35
2011,Jan,38
2011,Feb,39
2011,Mar,37
2011,Apr,39
2011,May,42
2011,Jun,39
2011,Jul,38
2011,Aug,38
2011,Sep,31
2011,Oct,36
2011,Nov,32
2011,Dec,32
2012,Jan,33
2012,Feb,32
2012,Mar,35
2012,Apr,33
2012,May,34
2012,Jun,36
2012,Jul,35
2012,Aug,35
2012,Sep,34
2012,Oct,33
2012,Nov,30
2012,Dec,31
2013,Jan,32
2013,Feb,36
2013,Mar,35
2013,Apr,37
2013,May,36
2013,Jun,30
2013,Jul,32
2013,Aug,37
2013,Sep,35
2013,Oct,34
2013,Nov,32
2013,Dec,29
2014,Jan,36
2014,Feb,38
2014,Mar,36
2014,Apr,35
2014,May,34
2014,Jun,45
2014,Jul,40
2014,Aug,40
2014,Sep,35
2014,Oct,33
2014,Nov,34
2014,Dec,28
2015,Jan,36
2015,Feb,35
2015,Mar,33
2015,Apr,33
2015,May,36
2015,Jun,38
2015,Jul,35
2015,Aug,39
2015,Sep,39
2015,Oct,29
2015,Nov,28
2015,Dec,33
2016,Jan,30
2016,Feb,35
2016,Mar,34
2016,Apr,34
2016,May,33
2016,Jun,33
2016,Jul,31
2016,Aug,30
2016,Sep,31
2016,Oct,33
2016,Nov,32
2016,Dec,27
2017,Jan,32
2017,Feb,33
2017,Mar,34
2017,Apr,30
2017,May,37
2017,Jun,33
2017,Jul,34
2017,Aug,32
2017,Sep,28
2017,Oct,31
2017,Nov,46
2017,Dec,39
2018,Jan,41
2018,Feb,38
2018,Mar,43
2018,Apr,45
2018,May,100
2018,Jun,43
2018,Jul,43
2018,Aug,40
2018,Sep,41
2018,Oct,40
2018,Nov,42
2018,Dec,40
2019,Jan,42
2019,Feb,48
2019,Mar,39
2019,Apr,39
2019,May,42
2019,Jun,43
2019,Jul,35
2019,Aug,34
2019,Sep,36
2019,Oct,40
2019,Nov,34
2019,Dec,30
2020,Jan,42
2020,Feb,37
2020,Mar,33
2020,Apr,30
2020,May,33
2020,Jun,34
2020,Jul,31
2020,Aug,33
2020,Sep,31
2020,Oct,30
2020,Nov,26
2020,Dec,30
2021,Jan,30
2021,Feb,33
2021,Mar,50
2021,Apr,32
2021,May,30
2021,Jun,36
2021,Jul,32
2021,Aug,33
2021,Sep,33
2021,Oct,31
2021,Nov,31
2021,Dec,28
2022,Jan,32
2022,Feb,34
2022,Mar,34
