CNAME:,ALTICE USA INC
Google Trends Search Term:,altice usa
Google Trends Suggestion:,cable television company
Google Trends URL:,/m/04v49y
Year,Month,SVI Data
2004,Jan,47
2004,Feb,36
2004,Mar,40
2004,Apr,39
2004,May,34
2004,Jun,46
2004,Jul,45
2004,Aug,54
2004,Sep,46
2004,Oct,43
2004,Nov,39
2004,Dec,47
2005,Jan,51
2005,Feb,43
2005,Mar,49
2005,Apr,45
2005,May,49
2005,Jun,51
2005,Jul,57
2005,Aug,58
2005,Sep,55
2005,Oct,49
2005,Nov,51
2005,Dec,55
2006,Jan,53
2006,Feb,48
2006,Mar,57
2006,Apr,44
2006,May,53
2006,Jun,53
2006,Jul,56
2006,Aug,51
2006,Sep,52
2006,Oct,49
2006,Nov,51
2006,Dec,56
2007,Jan,54
2007,Feb,53
2007,Mar,54
2007,Apr,49
2007,May,51
2007,Jun,48
2007,Jul,50
2007,Aug,52
2007,Sep,51
2007,Oct,50
2007,Nov,53
2007,Dec,55
2008,Jan,52
2008,Feb,45
2008,Mar,51
2008,Apr,49
2008,May,58
2008,Jun,61
2008,Jul,60
2008,Aug,65
2008,Sep,60
2008,Oct,54
2008,Nov,60
2008,Dec,66
2009,Jan,71
2009,Feb,62
2009,Mar,58
2009,Apr,58
2009,May,68
2009,Jun,72
2009,Jul,65
2009,Aug,67
2009,Sep,67
2009,Oct,61
2009,Nov,64
2009,Dec,69
2010,Jan,82
2010,Feb,64
2010,Mar,85
2010,Apr,65
2010,May,65
2010,Jun,74
2010,Jul,71
2010,Aug,69
2010,Sep,67
2010,Oct,85
2010,Nov,66
2010,Dec,65
2011,Jan,61
2011,Feb,59
2011,Mar,55
2011,Apr,58
2011,May,56
2011,Jun,58
2011,Jul,58
2011,Aug,70
2011,Sep,64
2011,Oct,60
2011,Nov,61
2011,Dec,62
2012,Jan,63
2012,Feb,55
2012,Mar,54
2012,Apr,56
2012,May,62
2012,Jun,66
2012,Jul,64
2012,Aug,86
2012,Sep,86
2012,Oct,92
2012,Nov,100
2012,Dec,69
2013,Jan,78
2013,Feb,61
2013,Mar,63
2013,Apr,53
2013,May,58
2013,Jun,61
2013,Jul,74
2013,Aug,79
2013,Sep,89
2013,Oct,76
2013,Nov,57
2013,Dec,58
2014,Jan,70
2014,Feb,59
2014,Mar,56
2014,Apr,49
2014,May,47
2014,Jun,48
2014,Jul,48
2014,Aug,50
2014,Sep,47
2014,Oct,45
2014,Nov,46
2014,Dec,44
2015,Jan,49
2015,Feb,44
2015,Mar,44
2015,Apr,44
2015,May,47
2015,Jun,49
2015,Jul,47
2015,Aug,47
2015,Sep,56
2015,Oct,49
2015,Nov,49
2015,Dec,47
2016,Jan,42
2016,Feb,37
2016,Mar,33
2016,Apr,34
2016,May,37
2016,Jun,38
2016,Jul,36
2016,Aug,35
2016,Sep,38
2016,Oct,39
2016,Nov,35
2016,Dec,34
2017,Jan,34
2017,Feb,33
2017,Mar,36
2017,Apr,31
2017,May,32
2017,Jun,34
2017,Jul,35
2017,Aug,45
2017,Sep,36
2017,Oct,41
2017,Nov,35
2017,Dec,36
2018,Jan,51
2018,Feb,43
2018,Mar,42
2018,Apr,35
2018,May,38
2018,Jun,42
2018,Jul,40
2018,Aug,39
2018,Sep,41
2018,Oct,37
2018,Nov,36
2018,Dec,36
2019,Jan,38
2019,Feb,36
2019,Mar,38
2019,Apr,32
2019,May,32
2019,Jun,35
2019,Jul,41
2019,Aug,41
2019,Sep,69
2019,Oct,56
2019,Nov,54
2019,Dec,55
2020,Jan,55
2020,Feb,54
2020,Mar,53
2020,Apr,54
2020,May,55
2020,Jun,57
2020,Jul,56
2020,Aug,70
2020,Sep,54
2020,Oct,47
2020,Nov,46
2020,Dec,46
2021,Jan,49
2021,Feb,39
2021,Mar,38
2021,Apr,33
2021,May,33
2021,Jun,34
2021,Jul,35
2021,Aug,33
2021,Sep,33
2021,Oct,32
2021,Nov,33
2021,Dec,33
2022,Jan,33
2022,Feb,33
2022,Mar,32
