CNAME:,LYFT INC
Google Trends Search Term:,lyft
Google Trends Suggestion:,transport company
Google Trends URL:,/m/0wdpqnj
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,0
2011,Jan,0
2011,Feb,0
2011,Mar,0
2011,Apr,0
2011,May,0
2011,Jun,0
2011,Jul,0
2011,Aug,0
2011,Sep,0
2011,Oct,0
2011,Nov,0
2011,Dec,0
2012,Jan,0
2012,Feb,0
2012,Mar,0
2012,Apr,0
2012,May,0
2012,Jun,0
2012,Jul,0
2012,Aug,0
2012,Sep,1
2012,Oct,1
2012,Nov,1
2012,Dec,1
2013,Jan,1
2013,Feb,1
2013,Mar,1
2013,Apr,2
2013,May,2
2013,Jun,3
2013,Jul,5
2013,Aug,5
2013,Sep,6
2013,Oct,5
2013,Nov,5
2013,Dec,8
2014,Jan,6
2014,Feb,7
2014,Mar,9
2014,Apr,11
2014,May,12
2014,Jun,14
2014,Jul,17
2014,Aug,18
2014,Sep,15
2014,Oct,14
2014,Nov,14
2014,Dec,12
2015,Jan,12
2015,Feb,15
2015,Mar,15
2015,Apr,12
2015,May,14
2015,Jun,16
2015,Jul,20
2015,Aug,21
2015,Sep,20
2015,Oct,24
2015,Nov,22
2015,Dec,25
2016,Jan,30
2016,Feb,30
2016,Mar,31
2016,Apr,33
2016,May,41
2016,Jun,46
2016,Jul,49
2016,Aug,49
2016,Sep,51
2016,Oct,52
2016,Nov,51
2016,Dec,56
2017,Jan,63
2017,Feb,60
2017,Mar,63
2017,Apr,59
2017,May,63
2017,Jun,77
2017,Jul,76
2017,Aug,73
2017,Sep,66
2017,Oct,70
2017,Nov,64
2017,Dec,68
2018,Jan,67
2018,Feb,68
2018,Mar,69
2018,Apr,65
2018,May,64
2018,Jun,73
2018,Jul,79
2018,Aug,76
2018,Sep,69
2018,Oct,69
2018,Nov,68
2018,Dec,68
2019,Jan,68
2019,Feb,71
2019,Mar,99
2019,Apr,100
2019,May,86
2019,Jun,74
2019,Jul,70
2019,Aug,68
2019,Sep,60
2019,Oct,62
2019,Nov,62
2019,Dec,63
2020,Jan,64
2020,Feb,64
2020,Mar,45
2020,Apr,25
2020,May,28
2020,Jun,31
2020,Jul,29
2020,Aug,37
2020,Sep,27
2020,Oct,28
2020,Nov,27
2020,Dec,25
2021,Jan,26
2021,Feb,32
2021,Mar,34
2021,Apr,34
2021,May,35
2021,Jun,37
2021,Jul,37
2021,Aug,36
2021,Sep,35
2021,Oct,35
2021,Nov,35
2021,Dec,33
2022,Jan,31
2022,Feb,34
2022,Mar,37
