CNAME:,HAGERTY INC
Google Trends Search Term:,hagerty
Google Trends Suggestion:,insurance company
Google Trends URL:,/g/11gz0fkg4
Year,Month,SVI Data
2004,Jan,17
2004,Feb,32
2004,Mar,52
2004,Apr,63
2004,May,29
2004,Jun,51
2004,Jul,42
2004,Aug,61
2004,Sep,36
2004,Oct,37
2004,Nov,38
2004,Dec,34
2005,Jan,35
2005,Feb,28
2005,Mar,36
2005,Apr,41
2005,May,59
2005,Jun,71
2005,Jul,57
2005,Aug,47
2005,Sep,39
2005,Oct,47
2005,Nov,33
2005,Dec,28
2006,Jan,56
2006,Feb,53
2006,Mar,52
2006,Apr,51
2006,May,56
2006,Jun,64
2006,Jul,64
2006,Aug,53
2006,Sep,52
2006,Oct,46
2006,Nov,34
2006,Dec,39
2007,Jan,54
2007,Feb,50
2007,Mar,51
2007,Apr,82
2007,May,74
2007,Jun,65
2007,Jul,62
2007,Aug,64
2007,Sep,58
2007,Oct,34
2007,Nov,49
2007,Dec,27
2008,Jan,49
2008,Feb,50
2008,Mar,54
2008,Apr,48
2008,May,43
2008,Jun,41
2008,Jul,51
2008,Aug,53
2008,Sep,34
2008,Oct,40
2008,Nov,29
2008,Dec,30
2009,Jan,36
2009,Feb,35
2009,Mar,39
2009,Apr,46
2009,May,48
2009,Jun,47
2009,Jul,57
2009,Aug,44
2009,Sep,47
2009,Oct,45
2009,Nov,31
2009,Dec,35
2010,Jan,51
2010,Feb,54
2010,Mar,59
2010,Apr,54
2010,May,61
2010,Jun,46
2010,Jul,56
2010,Aug,48
2010,Sep,53
2010,Oct,34
2010,Nov,43
2010,Dec,33
2011,Jan,45
2011,Feb,51
2011,Mar,59
2011,Apr,64
2011,May,65
2011,Jun,66
2011,Jul,60
2011,Aug,67
2011,Sep,62
2011,Oct,45
2011,Nov,49
2011,Dec,42
2012,Jan,58
2012,Feb,51
2012,Mar,66
2012,Apr,65
2012,May,65
2012,Jun,98
2012,Jul,68
2012,Aug,71
2012,Sep,64
2012,Oct,54
2012,Nov,46
2012,Dec,40
2013,Jan,89
2013,Feb,52
2013,Mar,61
2013,Apr,75
2013,May,91
2013,Jun,78
2013,Jul,74
2013,Aug,81
2013,Sep,65
2013,Oct,63
2013,Nov,49
2013,Dec,47
2014,Jan,67
2014,Feb,62
2014,Mar,79
2014,Apr,83
2014,May,87
2014,Jun,93
2014,Jul,86
2014,Aug,84
2014,Sep,75
2014,Oct,64
2014,Nov,55
2014,Dec,59
2015,Jan,67
2015,Feb,61
2015,Mar,75
2015,Apr,83
2015,May,83
2015,Jun,88
2015,Jul,88
2015,Aug,85
2015,Sep,74
2015,Oct,69
2015,Nov,59
2015,Dec,51
2016,Jan,49
2016,Feb,49
2016,Mar,55
2016,Apr,55
2016,May,63
2016,Jun,66
2016,Jul,57
2016,Aug,57
2016,Sep,51
2016,Oct,48
2016,Nov,39
2016,Dec,37
2017,Jan,47
2017,Feb,46
2017,Mar,56
2017,Apr,67
2017,May,68
2017,Jun,59
2017,Jul,62
2017,Aug,66
2017,Sep,56
2017,Oct,62
2017,Nov,49
2017,Dec,43
2018,Jan,59
2018,Feb,56
2018,Mar,59
2018,Apr,57
2018,May,70
2018,Jun,70
2018,Jul,71
2018,Aug,66
2018,Sep,69
2018,Oct,61
2018,Nov,57
2018,Dec,49
2019,Jan,61
2019,Feb,55
2019,Mar,70
2019,Apr,77
2019,May,81
2019,Jun,82
2019,Jul,77
2019,Aug,83
2019,Sep,72
2019,Oct,71
2019,Nov,59
2019,Dec,58
2020,Jan,67
2020,Feb,73
2020,Mar,67
2020,Apr,67
2020,May,75
2020,Jun,96
2020,Jul,89
2020,Aug,89
2020,Sep,83
2020,Oct,81
2020,Nov,59
2020,Dec,62
2021,Jan,71
2021,Feb,75
2021,Mar,85
2021,Apr,99
2021,May,99
2021,Jun,100
2021,Jul,90
2021,Aug,93
2021,Sep,92
2021,Oct,80
2021,Nov,72
2021,Dec,84
2022,Jan,80
2022,Feb,86
2022,Mar,98
