CNAME:,PTC INC
Google Trends Search Term:,ptc
Google Trends Suggestion:,computer software company
Google Trends URL:,/m/031lrz
Year,Month,SVI Data
2004,Jan,78
2004,Feb,84
2004,Mar,91
2004,Apr,80
2004,May,68
2004,Jun,85
2004,Jul,65
2004,Aug,82
2004,Sep,54
2004,Oct,63
2004,Nov,57
2004,Dec,100
2005,Jan,62
2005,Feb,98
2005,Mar,60
2005,Apr,72
2005,May,50
2005,Jun,65
2005,Jul,76
2005,Aug,57
2005,Sep,71
2005,Oct,68
2005,Nov,60
2005,Dec,51
2006,Jan,62
2006,Feb,57
2006,Mar,63
2006,Apr,62
2006,May,42
2006,Jun,58
2006,Jul,42
2006,Aug,51
2006,Sep,61
2006,Oct,56
2006,Nov,53
2006,Dec,48
2007,Jan,55
2007,Feb,54
2007,Mar,53
2007,Apr,62
2007,May,60
2007,Jun,65
2007,Jul,51
2007,Aug,48
2007,Sep,46
2007,Oct,54
2007,Nov,41
2007,Dec,46
2008,Jan,49
2008,Feb,52
2008,Mar,57
2008,Apr,51
2008,May,45
2008,Jun,57
2008,Jul,61
2008,Aug,46
2008,Sep,66
2008,Oct,51
2008,Nov,53
2008,Dec,51
2009,Jan,54
2009,Feb,57
2009,Mar,53
2009,Apr,40
2009,May,40
2009,Jun,46
2009,Jul,44
2009,Aug,42
2009,Sep,46
2009,Oct,51
2009,Nov,52
2009,Dec,43
2010,Jan,48
2010,Feb,51
2010,Mar,42
2010,Apr,47
2010,May,43
2010,Jun,42
2010,Jul,43
2010,Aug,44
2010,Sep,43
2010,Oct,49
2010,Nov,45
2010,Dec,38
2011,Jan,44
2011,Feb,43
2011,Mar,40
2011,Apr,37
2011,May,41
2011,Jun,37
2011,Jul,36
2011,Aug,39
2011,Sep,41
2011,Oct,39
2011,Nov,37
2011,Dec,34
2012,Jan,41
2012,Feb,38
2012,Mar,39
2012,Apr,35
2012,May,35
2012,Jun,32
2012,Jul,34
2012,Aug,34
2012,Sep,34
2012,Oct,35
2012,Nov,34
2012,Dec,32
2013,Jan,36
2013,Feb,37
2013,Mar,34
2013,Apr,36
2013,May,38
2013,Jun,31
2013,Jul,31
2013,Aug,36
2013,Sep,35
2013,Oct,37
2013,Nov,37
2013,Dec,32
2014,Jan,42
2014,Feb,41
2014,Mar,38
2014,Apr,37
2014,May,37
2014,Jun,36
2014,Jul,37
2014,Aug,42
2014,Sep,40
2014,Oct,37
2014,Nov,39
2014,Dec,35
2015,Jan,41
2015,Feb,45
2015,Mar,43
2015,Apr,41
2015,May,37
2015,Jun,43
2015,Jul,39
2015,Aug,36
2015,Sep,42
2015,Oct,45
2015,Nov,42
2015,Dec,38
2016,Jan,38
2016,Feb,41
2016,Mar,39
2016,Apr,36
2016,May,31
2016,Jun,36
2016,Jul,36
2016,Aug,47
2016,Sep,41
2016,Oct,37
2016,Nov,40
2016,Dec,28
2017,Jan,37
2017,Feb,39
2017,Mar,40
2017,Apr,36
2017,May,36
2017,Jun,31
2017,Jul,29
2017,Aug,28
2017,Sep,31
2017,Oct,37
2017,Nov,32
2017,Dec,30
2018,Jan,36
2018,Feb,37
2018,Mar,37
2018,Apr,33
2018,May,30
2018,Jun,36
2018,Jul,32
2018,Aug,32
2018,Sep,31
2018,Oct,34
2018,Nov,31
2018,Dec,26
2019,Jan,36
2019,Feb,36
2019,Mar,38
2019,Apr,33
2019,May,32
2019,Jun,31
2019,Jul,27
2019,Aug,30
2019,Sep,30
2019,Oct,38
2019,Nov,31
2019,Dec,26
2020,Jan,33
2020,Feb,32
2020,Mar,29
2020,Apr,25
2020,May,22
2020,Jun,25
2020,Jul,25
2020,Aug,25
2020,Sep,24
2020,Oct,23
2020,Nov,19
2020,Dec,19
2021,Jan,23
2021,Feb,25
2021,Mar,23
2021,Apr,22
2021,May,24
2021,Jun,21
2021,Jul,22
2021,Aug,23
2021,Sep,23
2021,Oct,20
2021,Nov,21
2021,Dec,21
2022,Jan,23
2022,Feb,25
2022,Mar,24
