CNAME:,MEDIVATION INC NEW
Google Trends Search Term:,medivation
Google Trends Suggestion:,company
Google Trends URL:,/m/03p2mvq
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,3
2005,Mar,3
2005,Apr,0
2005,May,3
2005,Jun,0
2005,Jul,3
2005,Aug,0
2005,Sep,8
2005,Oct,2
2005,Nov,2
2005,Dec,0
2006,Jan,6
2006,Feb,4
2006,Mar,2
2006,Apr,6
2006,May,6
2006,Jun,2
2006,Jul,2
2006,Aug,0
2006,Sep,9
2006,Oct,10
2006,Nov,7
2006,Dec,2
2007,Jan,13
2007,Feb,14
2007,Mar,12
2007,Apr,10
2007,May,14
2007,Jun,19
2007,Jul,10
2007,Aug,9
2007,Sep,11
2007,Oct,9
2007,Nov,4
2007,Dec,7
2008,Jan,9
2008,Feb,8
2008,Mar,9
2008,Apr,17
2008,May,5
2008,Jun,12
2008,Jul,28
2008,Aug,19
2008,Sep,29
2008,Oct,15
2008,Nov,10
2008,Dec,6
2009,Jan,12
2009,Feb,11
2009,Mar,9
2009,Apr,14
2009,May,19
2009,Jun,12
2009,Jul,9
2009,Aug,12
2009,Sep,7
2009,Oct,15
2009,Nov,16
2009,Dec,9
2010,Jan,13
2010,Feb,27
2010,Mar,49
2010,Apr,11
2010,May,9
2010,Jun,4
2010,Jul,10
2010,Aug,8
2010,Sep,7
2010,Oct,4
2010,Nov,5
2010,Dec,8
2011,Jan,6
2011,Feb,9
2011,Mar,8
2011,Apr,9
2011,May,16
2011,Jun,9
2011,Jul,9
2011,Aug,5
2011,Sep,9
2011,Oct,8
2011,Nov,34
2011,Dec,11
2012,Jan,12
2012,Feb,21
2012,Mar,19
2012,Apr,19
2012,May,20
2012,Jun,14
2012,Jul,16
2012,Aug,23
2012,Sep,31
2012,Oct,15
2012,Nov,13
2012,Dec,10
2013,Jan,12
2013,Feb,12
2013,Mar,11
2013,Apr,8
2013,May,12
2013,Jun,12
2013,Jul,14
2013,Aug,13
2013,Sep,17
2013,Oct,20
2013,Nov,16
2013,Dec,11
2014,Jan,21
2014,Feb,23
2014,Mar,23
2014,Apr,18
2014,May,9
2014,Jun,16
2014,Jul,13
2014,Aug,19
2014,Sep,22
2014,Oct,19
2014,Nov,20
2014,Dec,12
2015,Jan,10
2015,Feb,18
2015,Mar,18
2015,Apr,13
2015,May,17
2015,Jun,17
2015,Jul,30
2015,Aug,19
2015,Sep,20
2015,Oct,18
2015,Nov,25
2015,Dec,15
2016,Jan,19
2016,Feb,21
2016,Mar,23
2016,Apr,43
2016,May,58
2016,Jun,37
2016,Jul,41
2016,Aug,100
2016,Sep,26
2016,Oct,16
2016,Nov,11
2016,Dec,8
2017,Jan,11
2017,Feb,11
2017,Mar,9
2017,Apr,8
2017,May,10
2017,Jun,10
2017,Jul,7
2017,Aug,6
2017,Sep,6
2017,Oct,5
2017,Nov,5
2017,Dec,5
2018,Jan,4
2018,Feb,5
2018,Mar,3
2018,Apr,5
2018,May,4
2018,Jun,3
2018,Jul,6
2018,Aug,3
2018,Sep,4
2018,Oct,3
2018,Nov,2
2018,Dec,2
2019,Jan,4
2019,Feb,2
2019,Mar,3
2019,Apr,3
2019,May,3
2019,Jun,2
2019,Jul,3
2019,Aug,3
2019,Sep,3
2019,Oct,1
2019,Nov,1
2019,Dec,2
2020,Jan,2
2020,Feb,2
2020,Mar,3
2020,Apr,3
2020,May,3
2020,Jun,2
2020,Jul,3
2020,Aug,3
2020,Sep,4
2020,Oct,4
2020,Nov,1
2020,Dec,3
2021,Jan,2
2021,Feb,2
2021,Mar,3
2021,Apr,3
2021,May,3
2021,Jun,3
2021,Jul,2
2021,Aug,3
2021,Sep,1
2021,Oct,3
2021,Nov,3
2021,Dec,2
2022,Jan,3
2022,Feb,2
2022,Mar,3
