CNAME:,MICHAEL KORS HOLDINGS LTD
Google Trends Search Term:,michael kors (uk) ltd
Google Trends Suggestion:,company
Google Trends URL:,/g/11f01flkym
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,62
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,30
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,21
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,0
2008,Apr,15
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,14
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,13
2009,Jul,0
2009,Aug,13
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,11
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,11
2010,Jun,0
2010,Jul,10
2010,Aug,19
2010,Sep,37
2010,Oct,0
2010,Nov,9
2010,Dec,0
2011,Jan,0
2011,Feb,0
2011,Mar,7
2011,Apr,14
2011,May,7
2011,Jun,7
2011,Jul,0
2011,Aug,13
2011,Sep,6
2011,Oct,12
2011,Nov,6
2011,Dec,12
2012,Jan,11
2012,Feb,0
2012,Mar,5
2012,Apr,17
2012,May,11
2012,Jun,6
2012,Jul,5
2012,Aug,10
2012,Sep,11
2012,Oct,5
2012,Nov,10
2012,Dec,15
2013,Jan,5
2013,Feb,15
2013,Mar,31
2013,Apr,14
2013,May,41
2013,Jun,24
2013,Jul,23
2013,Aug,54
2013,Sep,58
2013,Oct,26
2013,Nov,44
2013,Dec,26
2014,Jan,17
2014,Feb,27
2014,Mar,25
2014,Apr,30
2014,May,59
2014,Jun,51
2014,Jul,44
2014,Aug,82
2014,Sep,66
2014,Oct,53
2014,Nov,53
2014,Dec,80
2015,Jan,32
2015,Feb,10
2015,Mar,46
2015,Apr,23
2015,May,38
2015,Jun,45
2015,Jul,63
2015,Aug,100
2015,Sep,83
2015,Oct,53
2015,Nov,46
2015,Dec,53
2016,Jan,37
2016,Feb,57
2016,Mar,43
2016,Apr,41
2016,May,37
2016,Jun,31
2016,Jul,20
2016,Aug,24
2016,Sep,22
2016,Oct,44
2016,Nov,36
2016,Dec,24
2017,Jan,27
2017,Feb,18
2017,Mar,22
2017,Apr,24
2017,May,31
2017,Jun,26
2017,Jul,47
2017,Aug,55
2017,Sep,27
2017,Oct,73
2017,Nov,37
2017,Dec,20
2018,Jan,16
2018,Feb,10
2018,Mar,19
2018,Apr,17
2018,May,10
2018,Jun,24
2018,Jul,37
2018,Aug,43
2018,Sep,47
2018,Oct,23
2018,Nov,23
2018,Dec,27
2019,Jan,22
2019,Feb,24
2019,Mar,16
2019,Apr,23
2019,May,29
2019,Jun,30
2019,Jul,20
2019,Aug,16
2019,Sep,28
2019,Oct,12
2019,Nov,34
2019,Dec,21
2020,Jan,6
2020,Feb,9
2020,Mar,5
2020,Apr,8
2020,May,3
2020,Jun,17
2020,Jul,17
2020,Aug,14
2020,Sep,11
2020,Oct,12
2020,Nov,15
2020,Dec,19
2021,Jan,15
2021,Feb,20
2021,Mar,3
2021,Apr,9
2021,May,13
2021,Jun,13
2021,Jul,19
2021,Aug,10
2021,Sep,10
2021,Oct,10
2021,Nov,14
2021,Dec,30
2022,Jan,16
2022,Feb,4
2022,Mar,7
