CNAME:,BEST BUY CO INC
Google Trends Search Term:,best buy
Google Trends Suggestion:,consumer electronics company
Google Trends URL:,/m/01zrdx
Year,Month,SVI Data
2004,Jan,26
2004,Feb,22
2004,Mar,20
2004,Apr,20
2004,May,25
2004,Jun,28
2004,Jul,29
2004,Aug,31
2004,Sep,28
2004,Oct,28
2004,Nov,50
2004,Dec,60
2005,Jan,33
2005,Feb,30
2005,Mar,29
2005,Apr,27
2005,May,30
2005,Jun,33
2005,Jul,33
2005,Aug,34
2005,Sep,31
2005,Oct,33
2005,Nov,55
2005,Dec,71
2006,Jan,40
2006,Feb,34
2006,Mar,34
2006,Apr,32
2006,May,33
2006,Jun,35
2006,Jul,37
2006,Aug,39
2006,Sep,37
2006,Oct,39
2006,Nov,66
2006,Dec,80
2007,Jan,48
2007,Feb,44
2007,Mar,36
2007,Apr,37
2007,May,38
2007,Jun,43
2007,Jul,42
2007,Aug,44
2007,Sep,43
2007,Oct,42
2007,Nov,75
2007,Dec,91
2008,Jan,49
2008,Feb,45
2008,Mar,41
2008,Apr,37
2008,May,43
2008,Jun,46
2008,Jul,46
2008,Aug,46
2008,Sep,41
2008,Oct,40
2008,Nov,68
2008,Dec,89
2009,Jan,52
2009,Feb,44
2009,Mar,37
2009,Apr,35
2009,May,39
2009,Jun,43
2009,Jul,42
2009,Aug,45
2009,Sep,39
2009,Oct,39
2009,Nov,71
2009,Dec,78
2010,Jan,46
2010,Feb,41
2010,Mar,37
2010,Apr,35
2010,May,38
2010,Jun,41
2010,Jul,42
2010,Aug,41
2010,Sep,41
2010,Oct,41
2010,Nov,73
2010,Dec,77
2011,Jan,56
2011,Feb,58
2011,Mar,52
2011,Apr,48
2011,May,49
2011,Jun,51
2011,Jul,54
2011,Aug,57
2011,Sep,50
2011,Oct,50
2011,Nov,100
2011,Dec,93
2012,Jan,60
2012,Feb,55
2012,Mar,49
2012,Apr,41
2012,May,42
2012,Jun,43
2012,Jul,44
2012,Aug,43
2012,Sep,44
2012,Oct,43
2012,Nov,89
2012,Dec,79
2013,Jan,46
2013,Feb,44
2013,Mar,40
2013,Apr,37
2013,May,36
2013,Jun,40
2013,Jul,42
2013,Aug,42
2013,Sep,41
2013,Oct,38
2013,Nov,79
2013,Dec,82
2014,Jan,43
2014,Feb,41
2014,Mar,38
2014,Apr,33
2014,May,35
2014,Jun,38
2014,Jul,39
2014,Aug,40
2014,Sep,40
2014,Oct,36
2014,Nov,72
2014,Dec,71
2015,Jan,38
2015,Feb,35
2015,Mar,34
2015,Apr,31
2015,May,34
2015,Jun,37
2015,Jul,39
2015,Aug,41
2015,Sep,37
2015,Oct,35
2015,Nov,70
2015,Dec,63
2016,Jan,36
2016,Feb,35
2016,Mar,33
2016,Apr,30
2016,May,32
2016,Jun,33
2016,Jul,35
2016,Aug,36
2016,Sep,34
2016,Oct,31
2016,Nov,69
2016,Dec,62
2017,Jan,35
2017,Feb,32
2017,Mar,32
2017,Apr,29
2017,May,31
2017,Jun,33
2017,Jul,33
2017,Aug,36
2017,Sep,32
2017,Oct,31
2017,Nov,72
2017,Dec,55
2018,Jan,33
2018,Feb,30
2018,Mar,30
2018,Apr,28
2018,May,31
2018,Jun,31
2018,Jul,33
2018,Aug,33
2018,Sep,31
2018,Oct,28
2018,Nov,66
2018,Dec,55
2019,Jan,31
2019,Feb,29
2019,Mar,31
2019,Apr,28
2019,May,30
2019,Jun,32
2019,Jul,32
2019,Aug,32
2019,Sep,30
2019,Oct,27
2019,Nov,57
2019,Dec,56
2020,Jan,30
2020,Feb,28
2020,Mar,35
2020,Apr,42
2020,May,47
2020,Jun,43
2020,Jul,39
2020,Aug,40
2020,Sep,38
2020,Oct,38
2020,Nov,78
2020,Dec,67
2021,Jan,41
2021,Feb,36
2021,Mar,39
2021,Apr,33
2021,May,32
2021,Jun,31
2021,Jul,31
2021,Aug,31
2021,Sep,30
2021,Oct,30
2021,Nov,55
2021,Dec,47
2022,Jan,31
2022,Feb,29
2022,Mar,27
