CNAME:,JUNIPER NETWORKS INC
Google Trends Search Term:,juniper networks
Google Trends Suggestion:,corporation
Google Trends URL:,/m/031_4d
Year,Month,SVI Data
2004,Jan,41
2004,Feb,51
2004,Mar,35
2004,Apr,42
2004,May,47
2004,Jun,46
2004,Jul,49
2004,Aug,44
2004,Sep,47
2004,Oct,47
2004,Nov,40
2004,Dec,46
2005,Jan,49
2005,Feb,47
2005,Mar,57
2005,Apr,64
2005,May,67
2005,Jun,62
2005,Jul,60
2005,Aug,59
2005,Sep,58
2005,Oct,57
2005,Nov,64
2005,Dec,57
2006,Jan,64
2006,Feb,61
2006,Mar,73
2006,Apr,73
2006,May,74
2006,Jun,71
2006,Jul,73
2006,Aug,77
2006,Sep,73
2006,Oct,66
2006,Nov,68
2006,Dec,70
2007,Jan,76
2007,Feb,67
2007,Mar,80
2007,Apr,87
2007,May,80
2007,Jun,84
2007,Jul,81
2007,Aug,84
2007,Sep,84
2007,Oct,79
2007,Nov,83
2007,Dec,82
2008,Jan,88
2008,Feb,89
2008,Mar,91
2008,Apr,93
2008,May,91
2008,Jun,91
2008,Jul,100
2008,Aug,97
2008,Sep,93
2008,Oct,96
2008,Nov,88
2008,Dec,90
2009,Jan,91
2009,Feb,92
2009,Mar,93
2009,Apr,90
2009,May,91
2009,Jun,94
2009,Jul,91
2009,Aug,85
2009,Sep,84
2009,Oct,87
2009,Nov,81
2009,Dec,73
2010,Jan,78
2010,Feb,80
2010,Mar,76
2010,Apr,79
2010,May,76
2010,Jun,82
2010,Jul,76
2010,Aug,75
2010,Sep,71
2010,Oct,74
2010,Nov,72
2010,Dec,66
2011,Jan,71
2011,Feb,74
2011,Mar,82
2011,Apr,73
2011,May,75
2011,Jun,72
2011,Jul,72
2011,Aug,73
2011,Sep,71
2011,Oct,66
2011,Nov,60
2011,Dec,59
2012,Jan,62
2012,Feb,59
2012,Mar,62
2012,Apr,62
2012,May,61
2012,Jun,61
2012,Jul,60
2012,Aug,63
2012,Sep,57
2012,Oct,62
2012,Nov,53
2012,Dec,49
2013,Jan,54
2013,Feb,56
2013,Mar,56
2013,Apr,59
2013,May,57
2013,Jun,56
2013,Jul,55
2013,Aug,54
2013,Sep,50
2013,Oct,60
2013,Nov,53
2013,Dec,49
2014,Jan,58
2014,Feb,57
2014,Mar,53
2014,Apr,58
2014,May,52
2014,Jun,55
2014,Jul,54
2014,Aug,53
2014,Sep,51
2014,Oct,52
2014,Nov,49
2014,Dec,44
2015,Jan,45
2015,Feb,51
2015,Mar,48
2015,Apr,52
2015,May,47
2015,Jun,49
2015,Jul,52
2015,Aug,50
2015,Sep,46
2015,Oct,51
2015,Nov,44
2015,Dec,50
2016,Jan,39
2016,Feb,42
2016,Mar,42
2016,Apr,42
2016,May,40
2016,Jun,41
2016,Jul,35
2016,Aug,38
2016,Sep,35
2016,Oct,36
2016,Nov,34
2016,Dec,31
2017,Jan,33
2017,Feb,35
2017,Mar,39
2017,Apr,34
2017,May,37
2017,Jun,36
2017,Jul,34
2017,Aug,34
2017,Sep,32
2017,Oct,34
2017,Nov,31
2017,Dec,29
2018,Jan,31
2018,Feb,33
2018,Mar,31
2018,Apr,32
2018,May,33
2018,Jun,33
2018,Jul,33
2018,Aug,32
2018,Sep,30
2018,Oct,30
2018,Nov,31
2018,Dec,33
2019,Jan,29
2019,Feb,30
2019,Mar,31
2019,Apr,32
2019,May,31
2019,Jun,29
2019,Jul,28
2019,Aug,28
2019,Sep,28
2019,Oct,27
2019,Nov,26
2019,Dec,22
2020,Jan,26
2020,Feb,27
2020,Mar,24
2020,Apr,24
2020,May,25
2020,Jun,27
2020,Jul,24
2020,Aug,25
2020,Sep,22
2020,Oct,21
2020,Nov,19
2020,Dec,20
2021,Jan,20
2021,Feb,22
2021,Mar,22
2021,Apr,27
2021,May,24
2021,Jun,24
2021,Jul,24
2021,Aug,24
2021,Sep,23
2021,Oct,22
2021,Nov,22
2021,Dec,21
2022,Jan,22
2022,Feb,24
2022,Mar,23
