CNAME:,WASHINGTON MUTUAL INC
Google Trends Search Term:,washington mutual
Google Trends Suggestion:,banking company
Google Trends URL:,/m/01fd0f
Year,Month,SVI Data
2004,Jan,50
2004,Feb,46
2004,Mar,49
2004,Apr,57
2004,May,48
2004,Jun,52
2004,Jul,57
2004,Aug,52
2004,Sep,49
2004,Oct,47
2004,Nov,48
2004,Dec,48
2005,Jan,52
2005,Feb,54
2005,Mar,47
2005,Apr,46
2005,May,50
2005,Jun,58
2005,Jul,57
2005,Aug,56
2005,Sep,52
2005,Oct,48
2005,Nov,47
2005,Dec,49
2006,Jan,49
2006,Feb,51
2006,Mar,54
2006,Apr,53
2006,May,50
2006,Jun,54
2006,Jul,57
2006,Aug,53
2006,Sep,52
2006,Oct,50
2006,Nov,46
2006,Dec,48
2007,Jan,49
2007,Feb,49
2007,Mar,46
2007,Apr,47
2007,May,45
2007,Jun,48
2007,Jul,48
2007,Aug,51
2007,Sep,44
2007,Oct,44
2007,Nov,43
2007,Dec,42
2008,Jan,45
2008,Feb,42
2008,Mar,45
2008,Apr,45
2008,May,42
2008,Jun,40
2008,Jul,53
2008,Aug,43
2008,Sep,100
2008,Oct,45
2008,Nov,31
2008,Dec,34
2009,Jan,34
2009,Feb,32
2009,Mar,33
2009,Apr,26
2009,May,24
2009,Jun,22
2009,Jul,21
2009,Aug,16
2009,Sep,14
2009,Oct,12
2009,Nov,7
2009,Dec,5
2010,Jan,5
2010,Feb,4
2010,Mar,4
2010,Apr,4
2010,May,3
2010,Jun,3
2010,Jul,3
2010,Aug,2
2010,Sep,2
2010,Oct,2
2010,Nov,2
2010,Dec,2
2011,Jan,2
2011,Feb,2
2011,Mar,2
2011,Apr,2
2011,May,2
2011,Jun,2
2011,Jul,2
2011,Aug,2
2011,Sep,2
2011,Oct,1
2011,Nov,1
2011,Dec,1
2012,Jan,1
2012,Feb,1
2012,Mar,1
2012,Apr,1
2012,May,1
2012,Jun,1
2012,Jul,1
2012,Aug,1
2012,Sep,1
2012,Oct,1
2012,Nov,1
2012,Dec,1
2013,Jan,1
2013,Feb,1
2013,Mar,1
2013,Apr,1
2013,May,1
2013,Jun,1
2013,Jul,1
2013,Aug,1
2013,Sep,1
2013,Oct,1
2013,Nov,1
2013,Dec,1
2014,Jan,1
2014,Feb,1
2014,Mar,1
2014,Apr,1
2014,May,1
2014,Jun,1
2014,Jul,1
2014,Aug,1
2014,Sep,1
2014,Oct,0
2014,Nov,0
2014,Dec,1
2015,Jan,0
2015,Feb,0
2015,Mar,1
2015,Apr,1
2015,May,0
2015,Jun,0
2015,Jul,0
2015,Aug,0
2015,Sep,0
2015,Oct,0
2015,Nov,0
2015,Dec,0
2016,Jan,0
2016,Feb,0
2016,Mar,0
2016,Apr,0
2016,May,0
2016,Jun,0
2016,Jul,0
2016,Aug,0
2016,Sep,0
2016,Oct,0
2016,Nov,0
2016,Dec,0
2017,Jan,0
2017,Feb,0
2017,Mar,0
2017,Apr,0
2017,May,0
2017,Jun,0
2017,Jul,0
2017,Aug,0
2017,Sep,0
2017,Oct,0
2017,Nov,0
2017,Dec,0
2018,Jan,0
2018,Feb,0
2018,Mar,0
2018,Apr,0
2018,May,0
2018,Jun,0
2018,Jul,0
2018,Aug,0
2018,Sep,0
2018,Oct,0
2018,Nov,0
2018,Dec,0
2019,Jan,0
2019,Feb,0
2019,Mar,0
2019,Apr,0
2019,May,0
2019,Jun,0
2019,Jul,0
2019,Aug,0
2019,Sep,0
2019,Oct,0
2019,Nov,0
2019,Dec,0
2020,Jan,0
2020,Feb,0
2020,Mar,0
2020,Apr,0
2020,May,0
2020,Jun,0
2020,Jul,0
2020,Aug,0
2020,Sep,0
2020,Oct,0
2020,Nov,0
2020,Dec,0
2021,Jan,0
2021,Feb,0
2021,Mar,0
2021,Apr,0
2021,May,0
2021,Jun,0
2021,Jul,0
2021,Aug,0
2021,Sep,0
2021,Oct,0
2021,Nov,0
2021,Dec,0
2022,Jan,0
2022,Feb,0
2022,Mar,0
