CNAME:,NEW YORK TIMES CO
Google Trends Search Term:,the new york times company
Google Trends Suggestion:,media company
Google Trends URL:,/m/07l1c
Year,Month,SVI Data
2004,Jan,60
2004,Feb,90
2004,Mar,60
2004,Apr,65
2004,May,56
2004,Jun,96
2004,Jul,66
2004,Aug,49
2004,Sep,60
2004,Oct,68
2004,Nov,63
2004,Dec,53
2005,Jan,70
2005,Feb,52
2005,Mar,88
2005,Apr,64
2005,May,55
2005,Jun,90
2005,Jul,77
2005,Aug,65
2005,Sep,81
2005,Oct,88
2005,Nov,56
2005,Dec,67
2006,Jan,82
2006,Feb,61
2006,Mar,66
2006,Apr,49
2006,May,46
2006,Jun,55
2006,Jul,57
2006,Aug,41
2006,Sep,59
2006,Oct,56
2006,Nov,64
2006,Dec,40
2007,Jan,35
2007,Feb,48
2007,Mar,53
2007,Apr,44
2007,May,51
2007,Jun,53
2007,Jul,49
2007,Aug,52
2007,Sep,52
2007,Oct,46
2007,Nov,41
2007,Dec,43
2008,Jan,50
2008,Feb,66
2008,Mar,48
2008,Apr,54
2008,May,52
2008,Jun,48
2008,Jul,42
2008,Aug,67
2008,Sep,82
2008,Oct,100
2008,Nov,65
2008,Dec,59
2009,Jan,61
2009,Feb,65
2009,Mar,69
2009,Apr,71
2009,May,67
2009,Jun,53
2009,Jul,63
2009,Aug,51
2009,Sep,71
2009,Oct,66
2009,Nov,70
2009,Dec,60
2010,Jan,81
2010,Feb,75
2010,Mar,82
2010,Apr,66
2010,May,54
2010,Jun,39
2010,Jul,52
2010,Aug,42
2010,Sep,64
2010,Oct,62
2010,Nov,56
2010,Dec,62
2011,Jan,67
2011,Feb,59
2011,Mar,68
2011,Apr,72
2011,May,61
2011,Jun,67
2011,Jul,86
2011,Aug,57
2011,Sep,64
2011,Oct,62
2011,Nov,59
2011,Dec,63
2012,Jan,53
2012,Feb,60
2012,Mar,63
2012,Apr,57
2012,May,48
2012,Jun,61
2012,Jul,51
2012,Aug,64
2012,Sep,85
2012,Oct,69
2012,Nov,66
2012,Dec,50
2013,Jan,47
2013,Feb,51
2013,Mar,44
2013,Apr,51
2013,May,44
2013,Jun,41
2013,Jul,48
2013,Aug,45
2013,Sep,43
2013,Oct,53
2013,Nov,44
2013,Dec,54
2014,Jan,60
2014,Feb,48
2014,Mar,52
2014,Apr,56
2014,May,58
2014,Jun,41
2014,Jul,46
2014,Aug,48
2014,Sep,60
2014,Oct,47
2014,Nov,50
2014,Dec,54
2015,Jan,53
2015,Feb,47
2015,Mar,46
2015,Apr,63
2015,May,41
2015,Jun,45
2015,Jul,48
2015,Aug,45
2015,Sep,42
2015,Oct,59
2015,Nov,60
2015,Dec,50
2016,Jan,46
2016,Feb,62
2016,Mar,67
2016,Apr,41
2016,May,47
2016,Jun,41
2016,Jul,42
2016,Aug,47
2016,Sep,49
2016,Oct,56
2016,Nov,75
2016,Dec,42
2017,Jan,52
2017,Feb,63
2017,Mar,53
2017,Apr,44
2017,May,52
2017,Jun,51
2017,Jul,45
2017,Aug,46
2017,Sep,41
2017,Oct,45
2017,Nov,46
2017,Dec,43
2018,Jan,45
2018,Feb,48
2018,Mar,45
2018,Apr,41
2018,May,49
2018,Jun,46
2018,Jul,39
2018,Aug,33
2018,Sep,58
2018,Oct,46
2018,Nov,40
2018,Dec,31
2019,Jan,46
2019,Feb,42
2019,Mar,34
2019,Apr,38
2019,May,34
2019,Jun,29
2019,Jul,35
2019,Aug,40
2019,Sep,43
2019,Oct,35
2019,Nov,35
2019,Dec,33
2020,Jan,31
2020,Feb,39
2020,Mar,42
2020,Apr,44
2020,May,34
2020,Jun,49
2020,Jul,72
2020,Aug,36
2020,Sep,36
2020,Oct,38
2020,Nov,36
2020,Dec,40
2021,Jan,35
2021,Feb,33
2021,Mar,27
2021,Apr,29
2021,May,27
2021,Jun,28
2021,Jul,24
2021,Aug,27
2021,Sep,30
2021,Oct,26
2021,Nov,31
2021,Dec,32
2022,Jan,33
2022,Feb,36
2022,Mar,38
