CNAME:,BROOKFIELD PROPERTY REIT INC
Google Trends Search Term:,brookfield property partners
Google Trends Suggestion:,commercial real estate company
Google Trends URL:,/g/11cmttxysf
Year,Month,SVI Data
2004,Jan,0
2004,Feb,48
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,87
2004,Jul,0
2004,Aug,40
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,28
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,21
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,14
2007,Feb,0
2007,Mar,14
2007,Apr,14
2007,May,0
2007,Jun,13
2007,Jul,25
2007,Aug,0
2007,Sep,24
2007,Oct,22
2007,Nov,11
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,0
2008,Apr,10
2008,May,10
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,8
2008,Nov,0
2008,Dec,0
2009,Jan,9
2009,Feb,0
2009,Mar,0
2009,Apr,25
2009,May,8
2009,Jun,0
2009,Jul,0
2009,Aug,8
2009,Sep,0
2009,Oct,8
2009,Nov,0
2009,Dec,8
2010,Jan,15
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,8
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,13
2010,Oct,6
2010,Nov,0
2010,Dec,6
2011,Jan,0
2011,Feb,0
2011,Mar,5
2011,Apr,5
2011,May,5
2011,Jun,5
2011,Jul,10
2011,Aug,0
2011,Sep,0
2011,Oct,4
2011,Nov,0
2011,Dec,0
2012,Jan,4
2012,Feb,0
2012,Mar,0
2012,Apr,4
2012,May,4
2012,Jun,12
2012,Jul,0
2012,Aug,7
2012,Sep,4
2012,Oct,3
2012,Nov,25
2012,Dec,3
2013,Jan,6
2013,Feb,14
2013,Mar,22
2013,Apr,19
2013,May,16
2013,Jun,20
2013,Jul,29
2013,Aug,32
2013,Sep,25
2013,Oct,21
2013,Nov,25
2013,Dec,18
2014,Jan,21
2014,Feb,32
2014,Mar,49
2014,Apr,21
2014,May,16
2014,Jun,14
2014,Jul,10
2014,Aug,27
2014,Sep,43
2014,Oct,28
2014,Nov,40
2014,Dec,16
2015,Jan,10
2015,Feb,37
2015,Mar,32
2015,Apr,36
2015,May,24
2015,Jun,39
2015,Jul,14
2015,Aug,7
2015,Sep,29
2015,Oct,28
2015,Nov,29
2015,Dec,25
2016,Jan,28
2016,Feb,19
2016,Mar,32
2016,Apr,26
2016,May,38
2016,Jun,30
2016,Jul,17
2016,Aug,20
2016,Sep,24
2016,Oct,23
2016,Nov,16
2016,Dec,24
2017,Jan,13
2017,Feb,38
2017,Mar,26
2017,Apr,37
2017,May,40
2017,Jun,31
2017,Jul,26
2017,Aug,24
2017,Sep,26
2017,Oct,34
2017,Nov,62
2017,Dec,39
2018,Jan,29
2018,Feb,29
2018,Mar,69
2018,Apr,61
2018,May,62
2018,Jun,48
2018,Jul,43
2018,Aug,72
2018,Sep,56
2018,Oct,58
2018,Nov,42
2018,Dec,72
2019,Jan,77
2019,Feb,80
2019,Mar,100
2019,Apr,44
2019,May,39
2019,Jun,32
2019,Jul,47
2019,Aug,41
2019,Sep,44
2019,Oct,51
2019,Nov,27
2019,Dec,23
2020,Jan,44
2020,Feb,40
2020,Mar,75
2020,Apr,59
2020,May,72
2020,Jun,62
2020,Jul,66
2020,Aug,58
2020,Sep,80
2020,Oct,63
2020,Nov,57
2020,Dec,26
2021,Jan,57
2021,Feb,56
2021,Mar,48
2021,Apr,52
2021,May,48
2021,Jun,33
2021,Jul,47
2021,Aug,37
2021,Sep,41
2021,Oct,25
2021,Nov,17
2021,Dec,21
2022,Jan,17
2022,Feb,14
2022,Mar,38
