CNAME:,FOX CORP
Google Trends Search Term:,fox corporation
Google Trends Suggestion:,mass media company
Google Trends URL:,/g/11fkd9nfcb
Year,Month,SVI Data
2004,Jan,17
2004,Feb,17
2004,Mar,33
2004,Apr,25
2004,May,30
2004,Jun,39
2004,Jul,24
2004,Aug,29
2004,Sep,21
2004,Oct,7
2004,Nov,29
2004,Dec,26
2005,Jan,45
2005,Feb,12
2005,Mar,5
2005,Apr,12
2005,May,10
2005,Jun,32
2005,Jul,21
2005,Aug,20
2005,Sep,27
2005,Oct,13
2005,Nov,31
2005,Dec,12
2006,Jan,7
2006,Feb,38
2006,Mar,10
2006,Apr,7
2006,May,10
2006,Jun,21
2006,Jul,14
2006,Aug,9
2006,Sep,22
2006,Oct,15
2006,Nov,17
2006,Dec,14
2007,Jan,15
2007,Feb,5
2007,Mar,15
2007,Apr,15
2007,May,9
2007,Jun,7
2007,Jul,9
2007,Aug,15
2007,Sep,17
2007,Oct,21
2007,Nov,17
2007,Dec,8
2008,Jan,16
2008,Feb,18
2008,Mar,18
2008,Apr,21
2008,May,16
2008,Jun,9
2008,Jul,7
2008,Aug,16
2008,Sep,18
2008,Oct,21
2008,Nov,17
2008,Dec,7
2009,Jan,12
2009,Feb,26
2009,Mar,18
2009,Apr,25
2009,May,15
2009,Jun,12
2009,Jul,14
2009,Aug,22
2009,Sep,10
2009,Oct,19
2009,Nov,15
2009,Dec,15
2010,Jan,14
2010,Feb,11
2010,Mar,13
2010,Apr,11
2010,May,7
2010,Jun,11
2010,Jul,12
2010,Aug,16
2010,Sep,14
2010,Oct,18
2010,Nov,19
2010,Dec,8
2011,Jan,13
2011,Feb,11
2011,Mar,14
2011,Apr,12
2011,May,10
2011,Jun,9
2011,Jul,15
2011,Aug,13
2011,Sep,10
2011,Oct,15
2011,Nov,6
2011,Dec,11
2012,Jan,10
2012,Feb,8
2012,Mar,6
2012,Apr,9
2012,May,7
2012,Jun,12
2012,Jul,9
2012,Aug,10
2012,Sep,6
2012,Oct,11
2012,Nov,8
2012,Dec,7
2013,Jan,5
2013,Feb,9
2013,Mar,6
2013,Apr,9
2013,May,8
2013,Jun,7
2013,Jul,7
2013,Aug,12
2013,Sep,5
2013,Oct,7
2013,Nov,7
2013,Dec,5
2014,Jan,7
2014,Feb,8
2014,Mar,7
2014,Apr,5
2014,May,5
2014,Jun,8
2014,Jul,6
2014,Aug,8
2014,Sep,4
2014,Oct,7
2014,Nov,7
2014,Dec,9
2015,Jan,9
2015,Feb,9
2015,Mar,5
2015,Apr,5
2015,May,7
2015,Jun,5
2015,Jul,10
2015,Aug,17
2015,Sep,8
2015,Oct,9
2015,Nov,6
2015,Dec,5
2016,Jan,13
2016,Feb,5
2016,Mar,8
2016,Apr,5
2016,May,7
2016,Jun,6
2016,Jul,8
2016,Aug,5
2016,Sep,7
2016,Oct,4
2016,Nov,7
2016,Dec,7
2017,Jan,10
2017,Feb,11
2017,Mar,8
2017,Apr,13
2017,May,14
2017,Jun,8
2017,Jul,8
2017,Aug,6
2017,Sep,3
2017,Oct,7
2017,Nov,9
2017,Dec,16
2018,Jan,10
2018,Feb,21
2018,Mar,7
2018,Apr,8
2018,May,6
2018,Jun,14
2018,Jul,7
2018,Aug,7
2018,Sep,8
2018,Oct,9
2018,Nov,8
2018,Dec,9
2019,Jan,12
2019,Feb,10
2019,Mar,57
2019,Apr,23
2019,May,32
2019,Jun,18
2019,Jul,24
2019,Aug,38
2019,Sep,30
2019,Oct,26
2019,Nov,31
2019,Dec,17
2020,Jan,27
2020,Feb,31
2020,Mar,51
2020,Apr,40
2020,May,32
2020,Jun,65
2020,Jul,38
2020,Aug,38
2020,Sep,30
2020,Oct,36
2020,Nov,100
2020,Dec,26
2021,Jan,43
2021,Feb,41
2021,Mar,40
2021,Apr,28
2021,May,22
2021,Jun,31
2021,Jul,23
2021,Aug,25
2021,Sep,26
2021,Oct,37
2021,Nov,38
2021,Dec,31
2022,Jan,27
2022,Feb,27
2022,Mar,14
