CNAME:,CMS ENERGY CORP
Google Trends Search Term:,cms energy
Google Trends Suggestion:,energy company
Google Trends URL:,/m/068gqw
Year,Month,SVI Data
2004,Jan,56
2004,Feb,100
2004,Mar,93
2004,Apr,62
2004,May,8
2004,Jun,50
2004,Jul,68
2004,Aug,46
2004,Sep,59
2004,Oct,30
2004,Nov,54
2004,Dec,21
2005,Jan,42
2005,Feb,76
2005,Mar,32
2005,Apr,37
2005,May,33
2005,Jun,23
2005,Jul,39
2005,Aug,37
2005,Sep,53
2005,Oct,41
2005,Nov,33
2005,Dec,44
2006,Jan,32
2006,Feb,45
2006,Mar,44
2006,Apr,27
2006,May,61
2006,Jun,49
2006,Jul,56
2006,Aug,30
2006,Sep,31
2006,Oct,41
2006,Nov,31
2006,Dec,37
2007,Jan,33
2007,Feb,40
2007,Mar,49
2007,Apr,45
2007,May,39
2007,Jun,21
2007,Jul,36
2007,Aug,48
2007,Sep,25
2007,Oct,27
2007,Nov,29
2007,Dec,24
2008,Jan,23
2008,Feb,20
2008,Mar,19
2008,Apr,36
2008,May,40
2008,Jun,18
2008,Jul,21
2008,Aug,25
2008,Sep,30
2008,Oct,37
2008,Nov,21
2008,Dec,21
2009,Jan,23
2009,Feb,35
2009,Mar,33
2009,Apr,29
2009,May,31
2009,Jun,39
2009,Jul,35
2009,Aug,25
2009,Sep,18
2009,Oct,17
2009,Nov,21
2009,Dec,18
2010,Jan,25
2010,Feb,27
2010,Mar,19
2010,Apr,23
2010,May,18
2010,Jun,28
2010,Jul,17
2010,Aug,16
2010,Sep,25
2010,Oct,29
2010,Nov,18
2010,Dec,22
2011,Jan,20
2011,Feb,21
2011,Mar,23
2011,Apr,19
2011,May,26
2011,Jun,22
2011,Jul,17
2011,Aug,21
2011,Sep,18
2011,Oct,16
2011,Nov,15
2011,Dec,12
2012,Jan,18
2012,Feb,16
2012,Mar,18
2012,Apr,14
2012,May,16
2012,Jun,14
2012,Jul,15
2012,Aug,15
2012,Sep,19
2012,Oct,20
2012,Nov,20
2012,Dec,14
2013,Jan,16
2013,Feb,16
2013,Mar,16
2013,Apr,21
2013,May,15
2013,Jun,17
2013,Jul,16
2013,Aug,14
2013,Sep,21
2013,Oct,24
2013,Nov,17
2013,Dec,15
2014,Jan,14
2014,Feb,16
2014,Mar,11
2014,Apr,16
2014,May,11
2014,Jun,11
2014,Jul,19
2014,Aug,12
2014,Sep,16
2014,Oct,14
2014,Nov,16
2014,Dec,14
2015,Jan,22
2015,Feb,19
2015,Mar,16
2015,Apr,19
2015,May,14
2015,Jun,15
2015,Jul,23
2015,Aug,19
2015,Sep,21
2015,Oct,16
2015,Nov,16
2015,Dec,12
2016,Jan,15
2016,Feb,22
2016,Mar,19
2016,Apr,17
2016,May,17
2016,Jun,18
2016,Jul,15
2016,Aug,17
2016,Sep,19
2016,Oct,17
2016,Nov,26
2016,Dec,22
2017,Jan,19
2017,Feb,15
2017,Mar,24
2017,Apr,21
2017,May,13
2017,Jun,19
2017,Jul,18
2017,Aug,14
2017,Sep,15
2017,Oct,15
2017,Nov,21
2017,Dec,16
2018,Jan,18
2018,Feb,19
2018,Mar,17
2018,Apr,16
2018,May,18
2018,Jun,16
2018,Jul,18
2018,Aug,24
2018,Sep,22
2018,Oct,17
2018,Nov,13
2018,Dec,16
2019,Jan,19
2019,Feb,20
2019,Mar,18
2019,Apr,16
2019,May,14
2019,Jun,15
2019,Jul,15
2019,Aug,12
2019,Sep,11
2019,Oct,16
2019,Nov,13
2019,Dec,10
2020,Jan,19
2020,Feb,19
2020,Mar,20
2020,Apr,19
2020,May,13
2020,Jun,20
2020,Jul,12
2020,Aug,12
2020,Sep,11
2020,Oct,17
2020,Nov,18
2020,Dec,11
2021,Jan,11
2021,Feb,11
2021,Mar,11
2021,Apr,12
2021,May,11
2021,Jun,18
2021,Jul,9
2021,Aug,19
2021,Sep,12
2021,Oct,17
2021,Nov,16
2021,Dec,13
2022,Jan,9
2022,Feb,20
2022,Mar,20
