CNAME:,AUTOZONE INC
Google Trends Search Term:,autozone
Google Trends Suggestion:,retail company
Google Trends URL:,/m/02z6wl
Year,Month,SVI Data
2004,Jan,17
2004,Feb,17
2004,Mar,18
2004,Apr,18
2004,May,20
2004,Jun,23
2004,Jul,23
2004,Aug,23
2004,Sep,21
2004,Oct,21
2004,Nov,20
2004,Dec,21
2005,Jan,19
2005,Feb,19
2005,Mar,22
2005,Apr,24
2005,May,23
2005,Jun,27
2005,Jul,27
2005,Aug,25
2005,Sep,24
2005,Oct,24
2005,Nov,22
2005,Dec,23
2006,Jan,21
2006,Feb,22
2006,Mar,23
2006,Apr,25
2006,May,24
2006,Jun,27
2006,Jul,29
2006,Aug,27
2006,Sep,26
2006,Oct,25
2006,Nov,24
2006,Dec,26
2007,Jan,24
2007,Feb,25
2007,Mar,26
2007,Apr,26
2007,May,30
2007,Jun,31
2007,Jul,32
2007,Aug,33
2007,Sep,30
2007,Oct,30
2007,Nov,29
2007,Dec,31
2008,Jan,31
2008,Feb,31
2008,Mar,35
2008,Apr,35
2008,May,37
2008,Jun,42
2008,Jul,41
2008,Aug,40
2008,Sep,36
2008,Oct,35
2008,Nov,36
2008,Dec,39
2009,Jan,38
2009,Feb,38
2009,Mar,43
2009,Apr,40
2009,May,42
2009,Jun,41
2009,Jul,43
2009,Aug,42
2009,Sep,38
2009,Oct,39
2009,Nov,37
2009,Dec,38
2010,Jan,38
2010,Feb,37
2010,Mar,41
2010,Apr,40
2010,May,41
2010,Jun,43
2010,Jul,50
2010,Aug,50
2010,Sep,46
2010,Oct,46
2010,Nov,46
2010,Dec,48
2011,Jan,53
2011,Feb,59
2011,Mar,61
2011,Apr,62
2011,May,61
2011,Jun,67
2011,Jul,72
2011,Aug,69
2011,Sep,67
2011,Oct,62
2011,Nov,62
2011,Dec,62
2012,Jan,64
2012,Feb,67
2012,Mar,69
2012,Apr,70
2012,May,69
2012,Jun,72
2012,Jul,77
2012,Aug,74
2012,Sep,74
2012,Oct,71
2012,Nov,71
2012,Dec,69
2013,Jan,70
2013,Feb,68
2013,Mar,74
2013,Apr,75
2013,May,76
2013,Jun,80
2013,Jul,84
2013,Aug,80
2013,Sep,74
2013,Oct,72
2013,Nov,73
2013,Dec,71
2014,Jan,73
2014,Feb,73
2014,Mar,80
2014,Apr,78
2014,May,82
2014,Jun,79
2014,Jul,81
2014,Aug,82
2014,Sep,75
2014,Oct,71
2014,Nov,76
2014,Dec,71
2015,Jan,75
2015,Feb,75
2015,Mar,86
2015,Apr,80
2015,May,84
2015,Jun,87
2015,Jul,95
2015,Aug,93
2015,Sep,83
2015,Oct,77
2015,Nov,75
2015,Dec,77
2016,Jan,77
2016,Feb,82
2016,Mar,85
2016,Apr,82
2016,May,87
2016,Jun,94
2016,Jul,97
2016,Aug,89
2016,Sep,87
2016,Oct,83
2016,Nov,79
2016,Dec,81
2017,Jan,76
2017,Feb,76
2017,Mar,82
2017,Apr,83
2017,May,82
2017,Jun,94
2017,Jul,98
2017,Aug,92
2017,Sep,82
2017,Oct,79
2017,Nov,76
2017,Dec,78
2018,Jan,80
2018,Feb,76
2018,Mar,79
2018,Apr,79
2018,May,81
2018,Jun,89
2018,Jul,94
2018,Aug,87
2018,Sep,83
2018,Oct,78
2018,Nov,77
2018,Dec,75
2019,Jan,75
2019,Feb,77
2019,Mar,92
2019,Apr,83
2019,May,87
2019,Jun,95
2019,Jul,99
2019,Aug,93
2019,Sep,84
2019,Oct,81
2019,Nov,79
2019,Dec,77
2020,Jan,73
2020,Feb,75
2020,Mar,79
2020,Apr,82
2020,May,98
2020,Jun,99
2020,Jul,100
2020,Aug,89
2020,Sep,80
2020,Oct,84
2020,Nov,74
2020,Dec,76
2021,Jan,74
2021,Feb,75
2021,Mar,87
2021,Apr,90
2021,May,86
2021,Jun,90
2021,Jul,87
2021,Aug,84
2021,Sep,82
2021,Oct,79
2021,Nov,81
2021,Dec,79
2022,Jan,75
2022,Feb,80
2022,Mar,86
