CNAME:,GRAY TELEVISION INC
Google Trends Search Term:,gray television
Google Trends Suggestion:,television broadcasting company
Google Trends URL:,/m/03zpg0
Year,Month,SVI Data
2004,Jan,48
2004,Feb,32
2004,Mar,60
2004,Apr,46
2004,May,28
2004,Jun,72
2004,Jul,74
2004,Aug,27
2004,Sep,51
2004,Oct,26
2004,Nov,93
2004,Dec,48
2005,Jan,52
2005,Feb,98
2005,Mar,9
2005,Apr,21
2005,May,38
2005,Jun,69
2005,Jul,29
2005,Aug,100
2005,Sep,67
2005,Oct,55
2005,Nov,65
2005,Dec,84
2006,Jan,75
2006,Feb,92
2006,Mar,57
2006,Apr,53
2006,May,25
2006,Jun,66
2006,Jul,45
2006,Aug,23
2006,Sep,41
2006,Oct,43
2006,Nov,32
2006,Dec,16
2007,Jan,42
2007,Feb,30
2007,Mar,32
2007,Apr,36
2007,May,50
2007,Jun,40
2007,Jul,50
2007,Aug,20
2007,Sep,56
2007,Oct,22
2007,Nov,40
2007,Dec,34
2008,Jan,39
2008,Feb,34
2008,Mar,30
2008,Apr,16
2008,May,36
2008,Jun,28
2008,Jul,37
2008,Aug,23
2008,Sep,21
2008,Oct,25
2008,Nov,46
2008,Dec,36
2009,Jan,46
2009,Feb,30
2009,Mar,35
2009,Apr,28
2009,May,28
2009,Jun,37
2009,Jul,34
2009,Aug,33
2009,Sep,24
2009,Oct,30
2009,Nov,47
2009,Dec,20
2010,Jan,19
2010,Feb,17
2010,Mar,27
2010,Apr,14
2010,May,15
2010,Jun,17
2010,Jul,17
2010,Aug,6
2010,Sep,16
2010,Oct,8
2010,Nov,17
2010,Dec,11
2011,Jan,28
2011,Feb,19
2011,Mar,22
2011,Apr,17
2011,May,18
2011,Jun,21
2011,Jul,13
2011,Aug,19
2011,Sep,17
2011,Oct,12
2011,Nov,12
2011,Dec,14
2012,Jan,13
2012,Feb,13
2012,Mar,15
2012,Apr,12
2012,May,7
2012,Jun,10
2012,Jul,10
2012,Aug,11
2012,Sep,9
2012,Oct,13
2012,Nov,11
2012,Dec,6
2013,Jan,16
2013,Feb,9
2013,Mar,9
2013,Apr,9
2013,May,13
2013,Jun,26
2013,Jul,18
2013,Aug,22
2013,Sep,9
2013,Oct,18
2013,Nov,17
2013,Dec,11
2014,Jan,16
2014,Feb,25
2014,Mar,21
2014,Apr,17
2014,May,12
2014,Jun,12
2014,Jul,27
2014,Aug,17
2014,Sep,19
2014,Oct,12
2014,Nov,18
2014,Dec,8
2015,Jan,30
2015,Feb,13
2015,Mar,19
2015,Apr,12
2015,May,21
2015,Jun,19
2015,Jul,19
2015,Aug,23
2015,Sep,44
2015,Oct,19
2015,Nov,15
2015,Dec,12
2016,Jan,15
2016,Feb,25
2016,Mar,15
2016,Apr,15
2016,May,14
2016,Jun,12
2016,Jul,19
2016,Aug,18
2016,Sep,13
2016,Oct,18
2016,Nov,16
2016,Dec,13
2017,Jan,26
2017,Feb,26
2017,Mar,16
2017,Apr,22
2017,May,22
2017,Jun,12
2017,Jul,28
2017,Aug,21
2017,Sep,17
2017,Oct,17
2017,Nov,16
2017,Dec,15
2018,Jan,13
2018,Feb,17
2018,Mar,24
2018,Apr,21
2018,May,17
2018,Jun,76
2018,Jul,33
2018,Aug,31
2018,Sep,26
2018,Oct,29
2018,Nov,17
2018,Dec,22
2019,Jan,31
2019,Feb,36
2019,Mar,55
2019,Apr,45
2019,May,37
2019,Jun,38
2019,Jul,36
2019,Aug,27
2019,Sep,46
2019,Oct,26
2019,Nov,25
2019,Dec,25
2020,Jan,30
2020,Feb,40
2020,Mar,38
2020,Apr,38
2020,May,33
2020,Jun,35
2020,Jul,37
2020,Aug,45
2020,Sep,30
2020,Oct,30
2020,Nov,33
2020,Dec,32
2021,Jan,42
2021,Feb,56
2021,Mar,40
2021,Apr,36
2021,May,51
2021,Jun,24
2021,Jul,28
2021,Aug,32
2021,Sep,39
2021,Oct,35
2021,Nov,30
2021,Dec,39
2022,Jan,37
2022,Feb,35
2022,Mar,33
