CNAME:,AMC NETWORKS INC
Google Trends Search Term:,amc networks
Google Trends Suggestion:,company
Google Trends URL:,/m/06cg4p
Year,Month,SVI Data
2004,Jan,7
2004,Feb,3
2004,Mar,5
2004,Apr,5
2004,May,6
2004,Jun,6
2004,Jul,5
2004,Aug,5
2004,Sep,5
2004,Oct,6
2004,Nov,6
2004,Dec,4
2005,Jan,3
2005,Feb,3
2005,Mar,3
2005,Apr,4
2005,May,4
2005,Jun,5
2005,Jul,5
2005,Aug,5
2005,Sep,4
2005,Oct,6
2005,Nov,3
2005,Dec,5
2006,Jan,5
2006,Feb,3
2006,Mar,4
2006,Apr,4
2006,May,4
2006,Jun,7
2006,Jul,5
2006,Aug,5
2006,Sep,4
2006,Oct,6
2006,Nov,4
2006,Dec,3
2007,Jan,5
2007,Feb,3
2007,Mar,4
2007,Apr,4
2007,May,4
2007,Jun,4
2007,Jul,6
2007,Aug,4
2007,Sep,5
2007,Oct,7
2007,Nov,4
2007,Dec,4
2008,Jan,7
2008,Feb,7
2008,Mar,6
2008,Apr,4
2008,May,4
2008,Jun,4
2008,Jul,6
2008,Aug,5
2008,Sep,5
2008,Oct,8
2008,Nov,4
2008,Dec,4
2009,Jan,4
2009,Feb,4
2009,Mar,7
2009,Apr,5
2009,May,6
2009,Jun,5
2009,Jul,5
2009,Aug,7
2009,Sep,5
2009,Oct,8
2009,Nov,6
2009,Dec,4
2010,Jan,4
2010,Feb,4
2010,Mar,6
2010,Apr,6
2010,May,6
2010,Jun,9
2010,Jul,11
2010,Aug,12
2010,Sep,11
2010,Oct,21
2010,Nov,59
2010,Dec,21
2011,Jan,11
2011,Feb,8
2011,Mar,10
2011,Apr,11
2011,May,10
2011,Jun,12
2011,Jul,15
2011,Aug,13
2011,Sep,15
2011,Oct,51
2011,Nov,40
2011,Dec,17
2012,Jan,16
2012,Feb,42
2012,Mar,43
2012,Apr,18
2012,May,16
2012,Jun,26
2012,Jul,51
2012,Aug,30
2012,Sep,25
2012,Oct,100
2012,Nov,52
2012,Dec,25
2013,Jan,17
2013,Feb,46
2013,Mar,36
2013,Apr,25
2013,May,11
2013,Jun,13
2013,Jul,16
2013,Aug,43
2013,Sep,51
2013,Oct,76
2013,Nov,35
2013,Dec,28
2014,Jan,17
2014,Feb,44
2014,Mar,35
2014,Apr,20
2014,May,13
2014,Jun,14
2014,Jul,15
2014,Aug,11
2014,Sep,13
2014,Oct,79
2014,Nov,46
2014,Dec,25
2015,Jan,15
2015,Feb,50
2015,Mar,39
2015,Apr,17
2015,May,12
2015,Jun,21
2015,Jul,24
2015,Aug,33
2015,Sep,26
2015,Oct,66
2015,Nov,46
2015,Dec,18
2016,Jan,11
2016,Feb,34
2016,Mar,26
2016,Apr,23
2016,May,16
2016,Jun,14
2016,Jul,12
2016,Aug,11
2016,Sep,11
2016,Oct,54
2016,Nov,29
2016,Dec,20
2017,Jan,10
2017,Feb,25
2017,Mar,22
2017,Apr,25
2017,May,13
2017,Jun,14
2017,Jul,12
2017,Aug,9
2017,Sep,10
2017,Oct,27
2017,Nov,20
2017,Dec,16
2018,Jan,10
2018,Feb,18
2018,Mar,28
2018,Apr,22
2018,May,15
2018,Jun,16
2018,Jul,12
2018,Aug,14
2018,Sep,12
2018,Oct,25
2018,Nov,17
2018,Dec,14
2019,Jan,10
2019,Feb,15
2019,Mar,14
2019,Apr,16
2019,May,12
2019,Jun,14
2019,Jul,10
2019,Aug,11
2019,Sep,11
2019,Oct,19
2019,Nov,13
2019,Dec,13
2020,Jan,9
2020,Feb,14
2020,Mar,15
2020,Apr,13
2020,May,10
2020,Jun,8
2020,Jul,6
2020,Aug,6
2020,Sep,9
2020,Oct,23
2020,Nov,11
2020,Dec,15
2021,Jan,15
2021,Feb,16
2021,Mar,13
2021,Apr,10
2021,May,9
2021,Jun,12
2021,Jul,10
2021,Aug,15
2021,Sep,14
2021,Oct,19
2021,Nov,14
2021,Dec,17
2022,Jan,13
2022,Feb,15
2022,Mar,13
