CNAME:,US FOODS HOLDING CORP
Google Trends Search Term:,us foods holding corp
Google Trends Suggestion:,company
Google Trends URL:,/g/11c6qry6bl
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,32
2009,Aug,0
2009,Sep,0
2009,Oct,29
2009,Nov,29
2009,Dec,0
2010,Jan,0
2010,Feb,27
2010,Mar,0
2010,Apr,0
2010,May,26
2010,Jun,0
2010,Jul,23
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,0
2011,Jan,0
2011,Feb,0
2011,Mar,0
2011,Apr,16
2011,May,0
2011,Jun,0
2011,Jul,0
2011,Aug,0
2011,Sep,0
2011,Oct,0
2011,Nov,14
2011,Dec,0
2012,Jan,0
2012,Feb,0
2012,Mar,0
2012,Apr,0
2012,May,0
2012,Jun,0
2012,Jul,12
2012,Aug,0
2012,Sep,0
2012,Oct,0
2012,Nov,0
2012,Dec,0
2013,Jan,11
2013,Feb,11
2013,Mar,0
2013,Apr,0
2013,May,10
2013,Jun,0
2013,Jul,11
2013,Aug,0
2013,Sep,0
2013,Oct,0
2013,Nov,0
2013,Dec,0
2014,Jan,0
2014,Feb,0
2014,Mar,0
2014,Apr,0
2014,May,0
2014,Jun,0
2014,Jul,0
2014,Aug,0
2014,Sep,0
2014,Oct,0
2014,Nov,0
2014,Dec,0
2015,Jan,0
2015,Feb,11
2015,Mar,11
2015,Apr,11
2015,May,0
2015,Jun,0
2015,Jul,0
2015,Aug,0
2015,Sep,11
2015,Oct,20
2015,Nov,11
2015,Dec,0
2016,Jan,0
2016,Feb,27
2016,Mar,0
2016,Apr,0
2016,May,86
2016,Jun,0
2016,Jul,9
2016,Aug,9
2016,Sep,17
2016,Oct,8
2016,Nov,17
2016,Dec,0
2017,Jan,30
2017,Feb,16
2017,Mar,22
2017,Apr,8
2017,May,8
2017,Jun,34
2017,Jul,17
2017,Aug,16
2017,Sep,0
2017,Oct,8
2017,Nov,15
2017,Dec,0
2018,Jan,15
2018,Feb,24
2018,Mar,15
2018,Apr,23
2018,May,0
2018,Jun,24
2018,Jul,23
2018,Aug,23
2018,Sep,31
2018,Oct,7
2018,Nov,30
2018,Dec,15
2019,Jan,15
2019,Feb,16
2019,Mar,15
2019,Apr,15
2019,May,7
2019,Jun,0
2019,Jul,8
2019,Aug,0
2019,Sep,14
2019,Oct,20
2019,Nov,14
2019,Dec,7
2020,Jan,13
2020,Feb,21
2020,Mar,66
2020,Apr,77
2020,May,89
2020,Jun,63
2020,Jul,26
2020,Aug,69
2020,Sep,100
2020,Oct,64
2020,Nov,21
2020,Dec,42
2021,Jan,41
2021,Feb,54
2021,Mar,7
2021,Apr,14
2021,May,7
2021,Jun,0
2021,Jul,0
2021,Aug,7
2021,Sep,31
2021,Oct,0
2021,Nov,39
2021,Dec,0
2022,Jan,0
2022,Feb,17
2022,Mar,0
