CNAME:,REGENERON PHARMACEUTICALS INC
Google Trends Search Term:,regeneron pharmaceuticals
Google Trends Suggestion:,biotechnology company
Google Trends URL:,/m/0dwkt4
Year,Month,SVI Data
2004,Jan,2
2004,Feb,1
2004,Mar,2
2004,Apr,2
2004,May,1
2004,Jun,1
2004,Jul,1
2004,Aug,1
2004,Sep,1
2004,Oct,1
2004,Nov,1
2004,Dec,1
2005,Jan,2
2005,Feb,1
2005,Mar,1
2005,Apr,1
2005,May,0
2005,Jun,1
2005,Jul,1
2005,Aug,1
2005,Sep,1
2005,Oct,1
2005,Nov,1
2005,Dec,0
2006,Jan,1
2006,Feb,1
2006,Mar,1
2006,Apr,1
2006,May,1
2006,Jun,0
2006,Jul,1
2006,Aug,1
2006,Sep,0
2006,Oct,1
2006,Nov,1
2006,Dec,1
2007,Jan,1
2007,Feb,1
2007,Mar,1
2007,Apr,1
2007,May,1
2007,Jun,1
2007,Jul,1
2007,Aug,1
2007,Sep,1
2007,Oct,1
2007,Nov,1
2007,Dec,1
2008,Jan,1
2008,Feb,2
2008,Mar,1
2008,Apr,2
2008,May,1
2008,Jun,1
2008,Jul,1
2008,Aug,1
2008,Sep,1
2008,Oct,1
2008,Nov,1
2008,Dec,0
2009,Jan,1
2009,Feb,1
2009,Mar,1
2009,Apr,1
2009,May,1
2009,Jun,1
2009,Jul,1
2009,Aug,1
2009,Sep,1
2009,Oct,1
2009,Nov,1
2009,Dec,1
2010,Jan,2
2010,Feb,2
2010,Mar,2
2010,Apr,1
2010,May,2
2010,Jun,2
2010,Jul,1
2010,Aug,1
2010,Sep,1
2010,Oct,1
2010,Nov,2
2010,Dec,1
2011,Jan,1
2011,Feb,1
2011,Mar,2
2011,Apr,2
2011,May,2
2011,Jun,2
2011,Jul,1
2011,Aug,2
2011,Sep,2
2011,Oct,1
2011,Nov,2
2011,Dec,2
2012,Jan,2
2012,Feb,2
2012,Mar,2
2012,Apr,2
2012,May,2
2012,Jun,2
2012,Jul,2
2012,Aug,2
2012,Sep,2
2012,Oct,2
2012,Nov,2
2012,Dec,1
2013,Jan,2
2013,Feb,2
2013,Mar,2
2013,Apr,2
2013,May,3
2013,Jun,2
2013,Jul,2
2013,Aug,2
2013,Sep,2
2013,Oct,3
2013,Nov,2
2013,Dec,2
2014,Jan,3
2014,Feb,2
2014,Mar,2
2014,Apr,2
2014,May,2
2014,Jun,2
2014,Jul,2
2014,Aug,3
2014,Sep,3
2014,Oct,3
2014,Nov,3
2014,Dec,3
2015,Jan,3
2015,Feb,3
2015,Mar,4
2015,Apr,3
2015,May,3
2015,Jun,4
2015,Jul,4
2015,Aug,3
2015,Sep,3
2015,Oct,3
2015,Nov,3
2015,Dec,2
2016,Jan,3
2016,Feb,3
2016,Mar,3
2016,Apr,3
2016,May,3
2016,Jun,3
2016,Jul,3
2016,Aug,3
2016,Sep,3
2016,Oct,3
2016,Nov,3
2016,Dec,3
2017,Jan,4
2017,Feb,3
2017,Mar,4
2017,Apr,3
2017,May,4
2017,Jun,3
2017,Jul,3
2017,Aug,3
2017,Sep,3
2017,Oct,3
2017,Nov,3
2017,Dec,3
2018,Jan,3
2018,Feb,4
2018,Mar,4
2018,Apr,3
2018,May,3
2018,Jun,3
2018,Jul,3
2018,Aug,3
2018,Sep,3
2018,Oct,3
2018,Nov,3
2018,Dec,2
2019,Jan,4
2019,Feb,3
2019,Mar,3
2019,Apr,3
2019,May,3
2019,Jun,3
2019,Jul,2
2019,Aug,3
2019,Sep,3
2019,Oct,3
2019,Nov,3
2019,Dec,2
2020,Jan,3
2020,Feb,4
2020,Mar,13
2020,Apr,8
2020,May,7
2020,Jun,7
2020,Jul,10
2020,Aug,6
2020,Sep,6
2020,Oct,100
2020,Nov,15
2020,Dec,13
2021,Jan,13
2021,Feb,8
2021,Mar,6
2021,Apr,6
2021,May,5
2021,Jun,4
2021,Jul,7
2021,Aug,57
2021,Sep,44
2021,Oct,17
2021,Nov,15
2021,Dec,21
2022,Jan,15
2022,Feb,5
2022,Mar,4
