CNAME:,LIFELOCK INC
Google Trends Search Term:,lifelock
Google Trends Suggestion:,company
Google Trends URL:,/m/02ryw2h
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,1
2005,Oct,0
2005,Nov,1
2005,Dec,0
2006,Jan,3
2006,Feb,1
2006,Mar,1
2006,Apr,1
2006,May,2
2006,Jun,2
2006,Jul,1
2006,Aug,1
2006,Sep,1
2006,Oct,2
2006,Nov,4
2006,Dec,1
2007,Jan,9
2007,Feb,10
2007,Mar,15
2007,Apr,13
2007,May,12
2007,Jun,14
2007,Jul,15
2007,Aug,23
2007,Sep,27
2007,Oct,27
2007,Nov,19
2007,Dec,27
2008,Jan,44
2008,Feb,46
2008,Mar,37
2008,Apr,36
2008,May,42
2008,Jun,37
2008,Jul,31
2008,Aug,20
2008,Sep,17
2008,Oct,14
2008,Nov,12
2008,Dec,12
2009,Jan,17
2009,Feb,20
2009,Mar,20
2009,Apr,24
2009,May,16
2009,Jun,18
2009,Jul,18
2009,Aug,19
2009,Sep,18
2009,Oct,16
2009,Nov,15
2009,Dec,17
2010,Jan,16
2010,Feb,18
2010,Mar,23
2010,Apr,18
2010,May,19
2010,Jun,15
2010,Jul,13
2010,Aug,12
2010,Sep,11
2010,Oct,13
2010,Nov,11
2010,Dec,9
2011,Jan,13
2011,Feb,14
2011,Mar,16
2011,Apr,19
2011,May,14
2011,Jun,13
2011,Jul,16
2011,Aug,16
2011,Sep,14
2011,Oct,14
2011,Nov,13
2011,Dec,13
2012,Jan,17
2012,Feb,17
2012,Mar,23
2012,Apr,20
2012,May,17
2012,Jun,17
2012,Jul,16
2012,Aug,16
2012,Sep,20
2012,Oct,21
2012,Nov,18
2012,Dec,15
2013,Jan,19
2013,Feb,23
2013,Mar,25
2013,Apr,24
2013,May,23
2013,Jun,20
2013,Jul,20
2013,Aug,20
2013,Sep,18
2013,Oct,19
2013,Nov,20
2013,Dec,26
2014,Jan,34
2014,Feb,28
2014,Mar,28
2014,Apr,29
2014,May,26
2014,Jun,25
2014,Jul,23
2014,Aug,24
2014,Sep,28
2014,Oct,26
2014,Nov,23
2014,Dec,23
2015,Jan,26
2015,Feb,44
2015,Mar,31
2015,Apr,29
2015,May,26
2015,Jun,31
2015,Jul,35
2015,Aug,25
2015,Sep,22
2015,Oct,21
2015,Nov,21
2015,Dec,23
2016,Jan,19
2016,Feb,22
2016,Mar,23
2016,Apr,25
2016,May,21
2016,Jun,21
2016,Jul,22
2016,Aug,21
2016,Sep,18
2016,Oct,23
2016,Nov,21
2016,Dec,19
2017,Jan,22
2017,Feb,24
2017,Mar,25
2017,Apr,22
2017,May,21
2017,Jun,20
2017,Jul,19
2017,Aug,19
2017,Sep,100
2017,Oct,34
2017,Nov,24
2017,Dec,18
2018,Jan,20
2018,Feb,21
2018,Mar,19
2018,Apr,20
2018,May,19
2018,Jun,17
2018,Jul,18
2018,Aug,18
2018,Sep,14
2018,Oct,13
2018,Nov,15
2018,Dec,15
2019,Jan,15
2019,Feb,15
2019,Mar,18
2019,Apr,16
2019,May,15
2019,Jun,15
2019,Jul,17
2019,Aug,19
2019,Sep,18
2019,Oct,18
2019,Nov,17
2019,Dec,17
2020,Jan,20
2020,Feb,18
2020,Mar,15
2020,Apr,17
2020,May,17
2020,Jun,16
2020,Jul,17
2020,Aug,16
2020,Sep,16
2020,Oct,16
2020,Nov,15
2020,Dec,17
2021,Jan,18
2021,Feb,22
2021,Mar,18
2021,Apr,16
2021,May,14
2021,Jun,15
2021,Jul,14
2021,Aug,14
2021,Sep,14
2021,Oct,14
2021,Nov,16
2021,Dec,15
2022,Jan,17
2022,Feb,19
2022,Mar,19
