CNAME:,YELP INC
Google Trends Search Term:,yelp
Google Trends Suggestion:,company
Google Trends URL:,/m/0bngkg
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,1
2006,Feb,1
2006,Mar,1
2006,Apr,1
2006,May,1
2006,Jun,1
2006,Jul,1
2006,Aug,2
2006,Sep,2
2006,Oct,2
2006,Nov,2
2006,Dec,2
2007,Jan,3
2007,Feb,4
2007,Mar,4
2007,Apr,4
2007,May,5
2007,Jun,6
2007,Jul,7
2007,Aug,8
2007,Sep,8
2007,Oct,7
2007,Nov,7
2007,Dec,7
2008,Jan,8
2008,Feb,9
2008,Mar,10
2008,Apr,11
2008,May,12
2008,Jun,13
2008,Jul,15
2008,Aug,16
2008,Sep,14
2008,Oct,13
2008,Nov,14
2008,Dec,14
2009,Jan,17
2009,Feb,18
2009,Mar,20
2009,Apr,21
2009,May,23
2009,Jun,24
2009,Jul,27
2009,Aug,27
2009,Sep,27
2009,Oct,26
2009,Nov,24
2009,Dec,26
2010,Jan,30
2010,Feb,31
2010,Mar,31
2010,Apr,33
2010,May,35
2010,Jun,37
2010,Jul,40
2010,Aug,43
2010,Sep,39
2010,Oct,38
2010,Nov,35
2010,Dec,37
2011,Jan,47
2011,Feb,50
2011,Mar,50
2011,Apr,53
2011,May,54
2011,Jun,58
2011,Jul,64
2011,Aug,65
2011,Sep,60
2011,Oct,59
2011,Nov,55
2011,Dec,57
2012,Jan,63
2012,Feb,63
2012,Mar,69
2012,Apr,65
2012,May,67
2012,Jun,70
2012,Jul,75
2012,Aug,74
2012,Sep,69
2012,Oct,65
2012,Nov,61
2012,Dec,64
2013,Jan,68
2013,Feb,68
2013,Mar,73
2013,Apr,73
2013,May,79
2013,Jun,80
2013,Jul,87
2013,Aug,83
2013,Sep,75
2013,Oct,74
2013,Nov,73
2013,Dec,73
2014,Jan,76
2014,Feb,78
2014,Mar,85
2014,Apr,87
2014,May,90
2014,Jun,91
2014,Jul,100
2014,Aug,95
2014,Sep,85
2014,Oct,84
2014,Nov,73
2014,Dec,73
2015,Jan,79
2015,Feb,76
2015,Mar,79
2015,Apr,80
2015,May,83
2015,Jun,86
2015,Jul,97
2015,Aug,91
2015,Sep,80
2015,Oct,81
2015,Nov,71
2015,Dec,69
2016,Jan,75
2016,Feb,79
2016,Mar,76
2016,Apr,74
2016,May,76
2016,Jun,81
2016,Jul,83
2016,Aug,74
2016,Sep,66
2016,Oct,66
2016,Nov,61
2016,Dec,62
2017,Jan,63
2017,Feb,64
2017,Mar,64
2017,Apr,64
2017,May,65
2017,Jun,68
2017,Jul,66
2017,Aug,62
2017,Sep,52
2017,Oct,54
2017,Nov,49
2017,Dec,47
2018,Jan,51
2018,Feb,52
2018,Mar,52
2018,Apr,54
2018,May,54
2018,Jun,55
2018,Jul,56
2018,Aug,55
2018,Sep,48
2018,Oct,46
2018,Nov,44
2018,Dec,43
2019,Jan,45
2019,Feb,44
2019,Mar,44
2019,Apr,43
2019,May,46
2019,Jun,48
2019,Jul,45
2019,Aug,44
2019,Sep,39
2019,Oct,37
2019,Nov,36
2019,Dec,33
2020,Jan,36
2020,Feb,37
2020,Mar,23
2020,Apr,16
2020,May,21
2020,Jun,26
2020,Jul,26
2020,Aug,27
2020,Sep,24
2020,Oct,32
2020,Nov,19
2020,Dec,18
2021,Jan,19
2021,Feb,21
2021,Mar,23
2021,Apr,23
2021,May,25
2021,Jun,26
2021,Jul,26
2021,Aug,24
2021,Sep,23
2021,Oct,23
2021,Nov,21
2021,Dec,20
2022,Jan,20
2022,Feb,22
2022,Mar,23
