CNAME:,CITRIX SYSTEMS INC
Google Trends Search Term:,citrix systems
Google Trends Suggestion:,cloud computing company
Google Trends URL:,/m/01t1bk
Year,Month,SVI Data
2004,Jan,87
2004,Feb,92
2004,Mar,96
2004,Apr,92
2004,May,84
2004,Jun,89
2004,Jul,88
2004,Aug,96
2004,Sep,100
2004,Oct,97
2004,Nov,81
2004,Dec,82
2005,Jan,81
2005,Feb,80
2005,Mar,87
2005,Apr,78
2005,May,80
2005,Jun,79
2005,Jul,86
2005,Aug,95
2005,Sep,87
2005,Oct,74
2005,Nov,81
2005,Dec,70
2006,Jan,75
2006,Feb,79
2006,Mar,86
2006,Apr,76
2006,May,77
2006,Jun,78
2006,Jul,73
2006,Aug,80
2006,Sep,75
2006,Oct,76
2006,Nov,65
2006,Dec,67
2007,Jan,74
2007,Feb,77
2007,Mar,74
2007,Apr,73
2007,May,75
2007,Jun,77
2007,Jul,72
2007,Aug,85
2007,Sep,72
2007,Oct,80
2007,Nov,73
2007,Dec,63
2008,Jan,73
2008,Feb,72
2008,Mar,72
2008,Apr,73
2008,May,71
2008,Jun,78
2008,Jul,74
2008,Aug,69
2008,Sep,68
2008,Oct,70
2008,Nov,56
2008,Dec,60
2009,Jan,67
2009,Feb,66
2009,Mar,66
2009,Apr,68
2009,May,64
2009,Jun,67
2009,Jul,67
2009,Aug,65
2009,Sep,68
2009,Oct,68
2009,Nov,63
2009,Dec,62
2010,Jan,66
2010,Feb,70
2010,Mar,66
2010,Apr,69
2010,May,69
2010,Jun,70
2010,Jul,62
2010,Aug,63
2010,Sep,57
2010,Oct,61
2010,Nov,54
2010,Dec,56
2011,Jan,57
2011,Feb,60
2011,Mar,59
2011,Apr,57
2011,May,58
2011,Jun,59
2011,Jul,57
2011,Aug,59
2011,Sep,58
2011,Oct,54
2011,Nov,54
2011,Dec,49
2012,Jan,53
2012,Feb,53
2012,Mar,55
2012,Apr,53
2012,May,57
2012,Jun,54
2012,Jul,50
2012,Aug,55
2012,Sep,51
2012,Oct,56
2012,Nov,49
2012,Dec,45
2013,Jan,50
2013,Feb,53
2013,Mar,51
2013,Apr,51
2013,May,55
2013,Jun,51
2013,Jul,51
2013,Aug,56
2013,Sep,51
2013,Oct,58
2013,Nov,52
2013,Dec,50
2014,Jan,62
2014,Feb,58
2014,Mar,55
2014,Apr,59
2014,May,55
2014,Jun,55
2014,Jul,57
2014,Aug,54
2014,Sep,61
2014,Oct,62
2014,Nov,49
2014,Dec,46
2015,Jan,53
2015,Feb,52
2015,Mar,50
2015,Apr,56
2015,May,51
2015,Jun,53
2015,Jul,55
2015,Aug,52
2015,Sep,53
2015,Oct,54
2015,Nov,46
2015,Dec,40
2016,Jan,37
2016,Feb,37
2016,Mar,37
2016,Apr,34
2016,May,36
2016,Jun,39
2016,Jul,33
2016,Aug,35
2016,Sep,35
2016,Oct,36
2016,Nov,32
2016,Dec,30
2017,Jan,34
2017,Feb,35
2017,Mar,37
2017,Apr,32
2017,May,34
2017,Jun,34
2017,Jul,33
2017,Aug,35
2017,Sep,33
2017,Oct,35
2017,Nov,31
2017,Dec,30
2018,Jan,34
2018,Feb,34
2018,Mar,35
2018,Apr,31
2018,May,32
2018,Jun,31
2018,Jul,29
2018,Aug,31
2018,Sep,29
2018,Oct,34
2018,Nov,31
2018,Dec,28
2019,Jan,31
2019,Feb,31
2019,Mar,31
2019,Apr,30
2019,May,30
2019,Jun,30
2019,Jul,28
2019,Aug,30
2019,Sep,30
2019,Oct,33
2019,Nov,27
2019,Dec,27
2020,Jan,35
2020,Feb,31
2020,Mar,74
2020,Apr,49
2020,May,32
2020,Jun,36
2020,Jul,36
2020,Aug,31
2020,Sep,32
2020,Oct,30
2020,Nov,27
2020,Dec,26
2021,Jan,26
2021,Feb,28
2021,Mar,28
2021,Apr,26
2021,May,25
2021,Jun,28
2021,Jul,26
2021,Aug,26
2021,Sep,28
2021,Oct,28
2021,Nov,27
2021,Dec,25
2022,Jan,29
2022,Feb,31
2022,Mar,28
