CNAME:,MARATHON OIL CORP
Google Trends Search Term:,marathon oil
Google Trends Suggestion:,oil industry company
Google Trends URL:,/m/052fn6
Year,Month,SVI Data
2004,Jan,23
2004,Feb,23
2004,Mar,29
2004,Apr,23
2004,May,24
2004,Jun,26
2004,Jul,25
2004,Aug,36
2004,Sep,26
2004,Oct,21
2004,Nov,23
2004,Dec,22
2005,Jan,26
2005,Feb,28
2005,Mar,23
2005,Apr,32
2005,May,25
2005,Jun,42
2005,Jul,35
2005,Aug,23
2005,Sep,33
2005,Oct,36
2005,Nov,19
2005,Dec,18
2006,Jan,33
2006,Feb,29
2006,Mar,30
2006,Apr,29
2006,May,30
2006,Jun,28
2006,Jul,23
2006,Aug,33
2006,Sep,32
2006,Oct,26
2006,Nov,27
2006,Dec,29
2007,Jan,26
2007,Feb,30
2007,Mar,27
2007,Apr,31
2007,May,33
2007,Jun,34
2007,Jul,29
2007,Aug,29
2007,Sep,27
2007,Oct,29
2007,Nov,32
2007,Dec,26
2008,Jan,30
2008,Feb,35
2008,Mar,31
2008,Apr,44
2008,May,35
2008,Jun,36
2008,Jul,38
2008,Aug,41
2008,Sep,34
2008,Oct,38
2008,Nov,29
2008,Dec,31
2009,Jan,32
2009,Feb,33
2009,Mar,26
2009,Apr,25
2009,May,25
2009,Jun,25
2009,Jul,29
2009,Aug,28
2009,Sep,27
2009,Oct,27
2009,Nov,29
2009,Dec,25
2010,Jan,25
2010,Feb,31
2010,Mar,30
2010,Apr,28
2010,May,29
2010,Jun,31
2010,Jul,24
2010,Aug,21
2010,Sep,28
2010,Oct,23
2010,Nov,20
2010,Dec,24
2011,Jan,37
2011,Feb,37
2011,Mar,35
2011,Apr,36
2011,May,33
2011,Jun,40
2011,Jul,46
2011,Aug,39
2011,Sep,36
2011,Oct,33
2011,Nov,32
2011,Dec,23
2012,Jan,27
2012,Feb,27
2012,Mar,25
2012,Apr,26
2012,May,26
2012,Jun,24
2012,Jul,23
2012,Aug,22
2012,Sep,22
2012,Oct,27
2012,Nov,19
2012,Dec,19
2013,Jan,22
2013,Feb,19
2013,Mar,21
2013,Apr,23
2013,May,21
2013,Jun,20
2013,Jul,20
2013,Aug,21
2013,Sep,24
2013,Oct,21
2013,Nov,20
2013,Dec,19
2014,Jan,24
2014,Feb,20
2014,Mar,20
2014,Apr,20
2014,May,23
2014,Jun,20
2014,Jul,18
2014,Aug,21
2014,Sep,26
2014,Oct,23
2014,Nov,17
2014,Dec,19
2015,Jan,22
2015,Feb,25
2015,Mar,18
2015,Apr,16
2015,May,14
2015,Jun,17
2015,Jul,21
2015,Aug,23
2015,Sep,20
2015,Oct,18
2015,Nov,21
2015,Dec,18
2016,Jan,32
2016,Feb,34
2016,Mar,33
2016,Apr,32
2016,May,26
2016,Jun,25
2016,Jul,21
2016,Aug,24
2016,Sep,19
2016,Oct,18
2016,Nov,16
2016,Dec,19
2017,Jan,18
2017,Feb,16
2017,Mar,22
2017,Apr,17
2017,May,13
2017,Jun,16
2017,Jul,17
2017,Aug,16
2017,Sep,15
2017,Oct,15
2017,Nov,14
2017,Dec,12
2018,Jan,18
2018,Feb,17
2018,Mar,14
2018,Apr,20
2018,May,26
2018,Jun,18
2018,Jul,15
2018,Aug,16
2018,Sep,15
2018,Oct,16
2018,Nov,15
2018,Dec,15
2019,Jan,14
2019,Feb,14
2019,Mar,13
2019,Apr,16
2019,May,15
2019,Jun,15
2019,Jul,12
2019,Aug,13
2019,Sep,15
2019,Oct,15
2019,Nov,12
2019,Dec,10
2020,Jan,14
2020,Feb,15
2020,Mar,79
2020,Apr,100
2020,May,63
2020,Jun,56
2020,Jul,31
2020,Aug,30
2020,Sep,25
2020,Oct,29
2020,Nov,26
2020,Dec,24
2021,Jan,27
2021,Feb,37
2021,Mar,27
2021,Apr,21
2021,May,23
2021,Jun,23
2021,Jul,17
2021,Aug,17
2021,Sep,12
2021,Oct,21
2021,Nov,18
2021,Dec,15
2022,Jan,19
2022,Feb,26
2022,Mar,29
