CNAME:,PAPA JOHN S INTERNATIONAL INC
Google Trends Search Term:,papa john's
Google Trends Suggestion:,restaurant company
Google Trends URL:,/m/020tvm
Year,Month,SVI Data
2004,Jan,16
2004,Feb,15
2004,Mar,15
2004,Apr,15
2004,May,16
2004,Jun,15
2004,Jul,17
2004,Aug,16
2004,Sep,18
2004,Oct,20
2004,Nov,17
2004,Dec,19
2005,Jan,20
2005,Feb,20
2005,Mar,19
2005,Apr,22
2005,May,20
2005,Jun,21
2005,Jul,22
2005,Aug,21
2005,Sep,23
2005,Oct,27
2005,Nov,24
2005,Dec,26
2006,Jan,27
2006,Feb,26
2006,Mar,27
2006,Apr,28
2006,May,26
2006,Jun,28
2006,Jul,28
2006,Aug,26
2006,Sep,31
2006,Oct,30
2006,Nov,30
2006,Dec,35
2007,Jan,33
2007,Feb,33
2007,Mar,33
2007,Apr,33
2007,May,30
2007,Jun,31
2007,Jul,29
2007,Aug,33
2007,Sep,40
2007,Oct,39
2007,Nov,40
2007,Dec,42
2008,Jan,41
2008,Feb,40
2008,Mar,41
2008,Apr,37
2008,May,44
2008,Jun,39
2008,Jul,38
2008,Aug,39
2008,Sep,38
2008,Oct,39
2008,Nov,46
2008,Dec,45
2009,Jan,46
2009,Feb,42
2009,Mar,42
2009,Apr,39
2009,May,42
2009,Jun,37
2009,Jul,39
2009,Aug,41
2009,Sep,42
2009,Oct,44
2009,Nov,42
2009,Dec,47
2010,Jan,43
2010,Feb,47
2010,Mar,39
2010,Apr,38
2010,May,41
2010,Jun,38
2010,Jul,48
2010,Aug,47
2010,Sep,50
2010,Oct,54
2010,Nov,50
2010,Dec,60
2011,Jan,77
2011,Feb,78
2011,Mar,64
2011,Apr,68
2011,May,68
2011,Jun,68
2011,Jul,78
2011,Aug,73
2011,Sep,77
2011,Oct,78
2011,Nov,75
2011,Dec,82
2012,Jan,82
2012,Feb,92
2012,Mar,79
2012,Apr,83
2012,May,79
2012,Jun,76
2012,Jul,78
2012,Aug,77
2012,Sep,87
2012,Oct,81
2012,Nov,91
2012,Dec,84
2013,Jan,79
2013,Feb,89
2013,Mar,82
2013,Apr,79
2013,May,80
2013,Jun,81
2013,Jul,77
2013,Aug,83
2013,Sep,85
2013,Oct,88
2013,Nov,88
2013,Dec,90
2014,Jan,100
2014,Feb,96
2014,Mar,87
2014,Apr,81
2014,May,85
2014,Jun,83
2014,Jul,79
2014,Aug,82
2014,Sep,84
2014,Oct,80
2014,Nov,88
2014,Dec,89
2015,Jan,90
2015,Feb,96
2015,Mar,79
2015,Apr,77
2015,May,79
2015,Jun,78
2015,Jul,77
2015,Aug,80
2015,Sep,72
2015,Oct,80
2015,Nov,78
2015,Dec,86
2016,Jan,90
2016,Feb,95
2016,Mar,84
2016,Apr,85
2016,May,84
2016,Jun,87
2016,Jul,87
2016,Aug,77
2016,Sep,80
2016,Oct,82
2016,Nov,77
2016,Dec,89
2017,Jan,79
2017,Feb,84
2017,Mar,81
2017,Apr,83
2017,May,79
2017,Jun,88
2017,Jul,89
2017,Aug,77
2017,Sep,80
2017,Oct,80
2017,Nov,77
2017,Dec,93
2018,Jan,80
2018,Feb,75
2018,Mar,76
2018,Apr,66
2018,May,65
2018,Jun,72
2018,Jul,96
2018,Aug,69
2018,Sep,74
2018,Oct,66
2018,Nov,68
2018,Dec,73
2019,Jan,66
2019,Feb,73
2019,Mar,71
2019,Apr,65
2019,May,65
2019,Jun,67
2019,Jul,67
2019,Aug,67
2019,Sep,65
2019,Oct,66
2019,Nov,68
2019,Dec,71
2020,Jan,61
2020,Feb,74
2020,Mar,63
2020,Apr,73
2020,May,68
2020,Jun,63
2020,Jul,69
2020,Aug,64
2020,Sep,57
2020,Oct,64
2020,Nov,58
2020,Dec,68
2021,Jan,72
2021,Feb,73
2021,Mar,62
2021,Apr,63
2021,May,63
2021,Jun,65
2021,Jul,64
2021,Aug,61
2021,Sep,58
2021,Oct,58
2021,Nov,58
2021,Dec,65
2022,Jan,70
2022,Feb,61
2022,Mar,57
