CNAME:,INFORMATICA INC
Google Trends Search Term:,informatica
Google Trends Suggestion:,software company
Google Trends URL:,/m/0cvrm5
Year,Month,SVI Data
2004,Jan,54
2004,Feb,57
2004,Mar,61
2004,Apr,64
2004,May,62
2004,Jun,62
2004,Jul,42
2004,Aug,61
2004,Sep,49
2004,Oct,37
2004,Nov,39
2004,Dec,40
2005,Jan,40
2005,Feb,47
2005,Mar,52
2005,Apr,41
2005,May,49
2005,Jun,49
2005,Jul,51
2005,Aug,43
2005,Sep,42
2005,Oct,42
2005,Nov,34
2005,Dec,29
2006,Jan,39
2006,Feb,35
2006,Mar,41
2006,Apr,39
2006,May,36
2006,Jun,39
2006,Jul,38
2006,Aug,36
2006,Sep,35
2006,Oct,34
2006,Nov,38
2006,Dec,30
2007,Jan,35
2007,Feb,32
2007,Mar,39
2007,Apr,36
2007,May,38
2007,Jun,33
2007,Jul,39
2007,Aug,43
2007,Sep,39
2007,Oct,42
2007,Nov,39
2007,Dec,38
2008,Jan,45
2008,Feb,51
2008,Mar,52
2008,Apr,56
2008,May,55
2008,Jun,63
2008,Jul,61
2008,Aug,64
2008,Sep,71
2008,Oct,68
2008,Nov,63
2008,Dec,53
2009,Jan,66
2009,Feb,76
2009,Mar,82
2009,Apr,78
2009,May,85
2009,Jun,74
2009,Jul,84
2009,Aug,90
2009,Sep,88
2009,Oct,82
2009,Nov,83
2009,Dec,64
2010,Jan,79
2010,Feb,85
2010,Mar,100
2010,Apr,93
2010,May,89
2010,Jun,88
2010,Jul,71
2010,Aug,84
2010,Sep,82
2010,Oct,79
2010,Nov,73
2010,Dec,61
2011,Jan,33
2011,Feb,34
2011,Mar,35
2011,Apr,34
2011,May,33
2011,Jun,35
2011,Jul,33
2011,Aug,31
2011,Sep,32
2011,Oct,28
2011,Nov,30
2011,Dec,27
2012,Jan,31
2012,Feb,29
2012,Mar,32
2012,Apr,30
2012,May,34
2012,Jun,34
2012,Jul,32
2012,Aug,34
2012,Sep,29
2012,Oct,34
2012,Nov,28
2012,Dec,25
2013,Jan,34
2013,Feb,34
2013,Mar,35
2013,Apr,37
2013,May,35
2013,Jun,32
2013,Jul,34
2013,Aug,34
2013,Sep,35
2013,Oct,38
2013,Nov,35
2013,Dec,31
2014,Jan,38
2014,Feb,40
2014,Mar,39
2014,Apr,41
2014,May,41
2014,Jun,40
2014,Jul,42
2014,Aug,38
2014,Sep,42
2014,Oct,42
2014,Nov,35
2014,Dec,34
2015,Jan,39
2015,Feb,44
2015,Mar,44
2015,Apr,52
2015,May,46
2015,Jun,49
2015,Jul,47
2015,Aug,45
2015,Sep,42
2015,Oct,41
2015,Nov,35
2015,Dec,33
2016,Jan,31
2016,Feb,37
2016,Mar,35
2016,Apr,34
2016,May,35
2016,Jun,35
2016,Jul,30
2016,Aug,34
2016,Sep,30
2016,Oct,28
2016,Nov,29
2016,Dec,25
2017,Jan,27
2017,Feb,30
2017,Mar,34
2017,Apr,32
2017,May,34
2017,Jun,31
2017,Jul,26
2017,Aug,33
2017,Sep,27
2017,Oct,30
2017,Nov,26
2017,Dec,22
2018,Jan,28
2018,Feb,27
2018,Mar,29
2018,Apr,29
2018,May,29
2018,Jun,28
2018,Jul,28
2018,Aug,30
2018,Sep,25
2018,Oct,27
2018,Nov,23
2018,Dec,20
2019,Jan,26
2019,Feb,28
2019,Mar,28
2019,Apr,28
2019,May,28
2019,Jun,24
2019,Jul,24
2019,Aug,24
2019,Sep,25
2019,Oct,26
2019,Nov,22
2019,Dec,19
2020,Jan,24
2020,Feb,23
2020,Mar,22
2020,Apr,20
2020,May,19
2020,Jun,21
2020,Jul,22
2020,Aug,20
2020,Sep,20
2020,Oct,19
2020,Nov,14
2020,Dec,13
2021,Jan,16
2021,Feb,19
2021,Mar,18
2021,Apr,17
2021,May,19
2021,Jun,17
2021,Jul,16
2021,Aug,16
2021,Sep,17
2021,Oct,21
2021,Nov,17
2021,Dec,16
2022,Jan,16
2022,Feb,20
2022,Mar,18
