CNAME:,WINTRUST FINANCIAL CORP
Google Trends Search Term:,wintrust financial
Google Trends Suggestion:,holding company
Google Trends URL:,/g/11clw75nlz
Year,Month,SVI Data
2004,Jan,15
2004,Feb,19
2004,Mar,6
2004,Apr,14
2004,May,17
2004,Jun,18
2004,Jul,32
2004,Aug,16
2004,Sep,16
2004,Oct,8
2004,Nov,16
2004,Dec,18
2005,Jan,29
2005,Feb,3
2005,Mar,17
2005,Apr,10
2005,May,12
2005,Jun,18
2005,Jul,3
2005,Aug,11
2005,Sep,13
2005,Oct,17
2005,Nov,10
2005,Dec,28
2006,Jan,13
2006,Feb,7
2006,Mar,8
2006,Apr,10
2006,May,8
2006,Jun,20
2006,Jul,26
2006,Aug,25
2006,Sep,9
2006,Oct,13
2006,Nov,7
2006,Dec,13
2007,Jan,6
2007,Feb,14
2007,Mar,10
2007,Apr,11
2007,May,10
2007,Jun,8
2007,Jul,12
2007,Aug,12
2007,Sep,10
2007,Oct,10
2007,Nov,8
2007,Dec,5
2008,Jan,11
2008,Feb,3
2008,Mar,12
2008,Apr,12
2008,May,12
2008,Jun,10
2008,Jul,9
2008,Aug,8
2008,Sep,18
2008,Oct,15
2008,Nov,15
2008,Dec,8
2009,Jan,17
2009,Feb,18
2009,Mar,18
2009,Apr,21
2009,May,16
2009,Jun,11
2009,Jul,13
2009,Aug,22
2009,Sep,11
2009,Oct,22
2009,Nov,7
2009,Dec,7
2010,Jan,13
2010,Feb,15
2010,Mar,16
2010,Apr,17
2010,May,22
2010,Jun,11
2010,Jul,17
2010,Aug,20
2010,Sep,16
2010,Oct,16
2010,Nov,20
2010,Dec,17
2011,Jan,18
2011,Feb,20
2011,Mar,17
2011,Apr,17
2011,May,11
2011,Jun,16
2011,Jul,26
2011,Aug,22
2011,Sep,16
2011,Oct,23
2011,Nov,19
2011,Dec,14
2012,Jan,22
2012,Feb,17
2012,Mar,19
2012,Apr,22
2012,May,20
2012,Jun,23
2012,Jul,20
2012,Aug,21
2012,Sep,17
2012,Oct,25
2012,Nov,20
2012,Dec,16
2013,Jan,15
2013,Feb,21
2013,Mar,21
2013,Apr,25
2013,May,22
2013,Jun,17
2013,Jul,26
2013,Aug,27
2013,Sep,19
2013,Oct,24
2013,Nov,18
2013,Dec,15
2014,Jan,24
2014,Feb,26
2014,Mar,19
2014,Apr,27
2014,May,21
2014,Jun,28
2014,Jul,27
2014,Aug,32
2014,Sep,32
2014,Oct,29
2014,Nov,27
2014,Dec,31
2015,Jan,30
2015,Feb,32
2015,Mar,34
2015,Apr,48
2015,May,34
2015,Jun,36
2015,Jul,41
2015,Aug,38
2015,Sep,34
2015,Oct,35
2015,Nov,29
2015,Dec,31
2016,Jan,37
2016,Feb,37
2016,Mar,39
2016,Apr,42
2016,May,45
2016,Jun,44
2016,Jul,40
2016,Aug,49
2016,Sep,44
2016,Oct,43
2016,Nov,38
2016,Dec,39
2017,Jan,45
2017,Feb,48
2017,Mar,48
2017,Apr,53
2017,May,50
2017,Jun,50
2017,Jul,52
2017,Aug,64
2017,Sep,60
2017,Oct,61
2017,Nov,62
2017,Dec,50
2018,Jan,63
2018,Feb,70
2018,Mar,71
2018,Apr,70
2018,May,71
2018,Jun,75
2018,Jul,74
2018,Aug,79
2018,Sep,77
2018,Oct,80
2018,Nov,65
2018,Dec,64
2019,Jan,71
2019,Feb,73
2019,Mar,79
2019,Apr,90
2019,May,76
2019,Jun,91
2019,Jul,82
2019,Aug,82
2019,Sep,76
2019,Oct,84
2019,Nov,75
2019,Dec,72
2020,Jan,78
2020,Feb,81
2020,Mar,79
2020,Apr,100
2020,May,72
2020,Jun,81
2020,Jul,80
2020,Aug,72
2020,Sep,65
2020,Oct,73
2020,Nov,57
2020,Dec,62
2021,Jan,68
2021,Feb,63
2021,Mar,71
2021,Apr,68
2021,May,74
2021,Jun,75
2021,Jul,67
2021,Aug,74
2021,Sep,67
2021,Oct,78
2021,Nov,70
2021,Dec,77
2022,Jan,85
2022,Feb,94
2022,Mar,82
