CNAME:,TPG INC
Google Trends Search Term:,tpg
Google Trends Suggestion:,private equity company
Google Trends URL:,/m/03yqpb
Year,Month,SVI Data
2004,Jan,26
2004,Feb,83
2004,Mar,60
2004,Apr,77
2004,May,58
2004,Jun,66
2004,Jul,81
2004,Aug,95
2004,Sep,79
2004,Oct,63
2004,Nov,58
2004,Dec,57
2005,Jan,77
2005,Feb,48
2005,Mar,77
2005,Apr,66
2005,May,68
2005,Jun,77
2005,Jul,80
2005,Aug,75
2005,Sep,66
2005,Oct,74
2005,Nov,69
2005,Dec,64
2006,Jan,83
2006,Feb,53
2006,Mar,65
2006,Apr,47
2006,May,59
2006,Jun,82
2006,Jul,84
2006,Aug,65
2006,Sep,65
2006,Oct,94
2006,Nov,53
2006,Dec,100
2007,Jan,70
2007,Feb,76
2007,Mar,65
2007,Apr,47
2007,May,68
2007,Jun,77
2007,Jul,48
2007,Aug,62
2007,Sep,37
2007,Oct,43
2007,Nov,36
2007,Dec,29
2008,Jan,31
2008,Feb,45
2008,Mar,37
2008,Apr,51
2008,May,44
2008,Jun,45
2008,Jul,44
2008,Aug,34
2008,Sep,70
2008,Oct,31
2008,Nov,36
2008,Dec,29
2009,Jan,28
2009,Feb,29
2009,Mar,34
2009,Apr,25
2009,May,24
2009,Jun,29
2009,Jul,28
2009,Aug,28
2009,Sep,23
2009,Oct,28
2009,Nov,39
2009,Dec,20
2010,Jan,29
2010,Feb,33
2010,Mar,33
2010,Apr,36
2010,May,36
2010,Jun,34
2010,Jul,29
2010,Aug,28
2010,Sep,21
2010,Oct,29
2010,Nov,40
2010,Dec,28
2011,Jan,32
2011,Feb,34
2011,Mar,34
2011,Apr,29
2011,May,28
2011,Jun,28
2011,Jul,30
2011,Aug,25
2011,Sep,25
2011,Oct,25
2011,Nov,29
2011,Dec,17
2012,Jan,38
2012,Feb,32
2012,Mar,28
2012,Apr,27
2012,May,20
2012,Jun,27
2012,Jul,25
2012,Aug,23
2012,Sep,20
2012,Oct,27
2012,Nov,24
2012,Dec,22
2013,Jan,26
2013,Feb,21
2013,Mar,25
2013,Apr,27
2013,May,22
2013,Jun,20
2013,Jul,19
2013,Aug,21
2013,Sep,21
2013,Oct,21
2013,Nov,21
2013,Dec,18
2014,Jan,18
2014,Feb,26
2014,Mar,23
2014,Apr,27
2014,May,24
2014,Jun,23
2014,Jul,23
2014,Aug,21
2014,Sep,24
2014,Oct,19
2014,Nov,22
2014,Dec,13
2015,Jan,26
2015,Feb,24
2015,Mar,22
2015,Apr,30
2015,May,22
2015,Jun,22
2015,Jul,24
2015,Aug,28
2015,Sep,25
2015,Oct,23
2015,Nov,23
2015,Dec,16
2016,Jan,23
2016,Feb,23
2016,Mar,27
2016,Apr,20
2016,May,24
2016,Jun,19
2016,Jul,17
2016,Aug,22
2016,Sep,30
2016,Oct,22
2016,Nov,18
2016,Dec,21
2017,Jan,19
2017,Feb,22
2017,Mar,21
2017,Apr,21
2017,May,23
2017,Jun,27
2017,Jul,21
2017,Aug,20
2017,Sep,22
2017,Oct,24
2017,Nov,22
2017,Dec,16
2018,Jan,22
2018,Feb,23
2018,Mar,22
2018,Apr,21
2018,May,31
2018,Jun,20
2018,Jul,23
2018,Aug,25
2018,Sep,21
2018,Oct,20
2018,Nov,20
2018,Dec,17
2019,Jan,22
2019,Feb,23
2019,Mar,51
2019,Apr,23
2019,May,21
2019,Jun,22
2019,Jul,24
2019,Aug,20
2019,Sep,20
2019,Oct,22
2019,Nov,20
2019,Dec,16
2020,Jan,16
2020,Feb,20
2020,Mar,15
2020,Apr,19
2020,May,16
2020,Jun,20
2020,Jul,18
2020,Aug,17
2020,Sep,15
2020,Oct,18
2020,Nov,9
2020,Dec,12
2021,Jan,19
2021,Feb,22
2021,Mar,19
2021,Apr,16
2021,May,17
2021,Jun,19
2021,Jul,19
2021,Aug,16
2021,Sep,24
2021,Oct,15
2021,Nov,14
2021,Dec,17
2022,Jan,39
2022,Feb,20
2022,Mar,22
