Owner:,CAFARO DEBRA A
Cname:,VENTAS INC
Google Trends Search Term:,Debra Cafaro
Google Trends Suggestion:,Chief Executive Officer of Ventas
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,100
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,72
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,61
2005,Dec,0
2006,Jan,52
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,47
2006,Jun,0
2006,Jul,0
2006,Aug,44
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,35
2007,Feb,38
2007,Mar,0
2007,Apr,0
2007,May,31
2007,Jun,33
2007,Jul,0
2007,Aug,30
2007,Sep,0
2007,Oct,0
2007,Nov,27
2007,Dec,56
2008,Jan,25
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,74
2008,Jun,26
2008,Jul,0
2008,Aug,0
2008,Sep,23
2008,Oct,42
2008,Nov,0
2008,Dec,0
2009,Jan,22
2009,Feb,0
2009,Mar,0
2009,Apr,41
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,19
2010,Jan,0
2010,Feb,18
2010,Mar,17
2010,Apr,17
2010,May,0
2010,Jun,18
2010,Jul,32
2010,Aug,0
2010,Sep,0
2010,Oct,15
2010,Nov,14
2010,Dec,0
2011,Jan,0
2011,Feb,36
2011,Mar,22
2011,Apr,22
2011,May,0
2011,Jun,22
2011,Jul,11
2011,Aug,21
2011,Sep,20
2011,Oct,19
2011,Nov,29
2011,Dec,28
2012,Jan,18
2012,Feb,9
2012,Mar,9
2012,Apr,0
2012,May,26
2012,Jun,18
2012,Jul,9
2012,Aug,25
2012,Sep,34
2012,Oct,8
2012,Nov,16
2012,Dec,8
2013,Jan,7
2013,Feb,23
2013,Mar,49
2013,Apr,29
2013,May,22
2013,Jun,38
2013,Jul,22
2013,Aug,22
2013,Sep,21
2013,Oct,41
2013,Nov,21
2013,Dec,14
2014,Jan,0
2014,Feb,15
2014,Mar,13
2014,Apr,14
2014,May,0
2014,Jun,8
2014,Jul,16
2014,Aug,8
2014,Sep,53
2014,Oct,7
2014,Nov,0
2014,Dec,8
2015,Jan,36
2015,Feb,15
2015,Mar,7
2015,Apr,0
2015,May,15
2015,Jun,24
2015,Jul,0
2015,Aug,15
2015,Sep,30
2015,Oct,21
2015,Nov,15
2015,Dec,14
2016,Jan,6
2016,Feb,6
2016,Mar,6
2016,Apr,35
2016,May,12
2016,Jun,6
2016,Jul,19
2016,Aug,12
2016,Sep,18
2016,Oct,23
2016,Nov,6
2016,Dec,22
2017,Jan,21
2017,Feb,17
2017,Mar,10
2017,Apr,5
2017,May,17
2017,Jun,12
2017,Jul,12
2017,Aug,5
2017,Sep,27
2017,Oct,31
2017,Nov,5
2017,Dec,16
2018,Jan,20
2018,Feb,22
2018,Mar,20
2018,Apr,11
2018,May,21
2018,Jun,22
2018,Jul,11
2018,Aug,5
2018,Sep,21
2018,Oct,5
2018,Nov,16
2018,Dec,16
2019,Jan,10
2019,Feb,16
2019,Mar,25
2019,Apr,21
2019,May,5
2019,Jun,0
2019,Jul,11
2019,Aug,10
2019,Sep,15
2019,Oct,14
2019,Nov,0
2019,Dec,24
2020,Jan,9
2020,Feb,29
2020,Mar,29
2020,Apr,8
2020,May,16
2020,Jun,13
2020,Jul,31
2020,Aug,13
2020,Sep,17
2020,Oct,15
2020,Nov,10
2020,Dec,5
2021,Jan,0
2021,Feb,5
2021,Mar,9
2021,Apr,15
2021,May,10
2021,Jun,0
2021,Jul,30
2021,Aug,15
2021,Sep,5
2021,Oct,0
2021,Nov,16
2021,Dec,11
2022,Jan,5
2022,Feb,12
2022,Mar,0
