Owner:,DILLARD WILLIAM T II
Cname:,DILLARD S INC
Google Trends Search Term:,William T Dillard II
Google Trends Suggestion:,Chief Executive Officer of Dillard's
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,35
2004,Jun,36
2004,Jul,37
2004,Aug,33
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,23
2005,Apr,0
2005,May,0
2005,Jun,49
2005,Jul,24
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,19
2006,Jan,0
2006,Feb,18
2006,Mar,16
2006,Apr,33
2006,May,47
2006,Jun,17
2006,Jul,0
2006,Aug,15
2006,Sep,15
2006,Oct,14
2006,Nov,0
2006,Dec,13
2007,Jan,0
2007,Feb,13
2007,Mar,11
2007,Apr,23
2007,May,10
2007,Jun,11
2007,Jul,0
2007,Aug,10
2007,Sep,20
2007,Oct,27
2007,Nov,0
2007,Dec,19
2008,Jan,33
2008,Feb,0
2008,Mar,25
2008,Apr,24
2008,May,16
2008,Jun,17
2008,Jul,17
2008,Aug,17
2008,Sep,15
2008,Oct,28
2008,Nov,23
2008,Dec,30
2009,Jan,14
2009,Feb,23
2009,Mar,20
2009,Apr,21
2009,May,7
2009,Jun,7
2009,Jul,21
2009,Aug,14
2009,Sep,7
2009,Oct,25
2009,Nov,6
2009,Dec,25
2010,Jan,6
2010,Feb,6
2010,Mar,6
2010,Apr,18
2010,May,6
2010,Jun,0
2010,Jul,16
2010,Aug,10
2010,Sep,5
2010,Oct,10
2010,Nov,14
2010,Dec,10
2011,Jan,11
2011,Feb,12
2011,Mar,22
2011,Apr,15
2011,May,7
2011,Jun,23
2011,Jul,0
2011,Aug,10
2011,Sep,7
2011,Oct,13
2011,Nov,7
2011,Dec,6
2012,Jan,6
2012,Feb,12
2012,Mar,6
2012,Apr,18
2012,May,32
2012,Jun,3
2012,Jul,26
2012,Aug,14
2012,Sep,14
2012,Oct,21
2012,Nov,16
2012,Dec,8
2013,Jan,15
2013,Feb,8
2013,Mar,7
2013,Apr,27
2013,May,17
2013,Jun,10
2013,Jul,20
2013,Aug,100
2013,Sep,17
2013,Oct,9
2013,Nov,10
2013,Dec,2
2014,Jan,16
2014,Feb,7
2014,Mar,9
2014,Apr,16
2014,May,17
2014,Jun,8
2014,Jul,5
2014,Aug,8
2014,Sep,15
2014,Oct,7
2014,Nov,13
2014,Dec,13
2015,Jan,7
2015,Feb,5
2015,Mar,15
2015,Apr,25
2015,May,13
2015,Jun,19
2015,Jul,11
2015,Aug,13
2015,Sep,13
2015,Oct,10
2015,Nov,17
2015,Dec,12
2016,Jan,14
2016,Feb,10
2016,Mar,4
2016,Apr,15
2016,May,8
2016,Jun,16
2016,Jul,23
2016,Aug,29
2016,Sep,8
2016,Oct,6
2016,Nov,21
2016,Dec,5
2017,Jan,10
2017,Feb,13
2017,Mar,23
2017,Apr,5
2017,May,16
2017,Jun,6
2017,Jul,11
2017,Aug,11
2017,Sep,16
2017,Oct,10
2017,Nov,10
2017,Dec,11
2018,Jan,15
2018,Feb,15
2018,Mar,15
2018,Apr,17
2018,May,8
2018,Jun,11
2018,Jul,18
2018,Aug,7
2018,Sep,11
2018,Oct,9
2018,Nov,16
2018,Dec,9
2019,Jan,13
2019,Feb,16
2019,Mar,8
2019,Apr,16
2019,May,12
2019,Jun,14
2019,Jul,17
2019,Aug,17
2019,Sep,15
2019,Oct,6
2019,Nov,16
2019,Dec,9
2020,Jan,10
2020,Feb,23
2020,Mar,11
2020,Apr,4
2020,May,7
2020,Jun,19
2020,Jul,6
2020,Aug,11
2020,Sep,11
2020,Oct,10
2020,Nov,8
2020,Dec,15
2021,Jan,9
2021,Feb,11
2021,Mar,5
2021,Apr,5
2021,May,15
2021,Jun,3
2021,Jul,10
2021,Aug,5
2021,Sep,11
2021,Oct,10
2021,Nov,7
2021,Dec,16
2022,Jan,12
2022,Feb,12
2022,Mar,9
