Owner:,FAIRBANK RICHARD D
Cname:,CAPITAL ONE FINANCIAL CORP
Google Trends Search Term:,Richard Fairbank
Google Trends Suggestion:,CEO of Capital One
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,32
2004,Jun,0
2004,Jul,34
2004,Aug,0
2004,Sep,29
2004,Oct,60
2004,Nov,0
2004,Dec,28
2005,Jan,72
2005,Feb,0
2005,Mar,22
2005,Apr,99
2005,May,0
2005,Jun,45
2005,Jul,45
2005,Aug,84
2005,Sep,19
2005,Oct,18
2005,Nov,0
2005,Dec,0
2006,Jan,32
2006,Feb,0
2006,Mar,29
2006,Apr,61
2006,May,14
2006,Jun,15
2006,Jul,30
2006,Aug,68
2006,Sep,14
2006,Oct,100
2006,Nov,37
2006,Dec,25
2007,Jan,11
2007,Feb,23
2007,Mar,21
2007,Apr,53
2007,May,19
2007,Jun,21
2007,Jul,48
2007,Aug,9
2007,Sep,37
2007,Oct,8
2007,Nov,42
2007,Dec,9
2008,Jan,23
2008,Feb,24
2008,Mar,15
2008,Apr,30
2008,May,8
2008,Jun,16
2008,Jul,23
2008,Aug,38
2008,Sep,42
2008,Oct,45
2008,Nov,14
2008,Dec,28
2009,Jan,13
2009,Feb,28
2009,Mar,6
2009,Apr,38
2009,May,13
2009,Jun,26
2009,Jul,32
2009,Aug,19
2009,Sep,12
2009,Oct,17
2009,Nov,18
2009,Dec,18
2010,Jan,28
2010,Feb,12
2010,Mar,27
2010,Apr,22
2010,May,6
2010,Jun,30
2010,Jul,26
2010,Aug,10
2010,Sep,24
2010,Oct,9
2010,Nov,36
2010,Dec,18
2011,Jan,11
2011,Feb,19
2011,Mar,10
2011,Apr,25
2011,May,7
2011,Jun,22
2011,Jul,21
2011,Aug,26
2011,Sep,30
2011,Oct,31
2011,Nov,25
2011,Dec,6
2012,Jan,9
2012,Feb,23
2012,Mar,14
2012,Apr,6
2012,May,14
2012,Jun,26
2012,Jul,14
2012,Aug,16
2012,Sep,16
2012,Oct,18
2012,Nov,26
2012,Dec,12
2013,Jan,26
2013,Feb,35
2013,Mar,18
2013,Apr,14
2013,May,14
2013,Jun,27
2013,Jul,21
2013,Aug,19
2013,Sep,32
2013,Oct,33
2013,Nov,25
2013,Dec,16
2014,Jan,24
2014,Feb,26
2014,Mar,19
2014,Apr,22
2014,May,16
2014,Jun,29
2014,Jul,15
2014,Aug,20
2014,Sep,14
2014,Oct,27
2014,Nov,17
2014,Dec,10
2015,Jan,9
2015,Feb,32
2015,Mar,16
2015,Apr,19
2015,May,25
2015,Jun,36
2015,Jul,30
2015,Aug,17
2015,Sep,17
2015,Oct,29
2015,Nov,33
2015,Dec,21
2016,Jan,8
2016,Feb,18
2016,Mar,21
2016,Apr,13
2016,May,30
2016,Jun,33
2016,Jul,31
2016,Aug,20
2016,Sep,15
2016,Oct,27
2016,Nov,20
2016,Dec,23
2017,Jan,17
2017,Feb,40
2017,Mar,25
2017,Apr,39
2017,May,38
2017,Jun,37
2017,Jul,40
2017,Aug,22
2017,Sep,27
2017,Oct,21
2017,Nov,27
2017,Dec,17
2018,Jan,21
2018,Feb,16
2018,Mar,14
2018,Apr,15
2018,May,44
2018,Jun,39
2018,Jul,14
2018,Aug,20
2018,Sep,40
2018,Oct,36
2018,Nov,26
2018,Dec,15
2019,Jan,29
2019,Feb,19
2019,Mar,21
2019,Apr,33
2019,May,57
2019,Jun,30
2019,Jul,63
2019,Aug,33
2019,Sep,25
2019,Oct,26
2019,Nov,20
2019,Dec,15
2020,Jan,21
2020,Feb,30
2020,Mar,22
2020,Apr,24
2020,May,79
2020,Jun,32
2020,Jul,34
2020,Aug,26
2020,Sep,16
2020,Oct,15
2020,Nov,18
2020,Dec,11
2021,Jan,19
2021,Feb,24
2021,Mar,13
2021,Apr,22
2021,May,50
2021,Jun,11
2021,Jul,13
2021,Aug,16
2021,Sep,27
2021,Oct,16
2021,Nov,10
2021,Dec,17
2022,Jan,16
2022,Feb,7
2022,Mar,15
