Owner:,FISKER HENRIK
Cname:,FISKER INC
Google Trends Search Term:,Henrik Fisker
Google Trends Suggestion:,CEO of Fisker Inc
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,24
2005,Jan,21
2005,Feb,0
2005,Mar,18
2005,Apr,0
2005,May,0
2005,Jun,19
2005,Jul,0
2005,Aug,54
2005,Sep,100
2005,Oct,47
2005,Nov,48
2005,Dec,61
2006,Jan,54
2006,Feb,42
2006,Mar,62
2006,Apr,79
2006,May,37
2006,Jun,13
2006,Jul,13
2006,Aug,0
2006,Sep,23
2006,Oct,43
2006,Nov,11
2006,Dec,21
2007,Jan,0
2007,Feb,10
2007,Mar,36
2007,Apr,9
2007,May,8
2007,Jun,9
2007,Jul,25
2007,Aug,8
2007,Sep,48
2007,Oct,36
2007,Nov,28
2007,Dec,44
2008,Jan,65
2008,Feb,40
2008,Mar,33
2008,Apr,39
2008,May,13
2008,Jun,7
2008,Jul,13
2008,Aug,20
2008,Sep,6
2008,Oct,6
2008,Nov,18
2008,Dec,0
2009,Jan,40
2009,Feb,24
2009,Mar,11
2009,Apr,27
2009,May,17
2009,Jun,17
2009,Jul,17
2009,Aug,22
2009,Sep,31
2009,Oct,40
2009,Nov,20
2009,Dec,5
2010,Jan,14
2010,Feb,10
2010,Mar,9
2010,Apr,14
2010,May,10
2010,Jun,15
2010,Jul,17
2010,Aug,4
2010,Sep,16
2010,Oct,12
2010,Nov,19
2010,Dec,4
2011,Jan,18
2011,Feb,3
2011,Mar,6
2011,Apr,12
2011,May,0
2011,Jun,30
2011,Jul,12
2011,Aug,22
2011,Sep,16
2011,Oct,18
2011,Nov,13
2011,Dec,25
2012,Jan,12
2012,Feb,26
2012,Mar,21
2012,Apr,12
2012,May,9
2012,Jun,10
2012,Jul,28
2012,Aug,25
2012,Sep,7
2012,Oct,23
2012,Nov,11
2012,Dec,17
2013,Jan,12
2013,Feb,8
2013,Mar,59
2013,Apr,39
2013,May,25
2013,Jun,20
2013,Jul,6
2013,Aug,25
2013,Sep,11
2013,Oct,9
2013,Nov,13
2013,Dec,11
2014,Jan,7
2014,Feb,10
2014,Mar,7
2014,Apr,11
2014,May,4
2014,Jun,9
2014,Jul,2
2014,Aug,4
2014,Sep,6
2014,Oct,6
2014,Nov,66
2014,Dec,22
2015,Jan,12
2015,Feb,12
2015,Mar,39
2015,Apr,12
2015,May,58
2015,Jun,13
2015,Jul,19
2015,Aug,27
2015,Sep,30
2015,Oct,28
2015,Nov,24
2015,Dec,17
2016,Jan,64
2016,Feb,15
2016,Mar,17
2016,Apr,41
2016,May,27
2016,Jun,17
2016,Jul,12
2016,Aug,13
2016,Sep,16
2016,Oct,30
2016,Nov,26
2016,Dec,6
2017,Jan,14
2017,Feb,14
2017,Mar,11
2017,Apr,17
2017,May,19
2017,Jun,31
2017,Jul,9
2017,Aug,13
2017,Sep,9
2017,Oct,14
2017,Nov,20
2017,Dec,14
2018,Jan,40
2018,Feb,10
2018,Mar,4
2018,Apr,16
2018,May,15
2018,Jun,13
2018,Jul,12
2018,Aug,20
2018,Sep,12
2018,Oct,14
2018,Nov,13
2018,Dec,8
2019,Jan,7
2019,Feb,4
2019,Mar,20
2019,Apr,7
2019,May,11
2019,Jun,10
2019,Jul,9
2019,Aug,10
2019,Sep,11
2019,Oct,5
2019,Nov,13
2019,Dec,8
2020,Jan,26
2020,Feb,13
2020,Mar,8
2020,Apr,13
2020,May,8
2020,Jun,5
2020,Jul,84
2020,Aug,43
2020,Sep,47
2020,Oct,83
2020,Nov,48
2020,Dec,46
2021,Jan,41
2021,Feb,56
2021,Mar,25
2021,Apr,31
2021,May,39
2021,Jun,25
2021,Jul,11
2021,Aug,26
2021,Sep,14
2021,Oct,17
2021,Nov,29
2021,Dec,19
2022,Jan,21
2022,Feb,37
2022,Mar,30
