Owner:,FRIES MICHAEL T
Cname:,LIBERTY GLOBAL PLC
Google Trends Search Term:,Mike Fries
Google Trends Suggestion:,Chief Executive Officer of Liberty Global
Category:,Reliable

Year,Month,SVI Data
2004,Jan,77
2004,Feb,76
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,71
2004,Aug,0
2004,Sep,61
2004,Oct,62
2004,Nov,0
2004,Dec,0
2005,Jan,100
2005,Feb,53
2005,Mar,45
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,44
2005,Sep,40
2005,Oct,0
2005,Nov,39
2005,Dec,37
2006,Jan,33
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,28
2006,Sep,28
2006,Oct,0
2006,Nov,26
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,43
2007,Apr,0
2007,May,0
2007,Jun,21
2007,Jul,60
2007,Aug,38
2007,Sep,0
2007,Oct,17
2007,Nov,35
2007,Dec,18
2008,Jan,16
2008,Feb,0
2008,Mar,0
2008,Apr,16
2008,May,32
2008,Jun,17
2008,Jul,0
2008,Aug,32
2008,Sep,15
2008,Oct,13
2008,Nov,15
2008,Dec,0
2009,Jan,41
2009,Feb,14
2009,Mar,0
2009,Apr,13
2009,May,13
2009,Jun,0
2009,Jul,0
2009,Aug,52
2009,Sep,13
2009,Oct,0
2009,Nov,12
2009,Dec,12
2010,Jan,35
2010,Feb,47
2010,Mar,0
2010,Apr,11
2010,May,12
2010,Jun,0
2010,Jul,10
2010,Aug,10
2010,Sep,0
2010,Oct,28
2010,Nov,0
2010,Dec,9
2011,Jan,7
2011,Feb,8
2011,Mar,14
2011,Apr,29
2011,May,7
2011,Jun,14
2011,Jul,7
2011,Aug,33
2011,Sep,33
2011,Oct,0
2011,Nov,38
2011,Dec,6
2012,Jan,17
2012,Feb,11
2012,Mar,17
2012,Apr,17
2012,May,5
2012,Jun,0
2012,Jul,44
2012,Aug,32
2012,Sep,11
2012,Oct,30
2012,Nov,10
2012,Dec,10
2013,Jan,9
2013,Feb,35
2013,Mar,14
2013,Apr,14
2013,May,37
2013,Jun,10
2013,Jul,24
2013,Aug,23
2013,Sep,23
2013,Oct,18
2013,Nov,23
2013,Dec,36
2014,Jan,9
2014,Feb,23
2014,Mar,38
2014,Apr,26
2014,May,47
2014,Jun,21
2014,Jul,20
2014,Aug,10
2014,Sep,10
2014,Oct,18
2014,Nov,34
2014,Dec,19
2015,Jan,19
2015,Feb,29
2015,Mar,23
2015,Apr,29
2015,May,54
2015,Jun,41
2015,Jul,35
2015,Aug,44
2015,Sep,14
2015,Oct,14
2015,Nov,52
2015,Dec,32
2016,Jan,15
2016,Feb,24
2016,Mar,15
2016,Apr,15
2016,May,31
2016,Jun,20
2016,Jul,28
2016,Aug,16
2016,Sep,27
2016,Oct,19
2016,Nov,7
2016,Dec,18
2017,Jan,27
2017,Feb,18
2017,Mar,16
2017,Apr,21
2017,May,7
2017,Jun,23
2017,Jul,23
2017,Aug,11
2017,Sep,14
2017,Oct,34
2017,Nov,10
2017,Dec,14
2018,Jan,13
2018,Feb,18
2018,Mar,26
2018,Apr,20
2018,May,20
2018,Jun,28
2018,Jul,11
2018,Aug,31
2018,Sep,7
2018,Oct,17
2018,Nov,20
2018,Dec,7
2019,Jan,20
2019,Feb,18
2019,Mar,16
2019,Apr,31
2019,May,13
2019,Jun,17
2019,Jul,27
2019,Aug,23
2019,Sep,13
2019,Oct,12
2019,Nov,16
2019,Dec,13
2020,Jan,21
2020,Feb,25
2020,Mar,8
2020,Apr,3
2020,May,16
2020,Jun,14
2020,Jul,9
2020,Aug,11
2020,Sep,8
2020,Oct,6
2020,Nov,19
2020,Dec,10
2021,Jan,9
2021,Feb,38
2021,Mar,15
2021,Apr,7
2021,May,23
2021,Jun,13
2021,Jul,13
2021,Aug,13
2021,Sep,10
2021,Oct,17
2021,Nov,11
2021,Dec,10
2022,Jan,0
2022,Feb,12
2022,Mar,14
