Owner:,GIBBONS THOMAS P
Cname:,BANK OF NEW YORK MELLON CORP
Google Trends Search Term:,Thomas P Gibbons
Google Trends Suggestion:,Chief Executive Officer of the Bank of New York Mellon
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,83
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,100
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,64
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,21
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,0
2008,Mar,20
2008,Apr,0
2008,May,19
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,17
2008,Nov,0
2008,Dec,0
2009,Jan,17
2009,Feb,0
2009,Mar,16
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,31
2009,Oct,0
2009,Nov,0
2009,Dec,15
2010,Jan,29
2010,Feb,0
2010,Mar,13
2010,Apr,42
2010,May,14
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,12
2010,Oct,35
2010,Nov,0
2010,Dec,0
2011,Jan,18
2011,Feb,10
2011,Mar,9
2011,Apr,9
2011,May,9
2011,Jun,9
2011,Jul,9
2011,Aug,16
2011,Sep,0
2011,Oct,8
2011,Nov,23
2011,Dec,7
2012,Jan,14
2012,Feb,0
2012,Mar,27
2012,Apr,14
2012,May,14
2012,Jun,28
2012,Jul,7
2012,Aug,7
2012,Sep,7
2012,Oct,6
2012,Nov,6
2012,Dec,0
2013,Jan,12
2013,Feb,12
2013,Mar,0
2013,Apr,6
2013,May,6
2013,Jun,0
2013,Jul,18
2013,Aug,23
2013,Sep,0
2013,Oct,11
2013,Nov,11
2013,Dec,0
2014,Jan,5
2014,Feb,6
2014,Mar,11
2014,Apr,5
2014,May,0
2014,Jun,0
2014,Jul,6
2014,Aug,0
2014,Sep,18
2014,Oct,0
2014,Nov,12
2014,Dec,18
2015,Jan,0
2015,Feb,12
2015,Mar,0
2015,Apr,6
2015,May,6
2015,Jun,6
2015,Jul,0
2015,Aug,18
2015,Sep,0
2015,Oct,6
2015,Nov,6
2015,Dec,0
2016,Jan,0
2016,Feb,0
2016,Mar,5
2016,Apr,5
2016,May,19
2016,Jun,5
2016,Jul,5
2016,Aug,0
2016,Sep,5
2016,Oct,5
2016,Nov,14
2016,Dec,18
2017,Jan,4
2017,Feb,4
2017,Mar,0
2017,Apr,0
2017,May,0
2017,Jun,5
2017,Jul,5
2017,Aug,0
2017,Sep,9
2017,Oct,8
2017,Nov,8
2017,Dec,4
2018,Jan,0
2018,Feb,4
2018,Mar,12
2018,Apr,0
2018,May,8
2018,Jun,4
2018,Jul,4
2018,Aug,8
2018,Sep,0
2018,Oct,8
2018,Nov,0
2018,Dec,8
2019,Jan,0
2019,Feb,13
2019,Mar,4
2019,Apr,0
2019,May,16
2019,Jun,13
2019,Jul,8
2019,Aug,8
2019,Sep,99
2019,Oct,22
2019,Nov,12
2019,Dec,11
2020,Jan,11
2020,Feb,11
2020,Mar,26
2020,Apr,16
2020,May,20
2020,Jun,17
2020,Jul,18
2020,Aug,7
2020,Sep,17
2020,Oct,8
2020,Nov,0
2020,Dec,4
2021,Jan,19
2021,Feb,17
2021,Mar,15
2021,Apr,4
2021,May,8
2021,Jun,0
2021,Jul,28
2021,Aug,12
2021,Sep,9
2021,Oct,4
2021,Nov,9
2021,Dec,4
2022,Jan,4
2022,Feb,19
2022,Mar,29
