Owner:,GORMAN JAMES P
Cname:,MORGAN STANLEY
Google Trends Search Term:,James P Gorman
Google Trends Suggestion:,Chief Executive Officer of Morgan Stanley
Category:,Reliable

Year,Month,SVI Data
2004,Jan,12
2004,Feb,35
2004,Mar,15
2004,Apr,11
2004,May,0
2004,Jun,0
2004,Jul,32
2004,Aug,29
2004,Sep,9
2004,Oct,29
2004,Nov,29
2004,Dec,17
2005,Jan,23
2005,Feb,0
2005,Mar,14
2005,Apr,8
2005,May,14
2005,Jun,22
2005,Jul,14
2005,Aug,100
2005,Sep,25
2005,Oct,17
2005,Nov,24
2005,Dec,17
2006,Jan,20
2006,Feb,47
2006,Mar,55
2006,Apr,34
2006,May,32
2006,Jun,24
2006,Jul,5
2006,Aug,13
2006,Sep,39
2006,Oct,8
2006,Nov,8
2006,Dec,12
2007,Jan,21
2007,Feb,11
2007,Mar,26
2007,Apr,10
2007,May,12
2007,Jun,10
2007,Jul,15
2007,Aug,9
2007,Sep,9
2007,Oct,24
2007,Nov,34
2007,Dec,33
2008,Jan,12
2008,Feb,12
2008,Mar,19
2008,Apr,14
2008,May,7
2008,Jun,15
2008,Jul,10
2008,Aug,10
2008,Sep,11
2008,Oct,10
2008,Nov,14
2008,Dec,7
2009,Jan,44
2009,Feb,22
2009,Mar,6
2009,Apr,12
2009,May,6
2009,Jun,2
2009,Jul,16
2009,Aug,14
2009,Sep,74
2009,Oct,20
2009,Nov,27
2009,Dec,41
2010,Jan,26
2010,Feb,15
2010,Mar,18
2010,Apr,30
2010,May,35
2010,Jun,17
2010,Jul,19
2010,Aug,20
2010,Sep,21
2010,Oct,22
2010,Nov,18
2010,Dec,17
2011,Jan,25
2011,Feb,13
2011,Mar,18
2011,Apr,21
2011,May,12
2011,Jun,11
2011,Jul,15
2011,Aug,16
2011,Sep,23
2011,Oct,23
2011,Nov,17
2011,Dec,11
2012,Jan,43
2012,Feb,31
2012,Mar,16
2012,Apr,37
2012,May,39
2012,Jun,25
2012,Jul,15
2012,Aug,12
2012,Sep,9
2012,Oct,28
2012,Nov,18
2012,Dec,10
2013,Jan,24
2013,Feb,15
2013,Mar,13
2013,Apr,17
2013,May,15
2013,Jun,22
2013,Jul,22
2013,Aug,16
2013,Sep,33
2013,Oct,18
2013,Nov,20
2013,Dec,13
2014,Jan,24
2014,Feb,15
2014,Mar,17
2014,Apr,23
2014,May,20
2014,Jun,19
2014,Jul,28
2014,Aug,13
2014,Sep,10
2014,Oct,20
2014,Nov,8
2014,Dec,8
2015,Jan,24
2015,Feb,17
2015,Mar,19
2015,Apr,19
2015,May,16
2015,Jun,25
2015,Jul,18
2015,Aug,8
2015,Sep,27
2015,Oct,24
2015,Nov,18
2015,Dec,11
2016,Jan,28
2016,Feb,12
2016,Mar,16
2016,Apr,20
2016,May,16
2016,Jun,17
2016,Jul,12
2016,Aug,7
2016,Sep,14
2016,Oct,24
2016,Nov,10
2016,Dec,12
2017,Jan,18
2017,Feb,13
2017,Mar,14
2017,Apr,20
2017,May,15
2017,Jun,19
2017,Jul,17
2017,Aug,11
2017,Sep,17
2017,Oct,21
2017,Nov,13
2017,Dec,11
2018,Jan,13
2018,Feb,16
2018,Mar,11
2018,Apr,19
2018,May,31
2018,Jun,16
2018,Jul,18
2018,Aug,14
2018,Sep,12
2018,Oct,15
2018,Nov,14
2018,Dec,11
2019,Jan,15
2019,Feb,18
2019,Mar,12
2019,Apr,31
2019,May,14
2019,Jun,22
2019,Jul,15
2019,Aug,10
2019,Sep,20
2019,Oct,19
2019,Nov,13
2019,Dec,14
2020,Jan,18
2020,Feb,26
2020,Mar,14
2020,Apr,60
2020,May,16
2020,Jun,15
2020,Jul,10
2020,Aug,11
2020,Sep,15
2020,Oct,24
2020,Nov,10
2020,Dec,11
2021,Jan,18
2021,Feb,12
2021,Mar,14
2021,Apr,11
2021,May,17
2021,Jun,74
2021,Jul,17
2021,Aug,16
2021,Sep,13
2021,Oct,18
2021,Nov,10
2021,Dec,26
2022,Jan,14
2022,Feb,14
2022,Mar,16
