Owner:,GREENBERG EVAN G
Cname:,ACE LTD
Google Trends Search Term:,Evan G Greenberg
Google Trends Suggestion:,Chief Executive Officer of Chubb
Category:,Reliable

Year,Month,SVI Data
2004,Jan,27
2004,Feb,26
2004,Mar,0
2004,Apr,26
2004,May,24
2004,Jun,24
2004,Jul,25
2004,Aug,45
2004,Sep,0
2004,Oct,44
2004,Nov,45
2004,Dec,100
2005,Jan,18
2005,Feb,37
2005,Mar,47
2005,Apr,36
2005,May,16
2005,Jun,16
2005,Jul,0
2005,Aug,0
2005,Sep,28
2005,Oct,0
2005,Nov,27
2005,Dec,0
2006,Jan,12
2006,Feb,0
2006,Mar,21
2006,Apr,0
2006,May,10
2006,Jun,11
2006,Jul,11
2006,Aug,0
2006,Sep,10
2006,Oct,9
2006,Nov,0
2006,Dec,9
2007,Jan,8
2007,Feb,17
2007,Mar,8
2007,Apr,15
2007,May,7
2007,Jun,22
2007,Jul,7
2007,Aug,20
2007,Sep,0
2007,Oct,18
2007,Nov,36
2007,Dec,6
2008,Jan,22
2008,Feb,11
2008,Mar,6
2008,Apr,16
2008,May,6
2008,Jun,6
2008,Jul,17
2008,Aug,22
2008,Sep,36
2008,Oct,5
2008,Nov,5
2008,Dec,15
2009,Jan,14
2009,Feb,10
2009,Mar,14
2009,Apr,14
2009,May,9
2009,Jun,10
2009,Jul,5
2009,Aug,9
2009,Sep,9
2009,Oct,21
2009,Nov,17
2009,Dec,4
2010,Jan,4
2010,Feb,9
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,26
2010,Jul,4
2010,Aug,0
2010,Sep,7
2010,Oct,24
2010,Nov,3
2010,Dec,3
2011,Jan,5
2011,Feb,14
2011,Mar,3
2011,Apr,5
2011,May,13
2011,Jun,16
2011,Jul,10
2011,Aug,5
2011,Sep,10
2011,Oct,5
2011,Nov,2
2011,Dec,0
2012,Jan,15
2012,Feb,8
2012,Mar,0
2012,Apr,17
2012,May,6
2012,Jun,4
2012,Jul,10
2012,Aug,6
2012,Sep,16
2012,Oct,7
2012,Nov,6
2012,Dec,2
2013,Jan,7
2013,Feb,9
2013,Mar,3
2013,Apr,7
2013,May,8
2013,Jun,7
2013,Jul,10
2013,Aug,2
2013,Sep,8
2013,Oct,11
2013,Nov,3
2013,Dec,8
2014,Jan,14
2014,Feb,2
2014,Mar,8
2014,Apr,6
2014,May,5
2014,Jun,2
2014,Jul,4
2014,Aug,4
2014,Sep,7
2014,Oct,12
2014,Nov,9
2014,Dec,4
2015,Jan,12
2015,Feb,7
2015,Mar,7
2015,Apr,7
2015,May,14
2015,Jun,11
2015,Jul,70
2015,Aug,9
2015,Sep,9
2015,Oct,13
2015,Nov,12
2015,Dec,18
2016,Jan,18
2016,Feb,11
2016,Mar,13
2016,Apr,12
2016,May,8
2016,Jun,11
2016,Jul,17
2016,Aug,10
2016,Sep,8
2016,Oct,5
2016,Nov,16
2016,Dec,4
2017,Jan,7
2017,Feb,14
2017,Mar,14
2017,Apr,24
2017,May,25
2017,Jun,9
2017,Jul,22
2017,Aug,16
2017,Sep,20
2017,Oct,4
2017,Nov,13
2017,Dec,13
2018,Jan,15
2018,Feb,11
2018,Mar,15
2018,Apr,10
2018,May,12
2018,Jun,11
2018,Jul,14
2018,Aug,17
2018,Sep,5
2018,Oct,11
2018,Nov,13
2018,Dec,8
2019,Jan,6
2019,Feb,11
2019,Mar,6
2019,Apr,13
2019,May,25
2019,Jun,12
2019,Jul,19
2019,Aug,10
2019,Sep,10
2019,Oct,10
2019,Nov,8
2019,Dec,9
2020,Jan,8
2020,Feb,11
2020,Mar,8
2020,Apr,27
2020,May,12
2020,Jun,8
2020,Jul,6
2020,Aug,5
2020,Sep,5
2020,Oct,8
2020,Nov,4
2020,Dec,7
2021,Jan,9
2021,Feb,9
2021,Mar,23
2021,Apr,17
2021,May,14
2021,Jun,6
2021,Jul,24
2021,Aug,13
2021,Sep,11
2021,Oct,8
2021,Nov,10
2021,Dec,4
2022,Jan,11
2022,Feb,8
2022,Mar,10
