Owner:,HAFNER DANIEL STEPHEN
Cname:,KAYAK SOFTWARE CORP
Google Trends Search Term:,Steve Hafner
Google Trends Suggestion:,CEO of Kayak
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,100
2004,Apr,76
2004,May,0
2004,Jun,71
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,65
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,46
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,35
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,59
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,47
2007,Feb,0
2007,Mar,22
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,21
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,19
2008,Jan,49
2008,Feb,17
2008,Mar,0
2008,Apr,0
2008,May,16
2008,Jun,0
2008,Jul,0
2008,Aug,16
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,14
2009,Apr,0
2009,May,14
2009,Jun,0
2009,Jul,28
2009,Aug,0
2009,Sep,0
2009,Oct,25
2009,Nov,13
2009,Dec,13
2010,Jan,0
2010,Feb,0
2010,Mar,11
2010,Apr,0
2010,May,12
2010,Jun,0
2010,Jul,21
2010,Aug,20
2010,Sep,10
2010,Oct,0
2010,Nov,9
2010,Dec,9
2011,Jan,14
2011,Feb,8
2011,Mar,14
2011,Apr,0
2011,May,7
2011,Jun,7
2011,Jul,21
2011,Aug,13
2011,Sep,7
2011,Oct,6
2011,Nov,13
2011,Dec,12
2012,Jan,6
2012,Feb,6
2012,Mar,6
2012,Apr,12
2012,May,17
2012,Jun,6
2012,Jul,28
2012,Aug,16
2012,Sep,16
2012,Oct,5
2012,Nov,36
2012,Dec,15
2013,Jan,19
2013,Feb,25
2013,Mar,5
2013,Apr,14
2013,May,19
2013,Jun,0
2013,Jul,24
2013,Aug,14
2013,Sep,9
2013,Oct,13
2013,Nov,9
2013,Dec,5
2014,Jan,13
2014,Feb,9
2014,Mar,0
2014,Apr,18
2014,May,24
2014,Jun,21
2014,Jul,15
2014,Aug,5
2014,Sep,15
2014,Oct,9
2014,Nov,10
2014,Dec,5
2015,Jan,5
2015,Feb,20
2015,Mar,9
2015,Apr,10
2015,May,30
2015,Jun,16
2015,Jul,15
2015,Aug,10
2015,Sep,14
2015,Oct,5
2015,Nov,19
2015,Dec,9
2016,Jan,11
2016,Feb,16
2016,Mar,11
2016,Apr,11
2016,May,4
2016,Jun,28
2016,Jul,32
2016,Aug,8
2016,Sep,23
2016,Oct,11
2016,Nov,7
2016,Dec,22
2017,Jan,14
2017,Feb,14
2017,Mar,7
2017,Apr,17
2017,May,21
2017,Jun,4
2017,Jul,8
2017,Aug,11
2017,Sep,14
2017,Oct,24
2017,Nov,7
2017,Dec,7
2018,Jan,16
2018,Feb,14
2018,Mar,7
2018,Apr,17
2018,May,17
2018,Jun,18
2018,Jul,14
2018,Aug,10
2018,Sep,10
2018,Oct,17
2018,Nov,3
2018,Dec,17
2019,Jan,10
2019,Feb,24
2019,Mar,23
2019,Apr,14
2019,May,3
2019,Jun,0
2019,Jul,0
2019,Aug,10
2019,Sep,19
2019,Oct,15
2019,Nov,16
2019,Dec,12
2020,Jan,15
2020,Feb,19
2020,Mar,13
2020,Apr,13
2020,May,27
2020,Jun,34
2020,Jul,0
2020,Aug,14
2020,Sep,14
2020,Oct,16
2020,Nov,0
2020,Dec,6
2021,Jan,9
2021,Feb,3
2021,Mar,34
2021,Apr,23
2021,May,3
2021,Jun,13
2021,Jul,10
2021,Aug,10
2021,Sep,10
2021,Oct,7
2021,Nov,14
2021,Dec,27
2022,Jan,14
2022,Feb,0
2022,Mar,3
