Owner:,HAGERTY MCKEEL
Cname:,HAGERTY INC
Google Trends Search Term:,McKeel Hagerty
Google Trends Suggestion:,CEO of Hagerty Insurance Agency
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,100
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,50
2008,Feb,0
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,51
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,42
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,0
2010,Apr,35
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,28
2010,Dec,28
2011,Jan,0
2011,Feb,0
2011,Mar,0
2011,Apr,22
2011,May,0
2011,Jun,45
2011,Jul,22
2011,Aug,0
2011,Sep,20
2011,Oct,0
2011,Nov,20
2011,Dec,0
2012,Jan,0
2012,Feb,0
2012,Mar,17
2012,Apr,18
2012,May,17
2012,Jun,18
2012,Jul,0
2012,Aug,0
2012,Sep,17
2012,Oct,16
2012,Nov,48
2012,Dec,0
2013,Jan,44
2013,Feb,0
2013,Mar,0
2013,Apr,0
2013,May,0
2013,Jun,0
2013,Jul,0
2013,Aug,29
2013,Sep,0
2013,Oct,0
2013,Nov,0
2013,Dec,42
2014,Jan,13
2014,Feb,0
2014,Mar,26
2014,Apr,14
2014,May,14
2014,Jun,0
2014,Jul,0
2014,Aug,15
2014,Sep,30
2014,Oct,0
2014,Nov,15
2014,Dec,45
2015,Jan,14
2015,Feb,0
2015,Mar,29
2015,Apr,30
2015,May,0
2015,Jun,0
2015,Jul,16
2015,Aug,0
2015,Sep,15
2015,Oct,14
2015,Nov,29
2015,Dec,28
2016,Jan,12
2016,Feb,37
2016,Mar,0
2016,Apr,12
2016,May,36
2016,Jun,12
2016,Jul,12
2016,Aug,25
2016,Sep,0
2016,Oct,0
2016,Nov,0
2016,Dec,11
2017,Jan,0
2017,Feb,22
2017,Mar,0
2017,Apr,11
2017,May,11
2017,Jun,23
2017,Jul,12
2017,Aug,0
2017,Sep,22
2017,Oct,31
2017,Nov,11
2017,Dec,11
2018,Jan,20
2018,Feb,33
2018,Mar,0
2018,Apr,0
2018,May,0
2018,Jun,11
2018,Jul,22
2018,Aug,11
2018,Sep,21
2018,Oct,52
2018,Nov,31
2018,Dec,11
2019,Jan,0
2019,Feb,0
2019,Mar,10
2019,Apr,11
2019,May,31
2019,Jun,21
2019,Jul,11
2019,Aug,41
2019,Sep,30
2019,Oct,9
2019,Nov,10
2019,Dec,19
2020,Jan,0
2020,Feb,19
2020,Mar,50
2020,Apr,16
2020,May,25
2020,Jun,18
2020,Jul,27
2020,Aug,26
2020,Sep,17
2020,Oct,10
2020,Nov,10
2020,Dec,10
2021,Jan,0
2021,Feb,11
2021,Mar,19
2021,Apr,10
2021,May,50
2021,Jun,0
2021,Jul,30
2021,Aug,30
2021,Sep,0
2021,Oct,42
2021,Nov,54
2021,Dec,0
2022,Jan,0
2022,Feb,0
2022,Mar,10
