Owner:,HANSON BRYAN C
Cname:,ZIMMER BIOMET HOLDINGS INC
Google Trends Search Term:,Bryan C Hanson
Google Trends Suggestion:,Chief Executive Officer of Zimmer Biomet
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,100
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,58
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,47
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,38
2007,Jan,0
2007,Feb,36
2007,Mar,32
2007,Apr,0
2007,May,60
2007,Jun,0
2007,Jul,0
2007,Aug,29
2007,Sep,29
2007,Oct,51
2007,Nov,0
2007,Dec,27
2008,Jan,23
2008,Feb,24
2008,Mar,0
2008,Apr,23
2008,May,23
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,65
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,41
2009,Feb,0
2009,Mar,58
2009,Apr,39
2009,May,40
2009,Jun,20
2009,Jul,20
2009,Aug,39
2009,Sep,0
2009,Oct,18
2009,Nov,18
2009,Dec,36
2010,Jan,17
2010,Feb,36
2010,Mar,64
2010,Apr,34
2010,May,18
2010,Jun,0
2010,Jul,0
2010,Aug,29
2010,Sep,14
2010,Oct,0
2010,Nov,0
2010,Dec,14
2011,Jan,0
2011,Feb,0
2011,Mar,41
2011,Apr,11
2011,May,0
2011,Jun,86
2011,Jul,21
2011,Aug,69
2011,Sep,10
2011,Oct,0
2011,Nov,38
2011,Dec,9
2012,Jan,43
2012,Feb,9
2012,Mar,8
2012,Apr,17
2012,May,41
2012,Jun,26
2012,Jul,16
2012,Aug,8
2012,Sep,8
2012,Oct,30
2012,Nov,15
2012,Dec,0
2013,Jan,7
2013,Feb,7
2013,Mar,20
2013,Apr,35
2013,May,0
2013,Jun,0
2013,Jul,14
2013,Aug,28
2013,Sep,21
2013,Oct,33
2013,Nov,41
2013,Dec,7
2014,Jan,26
2014,Feb,28
2014,Mar,19
2014,Apr,13
2014,May,14
2014,Jun,55
2014,Jul,76
2014,Aug,22
2014,Sep,7
2014,Oct,14
2014,Nov,22
2014,Dec,14
2015,Jan,28
2015,Feb,0
2015,Mar,7
2015,Apr,36
2015,May,7
2015,Jun,23
2015,Jul,8
2015,Aug,15
2015,Sep,0
2015,Oct,41
2015,Nov,21
2015,Dec,7
2016,Jan,34
2016,Feb,12
2016,Mar,16
2016,Apr,11
2016,May,17
2016,Jun,24
2016,Jul,0
2016,Aug,6
2016,Sep,23
2016,Oct,6
2016,Nov,6
2016,Dec,5
2017,Jan,10
2017,Feb,32
2017,Mar,10
2017,Apr,36
2017,May,21
2017,Jun,11
2017,Jul,17
2017,Aug,5
2017,Sep,42
2017,Oct,20
2017,Nov,5
2017,Dec,93
2018,Jan,83
2018,Feb,32
2018,Mar,20
2018,Apr,35
2018,May,35
2018,Jun,31
2018,Jul,16
2018,Aug,20
2018,Sep,41
2018,Oct,35
2018,Nov,5
2018,Dec,15
2019,Jan,15
2019,Feb,31
2019,Mar,20
2019,Apr,30
2019,May,25
2019,Jun,0
2019,Jul,10
2019,Aug,39
2019,Sep,29
2019,Oct,18
2019,Nov,14
2019,Dec,23
2020,Jan,26
2020,Feb,37
2020,Mar,24
2020,Apr,35
2020,May,24
2020,Jun,34
2020,Jul,30
2020,Aug,25
2020,Sep,21
2020,Oct,14
2020,Nov,28
2020,Dec,19
2021,Jan,23
2021,Feb,10
2021,Mar,23
2021,Apr,5
2021,May,24
2021,Jun,30
2021,Jul,39
2021,Aug,15
2021,Sep,21
2021,Oct,30
2021,Nov,21
2021,Dec,15
2022,Jan,20
2022,Feb,11
2022,Mar,15
