Owner:,KARP ALEXANDER C
Cname:,PALANTIR TECHNOLOGIES INC
Google Trends Search Term:,Alex Karp
Google Trends Suggestion:,CEO of Palantir Technologies
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,23
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,18
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,15
2005,Aug,0
2005,Sep,13
2005,Oct,12
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,11
2006,Mar,10
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,9
2006,Oct,0
2006,Nov,0
2006,Dec,8
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,7
2007,May,0
2007,Jun,14
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,6
2008,Jan,0
2008,Feb,5
2008,Mar,0
2008,Apr,0
2008,May,5
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,4
2008,Nov,0
2008,Dec,14
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,4
2009,May,4
2009,Jun,0
2009,Jul,13
2009,Aug,50
2009,Sep,8
2009,Oct,4
2009,Nov,8
2009,Dec,16
2010,Jan,7
2010,Feb,16
2010,Mar,14
2010,Apr,0
2010,May,0
2010,Jun,4
2010,Jul,3
2010,Aug,0
2010,Sep,3
2010,Oct,9
2010,Nov,0
2010,Dec,3
2011,Jan,12
2011,Feb,23
2011,Mar,5
2011,Apr,10
2011,May,14
2011,Jun,7
2011,Jul,5
2011,Aug,2
2011,Sep,9
2011,Oct,10
2011,Nov,21
2011,Dec,32
2012,Jan,9
2012,Feb,9
2012,Mar,4
2012,Apr,8
2012,May,11
2012,Jun,13
2012,Jul,13
2012,Aug,7
2012,Sep,7
2012,Oct,7
2012,Nov,10
2012,Dec,5
2013,Jan,11
2013,Feb,12
2013,Mar,13
2013,Apr,6
2013,May,2
2013,Jun,21
2013,Jul,5
2013,Aug,34
2013,Sep,18
2013,Oct,16
2013,Nov,9
2013,Dec,18
2014,Jan,24
2014,Feb,22
2014,Mar,15
2014,Apr,4
2014,May,17
2014,Jun,21
2014,Jul,22
2014,Aug,11
2014,Sep,22
2014,Oct,14
2014,Nov,21
2014,Dec,10
2015,Jan,17
2015,Feb,8
2015,Mar,25
2015,Apr,21
2015,May,7
2015,Jun,34
2015,Jul,31
2015,Aug,19
2015,Sep,14
2015,Oct,16
2015,Nov,11
2015,Dec,23
2016,Jan,15
2016,Feb,14
2016,Mar,14
2016,Apr,32
2016,May,31
2016,Jun,23
2016,Jul,10
2016,Aug,7
2016,Sep,24
2016,Oct,34
2016,Nov,19
2016,Dec,74
2017,Jan,22
2017,Feb,16
2017,Mar,11
2017,Apr,22
2017,May,8
2017,Jun,12
2017,Jul,16
2017,Aug,10
2017,Sep,8
2017,Oct,10
2017,Nov,10
2017,Dec,10
2018,Jan,10
2018,Feb,24
2018,Mar,18
2018,Apr,14
2018,May,8
2018,Jun,14
2018,Jul,3
2018,Aug,9
2018,Sep,13
2018,Oct,17
2018,Nov,41
2018,Dec,4
2019,Jan,39
2019,Feb,15
2019,Mar,19
2019,Apr,9
2019,May,12
2019,Jun,12
2019,Jul,13
2019,Aug,24
2019,Sep,30
2019,Oct,11
2019,Nov,6
2019,Dec,6
2020,Jan,17
2020,Feb,12
2020,Mar,3
2020,Apr,8
2020,May,34
2020,Jun,26
2020,Jul,42
2020,Aug,67
2020,Sep,89
2020,Oct,78
2020,Nov,40
2020,Dec,68
2021,Jan,45
2021,Feb,60
2021,Mar,100
2021,Apr,46
2021,May,50
2021,Jun,61
2021,Jul,28
2021,Aug,74
2021,Sep,27
2021,Oct,27
2021,Nov,64
2021,Dec,25
2022,Jan,43
2022,Feb,76
2022,Mar,23
