Owner:,KING DONNIE D
Cname:,TYSON FOODS INC
Google Trends Search Term:,Donnie D King
Google Trends Suggestion:,CEO of Tyson Foods
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,100
2005,Feb,0
2005,Mar,90
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,76
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,68
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,52
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,40
2007,Aug,0
2007,Sep,0
2007,Oct,69
2007,Nov,0
2007,Dec,0
2008,Jan,31
2008,Feb,33
2008,Mar,0
2008,Apr,0
2008,May,32
2008,Jun,33
2008,Jul,32
2008,Aug,0
2008,Sep,0
2008,Oct,27
2008,Nov,0
2008,Dec,0
2009,Jan,27
2009,Feb,0
2009,Mar,26
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,25
2009,Oct,24
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,26
2010,Mar,24
2010,Apr,0
2010,May,26
2010,Jun,26
2010,Jul,22
2010,Aug,0
2010,Sep,21
2010,Oct,0
2010,Nov,20
2010,Dec,0
2011,Jan,16
2011,Feb,0
2011,Mar,0
2011,Apr,16
2011,May,0
2011,Jun,0
2011,Jul,0
2011,Aug,0
2011,Sep,0
2011,Oct,0
2011,Nov,0
2011,Dec,13
2012,Jan,0
2012,Feb,12
2012,Mar,12
2012,Apr,0
2012,May,0
2012,Jun,25
2012,Jul,0
2012,Aug,0
2012,Sep,0
2012,Oct,0
2012,Nov,0
2012,Dec,0
2013,Jan,0
2013,Feb,0
2013,Mar,0
2013,Apr,10
2013,May,10
2013,Jun,11
2013,Jul,0
2013,Aug,0
2013,Sep,0
2013,Oct,0
2013,Nov,0
2013,Dec,0
2014,Jan,19
2014,Feb,0
2014,Mar,0
2014,Apr,0
2014,May,10
2014,Jun,0
2014,Jul,0
2014,Aug,0
2014,Sep,0
2014,Oct,0
2014,Nov,0
2014,Dec,0
2015,Jan,10
2015,Feb,0
2015,Mar,21
2015,Apr,0
2015,May,0
2015,Jun,0
2015,Jul,0
2015,Aug,0
2015,Sep,10
2015,Oct,0
2015,Nov,10
2015,Dec,10
2016,Jan,0
2016,Feb,0
2016,Mar,15
2016,Apr,8
2016,May,0
2016,Jun,8
2016,Jul,0
2016,Aug,16
2016,Sep,0
2016,Oct,8
2016,Nov,30
2016,Dec,0
2017,Jan,27
2017,Feb,29
2017,Mar,0
2017,Apr,0
2017,May,14
2017,Jun,0
2017,Jul,0
2017,Aug,0
2017,Sep,14
2017,Oct,7
2017,Nov,7
2017,Dec,7
2018,Jan,0
2018,Feb,0
2018,Mar,13
2018,Apr,0
2018,May,13
2018,Jun,14
2018,Jul,7
2018,Aug,0
2018,Sep,0
2018,Oct,7
2018,Nov,7
2018,Dec,0
2019,Jan,26
2019,Feb,7
2019,Mar,0
2019,Apr,7
2019,May,0
2019,Jun,7
2019,Jul,0
2019,Aug,0
2019,Sep,0
2019,Oct,0
2019,Nov,0
2019,Dec,6
2020,Jan,0
2020,Feb,6
2020,Mar,5
2020,Apr,5
2020,May,0
2020,Jun,6
2020,Jul,12
2020,Aug,0
2020,Sep,34
2020,Oct,6
2020,Nov,0
2020,Dec,6
2021,Jan,12
2021,Feb,14
2021,Mar,12
2021,Apr,0
2021,May,6
2021,Jun,73
2021,Jul,13
2021,Aug,40
2021,Sep,28
2021,Oct,20
2021,Nov,42
2021,Dec,21
2022,Jan,0
2022,Feb,8
2022,Mar,0
