Owner:,KOWALSKI MICHAEL JOSEPH
Cname:,TIFFANY & CO
Google Trends Search Term:,Michael J Kowalski
Google Trends Suggestion:,Businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,74
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,51
2005,Mar,0
2005,Apr,100
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,29
2006,Apr,62
2006,May,29
2006,Jun,0
2006,Jul,0
2006,Aug,27
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,19
2007,Sep,0
2007,Oct,0
2007,Nov,17
2007,Dec,0
2008,Jan,0
2008,Feb,16
2008,Mar,0
2008,Apr,0
2008,May,31
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,14
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,14
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,24
2009,Nov,0
2009,Dec,0
2010,Jan,11
2010,Feb,0
2010,Mar,0
2010,Apr,0
2010,May,11
2010,Jun,0
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,18
2010,Nov,0
2010,Dec,0
2011,Jan,7
2011,Feb,0
2011,Mar,13
2011,Apr,14
2011,May,0
2011,Jun,7
2011,Jul,7
2011,Aug,0
2011,Sep,6
2011,Oct,0
2011,Nov,6
2011,Dec,6
2012,Jan,6
2012,Feb,6
2012,Mar,5
2012,Apr,11
2012,May,11
2012,Jun,17
2012,Jul,5
2012,Aug,5
2012,Sep,0
2012,Oct,15
2012,Nov,5
2012,Dec,0
2013,Jan,14
2013,Feb,5
2013,Mar,0
2013,Apr,5
2013,May,4
2013,Jun,5
2013,Jul,9
2013,Aug,13
2013,Sep,9
2013,Oct,0
2013,Nov,4
2013,Dec,13
2014,Jan,8
2014,Feb,0
2014,Mar,0
2014,Apr,8
2014,May,5
2014,Jun,5
2014,Jul,10
2014,Aug,5
2014,Sep,5
2014,Oct,18
2014,Nov,0
2014,Dec,9
2015,Jan,9
2015,Feb,0
2015,Mar,14
2015,Apr,5
2015,May,5
2015,Jun,0
2015,Jul,0
2015,Aug,0
2015,Sep,0
2015,Oct,0
2015,Nov,0
2015,Dec,0
2016,Jan,0
2016,Feb,4
2016,Mar,0
2016,Apr,7
2016,May,4
2016,Jun,4
2016,Jul,0
2016,Aug,0
2016,Sep,0
2016,Oct,11
2016,Nov,4
2016,Dec,0
2017,Jan,0
2017,Feb,10
2017,Mar,0
2017,Apr,3
2017,May,3
2017,Jun,0
2017,Jul,7
2017,Aug,3
2017,Sep,0
2017,Oct,0
2017,Nov,3
2017,Dec,7
2018,Jan,6
2018,Feb,3
2018,Mar,0
2018,Apr,3
2018,May,3
2018,Jun,0
2018,Jul,0
2018,Aug,0
2018,Sep,3
2018,Oct,3
2018,Nov,0
2018,Dec,0
2019,Jan,0
2019,Feb,3
2019,Mar,0
2019,Apr,7
2019,May,0
2019,Jun,3
2019,Jul,0
2019,Aug,0
2019,Sep,0
2019,Oct,0
2019,Nov,3
2019,Dec,0
2020,Jan,0
2020,Feb,0
2020,Mar,0
2020,Apr,0
2020,May,3
2020,Jun,0
2020,Jul,3
2020,Aug,0
2020,Sep,0
2020,Oct,0
2020,Nov,0
2020,Dec,0
2021,Jan,0
2021,Feb,7
2021,Mar,0
2021,Apr,0
2021,May,0
2021,Jun,3
2021,Jul,0
2021,Aug,0
2021,Sep,0
2021,Oct,0
2021,Nov,3
2021,Dec,0
2022,Jan,0
2022,Feb,0
2022,Mar,0
