Owner:,LIGGINS ALFRED C III
Cname:,RADIO ONE INC
Google Trends Search Term:,Alfred C Liggins III
Google Trends Suggestion:,Chief Executive Officer of Radio One
Category:,Reliable

Year,Month,SVI Data
2004,Jan,61
2004,Feb,0
2004,Mar,76
2004,Apr,58
2004,May,0
2004,Jun,54
2004,Jul,0
2004,Aug,100
2004,Sep,48
2004,Oct,0
2004,Nov,50
2004,Dec,0
2005,Jan,39
2005,Feb,82
2005,Mar,35
2005,Apr,81
2005,May,72
2005,Jun,0
2005,Jul,36
2005,Aug,0
2005,Sep,63
2005,Oct,59
2005,Nov,31
2005,Dec,0
2006,Jan,52
2006,Feb,0
2006,Mar,24
2006,Apr,0
2006,May,23
2006,Jun,0
2006,Jul,24
2006,Aug,22
2006,Sep,22
2006,Oct,20
2006,Nov,20
2006,Dec,20
2007,Jan,53
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,47
2007,Jun,0
2007,Jul,0
2007,Aug,30
2007,Sep,30
2007,Oct,41
2007,Nov,41
2007,Dec,42
2008,Jan,25
2008,Feb,0
2008,Mar,0
2008,Apr,12
2008,May,12
2008,Jun,26
2008,Jul,13
2008,Aug,12
2008,Sep,11
2008,Oct,11
2008,Nov,12
2008,Dec,11
2009,Jan,11
2009,Feb,11
2009,Mar,21
2009,Apr,10
2009,May,21
2009,Jun,0
2009,Jul,11
2009,Aug,0
2009,Sep,10
2009,Oct,9
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,17
2010,Apr,9
2010,May,0
2010,Jun,9
2010,Jul,0
2010,Aug,0
2010,Sep,0
2010,Oct,0
2010,Nov,14
2010,Dec,7
2011,Jan,11
2011,Feb,0
2011,Mar,5
2011,Apr,22
2011,May,5
2011,Jun,6
2011,Jul,11
2011,Aug,10
2011,Sep,15
2011,Oct,10
2011,Nov,15
2011,Dec,9
2012,Jan,4
2012,Feb,13
2012,Mar,9
2012,Apr,9
2012,May,9
2012,Jun,4
2012,Jul,0
2012,Aug,4
2012,Sep,0
2012,Oct,12
2012,Nov,4
2012,Dec,0
2013,Jan,7
2013,Feb,20
2013,Mar,7
2013,Apr,7
2013,May,18
2013,Jun,4
2013,Jul,11
2013,Aug,7
2013,Sep,4
2013,Oct,3
2013,Nov,7
2013,Dec,0
2014,Jan,3
2014,Feb,15
2014,Mar,10
2014,Apr,3
2014,May,11
2014,Jun,8
2014,Jul,4
2014,Aug,12
2014,Sep,8
2014,Oct,14
2014,Nov,8
2014,Dec,19
2015,Jan,0
2015,Feb,4
2015,Mar,4
2015,Apr,26
2015,May,8
2015,Jun,12
2015,Jul,16
2015,Aug,8
2015,Sep,7
2015,Oct,7
2015,Nov,4
2015,Dec,7
2016,Jan,18
2016,Feb,15
2016,Mar,3
2016,Apr,9
2016,May,18
2016,Jun,6
2016,Jul,9
2016,Aug,6
2016,Sep,18
2016,Oct,17
2016,Nov,20
2016,Dec,8
2017,Jan,5
2017,Feb,14
2017,Mar,10
2017,Apr,11
2017,May,6
2017,Jun,6
2017,Jul,9
2017,Aug,11
2017,Sep,8
2017,Oct,3
2017,Nov,3
2017,Dec,19
2018,Jan,3
2018,Feb,3
2018,Mar,8
2018,Apr,0
2018,May,13
2018,Jun,5
2018,Jul,8
2018,Aug,3
2018,Sep,8
2018,Oct,5
2018,Nov,5
2018,Dec,5
2019,Jan,8
2019,Feb,8
2019,Mar,3
2019,Apr,0
2019,May,3
2019,Jun,8
2019,Jul,5
2019,Aug,13
2019,Sep,5
2019,Oct,0
2019,Nov,5
2019,Dec,7
2020,Jan,45
2020,Feb,7
2020,Mar,2
2020,Apr,6
2020,May,2
2020,Jun,46
2020,Jul,13
2020,Aug,11
2020,Sep,11
2020,Oct,2
2020,Nov,0
2020,Dec,7
2021,Jan,14
2021,Feb,8
2021,Mar,2
2021,Apr,5
2021,May,18
2021,Jun,8
2021,Jul,5
2021,Aug,10
2021,Sep,5
2021,Oct,13
2021,Nov,5
2021,Dec,3
2022,Jan,3
2022,Feb,3
2022,Mar,5
