Owner:,LINEBARGER NORMAN THOMAS
Cname:,CUMMINS INC
Google Trends Search Term:,Tom Linebarger
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,82
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,65
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,100
2007,Jun,0
2007,Jul,50
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,45
2008,Jan,0
2008,Feb,0
2008,Mar,79
2008,Apr,39
2008,May,0
2008,Jun,0
2008,Jul,80
2008,Aug,39
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,36
2009,Jan,69
2009,Feb,0
2009,Mar,33
2009,Apr,33
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,65
2009,Sep,32
2009,Oct,0
2009,Nov,62
2009,Dec,0
2010,Jan,29
2010,Feb,31
2010,Mar,0
2010,Apr,0
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,26
2010,Sep,0
2010,Oct,49
2010,Nov,0
2010,Dec,0
2011,Jan,0
2011,Feb,0
2011,Mar,18
2011,Apr,19
2011,May,0
2011,Jun,38
2011,Jul,93
2011,Aug,17
2011,Sep,52
2011,Oct,81
2011,Nov,17
2011,Dec,0
2012,Jan,30
2012,Feb,0
2012,Mar,29
2012,Apr,46
2012,May,43
2012,Jun,30
2012,Jul,14
2012,Aug,42
2012,Sep,43
2012,Oct,53
2012,Nov,0
2012,Dec,0
2013,Jan,49
2013,Feb,26
2013,Mar,36
2013,Apr,12
2013,May,37
2013,Jun,13
2013,Jul,25
2013,Aug,24
2013,Sep,0
2013,Oct,58
2013,Nov,0
2013,Dec,59
2014,Jan,23
2014,Feb,0
2014,Mar,11
2014,Apr,12
2014,May,12
2014,Jun,41
2014,Jul,0
2014,Aug,39
2014,Sep,63
2014,Oct,12
2014,Nov,13
2014,Dec,0
2015,Jan,0
2015,Feb,52
2015,Mar,0
2015,Apr,13
2015,May,52
2015,Jun,95
2015,Jul,40
2015,Aug,26
2015,Sep,25
2015,Oct,36
2015,Nov,12
2015,Dec,0
2016,Jan,50
2016,Feb,0
2016,Mar,19
2016,Apr,39
2016,May,20
2016,Jun,10
2016,Jul,31
2016,Aug,21
2016,Sep,0
2016,Oct,29
2016,Nov,0
2016,Dec,19
2017,Jan,26
2017,Feb,28
2017,Mar,8
2017,Apr,9
2017,May,55
2017,Jun,49
2017,Jul,19
2017,Aug,18
2017,Sep,45
2017,Oct,0
2017,Nov,18
2017,Dec,18
2018,Jan,26
2018,Feb,28
2018,Mar,17
2018,Apr,18
2018,May,43
2018,Jun,73
2018,Jul,45
2018,Aug,53
2018,Sep,45
2018,Oct,17
2018,Nov,0
2018,Dec,35
2019,Jan,25
2019,Feb,54
2019,Mar,8
2019,Apr,9
2019,May,35
2019,Jun,18
2019,Jul,27
2019,Aug,25
2019,Sep,8
2019,Oct,16
2019,Nov,16
2019,Dec,32
2020,Jan,23
2020,Feb,24
2020,Mar,14
2020,Apr,96
2020,May,14
2020,Jun,29
2020,Jul,22
2020,Aug,7
2020,Sep,36
2020,Oct,8
2020,Nov,32
2020,Dec,8
2021,Jan,0
2021,Feb,18
2021,Mar,24
2021,Apr,25
2021,May,8
2021,Jun,17
2021,Jul,17
2021,Aug,9
2021,Sep,0
2021,Oct,9
2021,Nov,0
2021,Dec,0
2022,Jan,35
2022,Feb,70
2022,Mar,18
