Owner:,MARRAZZO JEFFREY D
Cname:,SPARK THERAPEUTICS INC
Google Trends Search Term:,Jeffrey D Marrazzo
Google Trends Suggestion:,CEO of Spark Therapeutics
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,100
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,82
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,50
2008,Feb,0
2008,Mar,0
2008,Apr,49
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,0
2008,Oct,0
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,0
2009,Mar,0
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,0
2010,Feb,0
2010,Mar,34
2010,Apr,0
2010,May,0
2010,Jun,0
2010,Jul,0
2010,Aug,62
2010,Sep,0
2010,Oct,0
2010,Nov,0
2010,Dec,0
2011,Jan,22
2011,Feb,0
2011,Mar,0
2011,Apr,0
2011,May,0
2011,Jun,0
2011,Jul,0
2011,Aug,0
2011,Sep,0
2011,Oct,0
2011,Nov,0
2011,Dec,0
2012,Jan,18
2012,Feb,0
2012,Mar,0
2012,Apr,0
2012,May,17
2012,Jun,18
2012,Jul,0
2012,Aug,0
2012,Sep,0
2012,Oct,0
2012,Nov,16
2012,Dec,0
2013,Jan,0
2013,Feb,0
2013,Mar,14
2013,Apr,0
2013,May,0
2013,Jun,0
2013,Jul,0
2013,Aug,0
2013,Sep,0
2013,Oct,0
2013,Nov,0
2013,Dec,0
2014,Jan,0
2014,Feb,0
2014,Mar,0
2014,Apr,0
2014,May,0
2014,Jun,50
2014,Jul,0
2014,Aug,0
2014,Sep,0
2014,Oct,0
2014,Nov,0
2014,Dec,0
2015,Jan,29
2015,Feb,16
2015,Mar,74
2015,Apr,15
2015,May,16
2015,Jun,16
2015,Jul,16
2015,Aug,15
2015,Sep,0
2015,Oct,14
2015,Nov,0
2015,Dec,0
2016,Jan,12
2016,Feb,12
2016,Mar,0
2016,Apr,0
2016,May,12
2016,Jun,13
2016,Jul,13
2016,Aug,0
2016,Sep,24
2016,Oct,12
2016,Nov,0
2016,Dec,0
2017,Jan,11
2017,Feb,0
2017,Mar,0
2017,Apr,0
2017,May,0
2017,Jun,0
2017,Jul,12
2017,Aug,0
2017,Sep,11
2017,Oct,0
2017,Nov,11
2017,Dec,22
2018,Jan,31
2018,Feb,11
2018,Mar,21
2018,Apr,21
2018,May,0
2018,Jun,11
2018,Jul,11
2018,Aug,0
2018,Sep,0
2018,Oct,0
2018,Nov,21
2018,Dec,11
2019,Jan,21
2019,Feb,88
2019,Mar,0
2019,Apr,11
2019,May,32
2019,Jun,44
2019,Jul,0
2019,Aug,10
2019,Sep,10
2019,Oct,38
2019,Nov,10
2019,Dec,49
2020,Jan,18
2020,Feb,19
2020,Mar,0
2020,Apr,0
2020,May,0
2020,Jun,18
2020,Jul,18
2020,Aug,18
2020,Sep,9
2020,Oct,0
2020,Nov,10
2020,Dec,0
2021,Jan,0
2021,Feb,0
2021,Mar,0
2021,Apr,0
2021,May,10
2021,Jun,21
2021,Jul,10
2021,Aug,31
2021,Sep,11
2021,Oct,11
2021,Nov,11
2021,Dec,11
2022,Jan,11
2022,Feb,49
2022,Mar,21
