Owner:,POLK MICHAEL B
Cname:,NEWELL RUBBERMAID INC
Google Trends Search Term:,Michael B Polk
Google Trends Suggestion:,Businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,100
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,75
2005,Jan,0
2005,Feb,69
2005,Mar,59
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,42
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,53
2007,Aug,0
2007,Sep,25
2007,Oct,23
2007,Nov,23
2007,Dec,24
2008,Jan,0
2008,Feb,0
2008,Mar,42
2008,Apr,21
2008,May,63
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,19
2008,Oct,18
2008,Nov,0
2008,Dec,0
2009,Jan,0
2009,Feb,19
2009,Mar,52
2009,Apr,0
2009,May,18
2009,Jun,0
2009,Jul,0
2009,Aug,17
2009,Sep,17
2009,Oct,0
2009,Nov,0
2009,Dec,0
2010,Jan,31
2010,Feb,0
2010,Mar,0
2010,Apr,15
2010,May,0
2010,Jun,31
2010,Jul,27
2010,Aug,26
2010,Sep,0
2010,Oct,12
2010,Nov,12
2010,Dec,0
2011,Jan,19
2011,Feb,0
2011,Mar,9
2011,Apr,0
2011,May,0
2011,Jun,19
2011,Jul,46
2011,Aug,43
2011,Sep,17
2011,Oct,16
2011,Nov,8
2011,Dec,39
2012,Jan,22
2012,Feb,23
2012,Mar,43
2012,Apr,53
2012,May,43
2012,Jun,15
2012,Jul,7
2012,Aug,28
2012,Sep,21
2012,Oct,0
2012,Nov,7
2012,Dec,20
2013,Jan,12
2013,Feb,20
2013,Mar,18
2013,Apr,6
2013,May,12
2013,Jun,19
2013,Jul,19
2013,Aug,12
2013,Sep,30
2013,Oct,29
2013,Nov,18
2013,Dec,18
2014,Jan,28
2014,Feb,37
2014,Mar,6
2014,Apr,11
2014,May,31
2014,Jun,20
2014,Jul,20
2014,Aug,33
2014,Sep,38
2014,Oct,36
2014,Nov,64
2014,Dec,19
2015,Jan,18
2015,Feb,26
2015,Mar,12
2015,Apr,32
2015,May,6
2015,Jun,0
2015,Jul,7
2015,Aug,0
2015,Sep,12
2015,Oct,12
2015,Nov,18
2015,Dec,42
2016,Jan,30
2016,Feb,36
2016,Mar,5
2016,Apr,26
2016,May,36
2016,Jun,32
2016,Jul,22
2016,Aug,38
2016,Sep,37
2016,Oct,41
2016,Nov,30
2016,Dec,15
2017,Jan,32
2017,Feb,20
2017,Mar,18
2017,Apr,9
2017,May,14
2017,Jun,31
2017,Jul,15
2017,Aug,67
2017,Sep,24
2017,Oct,5
2017,Nov,19
2017,Dec,5
2018,Jan,0
2018,Feb,39
2018,Mar,40
2018,Apr,14
2018,May,27
2018,Jun,19
2018,Jul,14
2018,Aug,23
2018,Sep,28
2018,Oct,36
2018,Nov,5
2018,Dec,9
2019,Jan,9
2019,Feb,24
2019,Mar,53
2019,Apr,18
2019,May,23
2019,Jun,28
2019,Jul,28
2019,Aug,9
2019,Sep,13
2019,Oct,4
2019,Nov,9
2019,Dec,13
2020,Jan,0
2020,Feb,13
2020,Mar,11
2020,Apr,14
2020,May,7
2020,Jun,15
2020,Jul,12
2020,Aug,19
2020,Sep,4
2020,Oct,4
2020,Nov,13
2020,Dec,9
2021,Jan,4
2021,Feb,5
2021,Mar,17
2021,Apr,4
2021,May,9
2021,Jun,14
2021,Jul,9
2021,Aug,9
2021,Sep,0
2021,Oct,32
2021,Nov,5
2021,Dec,14
2022,Jan,0
2022,Feb,16
2022,Mar,9
