Owner:,SCHNEIDER HILARY A
Cname:,LIFELOCK INC
Google Trends Search Term:,Hilary A Schneider
Google Trends Suggestion:,CEO of Shutterfly
Category:,Reliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,83
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,53
2005,Apr,60
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,45
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,100
2006,Oct,30
2006,Nov,90
2006,Dec,0
2007,Jan,0
2007,Feb,56
2007,Mar,0
2007,Apr,51
2007,May,47
2007,Jun,50
2007,Jul,24
2007,Aug,23
2007,Sep,23
2007,Oct,20
2007,Nov,20
2007,Dec,42
2008,Jan,19
2008,Feb,0
2008,Mar,0
2008,Apr,37
2008,May,19
2008,Jun,59
2008,Jul,0
2008,Aug,0
2008,Sep,17
2008,Oct,0
2008,Nov,18
2008,Dec,17
2009,Jan,0
2009,Feb,68
2009,Mar,15
2009,Apr,16
2009,May,32
2009,Jun,16
2009,Jul,32
2009,Aug,31
2009,Sep,0
2009,Oct,0
2009,Nov,15
2009,Dec,0
2010,Jan,0
2010,Feb,14
2010,Mar,39
2010,Apr,14
2010,May,14
2010,Jun,14
2010,Jul,12
2010,Aug,12
2010,Sep,57
2010,Oct,57
2010,Nov,33
2010,Dec,11
2011,Jan,0
2011,Feb,19
2011,Mar,8
2011,Apr,9
2011,May,17
2011,Jun,0
2011,Jul,9
2011,Aug,24
2011,Sep,24
2011,Oct,7
2011,Nov,8
2011,Dec,15
2012,Jan,0
2012,Feb,0
2012,Mar,27
2012,Apr,0
2012,May,7
2012,Jun,7
2012,Jul,0
2012,Aug,0
2012,Sep,13
2012,Oct,18
2012,Nov,13
2012,Dec,6
2013,Jan,0
2013,Feb,6
2013,Mar,0
2013,Apr,23
2013,May,0
2013,Jun,6
2013,Jul,6
2013,Aug,0
2013,Sep,22
2013,Oct,5
2013,Nov,0
2013,Dec,11
2014,Jan,0
2014,Feb,6
2014,Mar,0
2014,Apr,0
2014,May,11
2014,Jun,6
2014,Jul,0
2014,Aug,0
2014,Sep,6
2014,Oct,17
2014,Nov,6
2014,Dec,0
2015,Jan,6
2015,Feb,0
2015,Mar,6
2015,Apr,12
2015,May,12
2015,Jun,6
2015,Jul,6
2015,Aug,24
2015,Sep,6
2015,Oct,5
2015,Nov,0
2015,Dec,11
2016,Jan,5
2016,Feb,5
2016,Mar,4
2016,Apr,13
2016,May,5
2016,Jun,19
2016,Jul,9
2016,Aug,9
2016,Sep,0
2016,Oct,9
2016,Nov,4
2016,Dec,13
2017,Jan,0
2017,Feb,13
2017,Mar,4
2017,Apr,4
2017,May,4
2017,Jun,0
2017,Jul,0
2017,Aug,0
2017,Sep,8
2017,Oct,8
2017,Nov,4
2017,Dec,0
2018,Jan,27
2018,Feb,0
2018,Mar,0
2018,Apr,12
2018,May,8
2018,Jun,0
2018,Jul,8
2018,Aug,4
2018,Sep,8
2018,Oct,8
2018,Nov,4
2018,Dec,8
2019,Jan,4
2019,Feb,0
2019,Mar,4
2019,Apr,28
2019,May,0
2019,Jun,12
2019,Jul,4
2019,Aug,0
2019,Sep,19
2019,Oct,25
2019,Nov,18
2019,Dec,18
2020,Jan,7
2020,Feb,7
2020,Mar,0
2020,Apr,9
2020,May,3
2020,Jun,7
2020,Jul,7
2020,Aug,10
2020,Sep,20
2020,Oct,4
2020,Nov,7
2020,Dec,15
2021,Jan,4
2021,Feb,4
2021,Mar,4
2021,Apr,4
2021,May,11
2021,Jun,0
2021,Jul,4
2021,Aug,0
2021,Sep,4
2021,Oct,4
2021,Nov,16
2021,Dec,8
2022,Jan,0
2022,Feb,5
2022,Mar,0
