Owner:,SINEGAL JAMES D
Cname:,COSTCO WHOLESALE CORP NEW
Google Trends Search Term:,James Sinegal
Google Trends Suggestion:,American businessman
Category:,Reliable

Year,Month,SVI Data
2004,Jan,11
2004,Feb,22
2004,Mar,0
2004,Apr,11
2004,May,19
2004,Jun,30
2004,Jul,30
2004,Aug,36
2004,Sep,35
2004,Oct,0
2004,Nov,0
2004,Dec,16
2005,Jan,14
2005,Feb,8
2005,Mar,19
2005,Apr,22
2005,May,7
2005,Jun,0
2005,Jul,40
2005,Aug,0
2005,Sep,23
2005,Oct,5
2005,Nov,6
2005,Dec,63
2006,Jan,19
2006,Feb,29
2006,Mar,13
2006,Apr,5
2006,May,21
2006,Jun,9
2006,Jul,13
2006,Aug,28
2006,Sep,4
2006,Oct,26
2006,Nov,18
2006,Dec,11
2007,Jan,16
2007,Feb,27
2007,Mar,25
2007,Apr,16
2007,May,6
2007,Jun,31
2007,Jul,11
2007,Aug,5
2007,Sep,11
2007,Oct,22
2007,Nov,17
2007,Dec,15
2008,Jan,20
2008,Feb,14
2008,Mar,14
2008,Apr,33
2008,May,20
2008,Jun,12
2008,Jul,16
2008,Aug,27
2008,Sep,8
2008,Oct,23
2008,Nov,19
2008,Dec,8
2009,Jan,10
2009,Feb,17
2009,Mar,6
2009,Apr,21
2009,May,15
2009,Jun,8
2009,Jul,4
2009,Aug,15
2009,Sep,24
2009,Oct,16
2009,Nov,16
2009,Dec,16
2010,Jan,10
2010,Feb,19
2010,Mar,12
2010,Apr,19
2010,May,10
2010,Jun,9
2010,Jul,9
2010,Aug,9
2010,Sep,12
2010,Oct,7
2010,Nov,17
2010,Dec,16
2011,Jan,12
2011,Feb,12
2011,Mar,14
2011,Apr,10
2011,May,18
2011,Jun,13
2011,Jul,14
2011,Aug,16
2011,Sep,41
2011,Oct,9
2011,Nov,18
2011,Dec,20
2012,Jan,14
2012,Feb,16
2012,Mar,13
2012,Apr,25
2012,May,27
2012,Jun,18
2012,Jul,29
2012,Aug,35
2012,Sep,100
2012,Oct,15
2012,Nov,44
2012,Dec,28
2013,Jan,16
2013,Feb,17
2013,Mar,10
2013,Apr,13
2013,May,9
2013,Jun,11
2013,Jul,17
2013,Aug,15
2013,Sep,9
2013,Oct,12
2013,Nov,16
2013,Dec,14
2014,Jan,12
2014,Feb,8
2014,Mar,9
2014,Apr,7
2014,May,11
2014,Jun,18
2014,Jul,36
2014,Aug,4
2014,Sep,10
2014,Oct,13
2014,Nov,14
2014,Dec,8
2015,Jan,13
2015,Feb,11
2015,Mar,9
2015,Apr,7
2015,May,6
2015,Jun,10
2015,Jul,8
2015,Aug,11
2015,Sep,14
2015,Oct,6
2015,Nov,6
2015,Dec,11
2016,Jan,8
2016,Feb,6
2016,Mar,7
2016,Apr,9
2016,May,11
2016,Jun,6
2016,Jul,10
2016,Aug,5
2016,Sep,9
2016,Oct,9
2016,Nov,6
2016,Dec,6
2017,Jan,12
2017,Feb,7
2017,Mar,8
2017,Apr,8
2017,May,14
2017,Jun,14
2017,Jul,11
2017,Aug,20
2017,Sep,8
2017,Oct,11
2017,Nov,10
2017,Dec,11
2018,Jan,9
2018,Feb,9
2018,Mar,8
2018,Apr,5
2018,May,9
2018,Jun,9
2018,Jul,8
2018,Aug,5
2018,Sep,7
2018,Oct,8
2018,Nov,7
2018,Dec,6
2019,Jan,5
2019,Feb,7
2019,Mar,10
2019,Apr,8
2019,May,9
2019,Jun,9
2019,Jul,5
2019,Aug,6
2019,Sep,11
2019,Oct,7
2019,Nov,9
2019,Dec,6
2020,Jan,8
2020,Feb,7
2020,Mar,14
2020,Apr,6
2020,May,5
2020,Jun,6
2020,Jul,5
2020,Aug,8
2020,Sep,25
2020,Oct,10
2020,Nov,7
2020,Dec,13
2021,Jan,6
2021,Feb,11
2021,Mar,16
2021,Apr,6
2021,May,9
2021,Jun,7
2021,Jul,7
2021,Aug,10
2021,Sep,8
2021,Oct,9
2021,Nov,5
2021,Dec,5
2022,Jan,5
2022,Feb,13
2022,Mar,16
