Owner:,ADAMS JULIAN
Cname:,GAMIDA CELL LTD
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,83
2004,Mar,0
2004,Apr,81
2004,May,0
2004,Jun,38
2004,Jul,39
2004,Aug,0
2004,Sep,100
2004,Oct,68
2004,Nov,35
2004,Dec,94
2005,Jan,55
2005,Feb,29
2005,Mar,98
2005,Apr,56
2005,May,25
2005,Jun,0
2005,Jul,76
2005,Aug,48
2005,Sep,44
2005,Oct,21
2005,Nov,64
2005,Dec,40
2006,Jan,18
2006,Feb,0
2006,Mar,50
2006,Apr,17
2006,May,0
2006,Jun,17
2006,Jul,17
2006,Aug,31
2006,Sep,31
2006,Oct,71
2006,Nov,70
2006,Dec,28
2007,Jan,37
2007,Feb,26
2007,Mar,36
2007,Apr,0
2007,May,33
2007,Jun,12
2007,Jul,66
2007,Aug,63
2007,Sep,32
2007,Oct,47
2007,Nov,19
2007,Dec,0
2008,Jan,26
2008,Feb,27
2008,Mar,26
2008,Apr,34
2008,May,26
2008,Jun,64
2008,Jul,52
2008,Aug,35
2008,Sep,40
2008,Oct,37
2008,Nov,8
2008,Dec,24
2009,Jan,8
2009,Feb,63
2009,Mar,29
2009,Apr,43
2009,May,29
2009,Jun,37
2009,Jul,51
2009,Aug,29
2009,Sep,49
2009,Oct,26
2009,Nov,14
2009,Dec,13
2010,Jan,19
2010,Feb,59
2010,Mar,18
2010,Apr,12
2010,May,13
2010,Jun,7
2010,Jul,17
2010,Aug,22
2010,Sep,10
2010,Oct,16
2010,Nov,20
2010,Dec,35
2011,Jan,35
2011,Feb,21
2011,Mar,34
2011,Apr,40
2011,May,39
2011,Jun,36
2011,Jul,20
2011,Aug,15
2011,Sep,25
2011,Oct,24
2011,Nov,35
2011,Dec,17
2012,Jan,35
2012,Feb,25
2012,Mar,18
2012,Apr,35
2012,May,6
2012,Jun,32
2012,Jul,21
2012,Aug,32
2012,Sep,33
2012,Oct,33
2012,Nov,26
2012,Dec,30
2013,Jan,21
2013,Feb,28
2013,Mar,28
2013,Apr,15
2013,May,20
2013,Jun,37
2013,Jul,23
2013,Aug,10
2013,Sep,18
2013,Oct,22
2013,Nov,33
2013,Dec,17
2014,Jan,24
2014,Feb,23
2014,Mar,14
2014,Apr,12
2014,May,23
2014,Jun,23
2014,Jul,11
2014,Aug,30
2014,Sep,35
2014,Oct,25
2014,Nov,19
2014,Dec,16
2015,Jan,33
2015,Feb,65
2015,Mar,13
2015,Apr,27
2015,May,22
2015,Jun,31
2015,Jul,31
2015,Aug,49
2015,Sep,58
2015,Oct,43
2015,Nov,34
2015,Dec,38
2016,Jan,17
2016,Feb,17
2016,Mar,33
2016,Apr,19
2016,May,42
2016,Jun,35
2016,Jul,24
2016,Aug,16
2016,Sep,15
2016,Oct,44
2016,Nov,41
2016,Dec,32
2017,Jan,43
2017,Feb,40
2017,Mar,31
2017,Apr,29
2017,May,30
2017,Jun,23
2017,Jul,21
2017,Aug,82
2017,Sep,46
2017,Oct,41
2017,Nov,28
2017,Dec,40
2018,Jan,42
2018,Feb,32
2018,Mar,29
2018,Apr,24
2018,May,37
2018,Jun,43
2018,Jul,31
2018,Aug,13
2018,Sep,27
2018,Oct,30
2018,Nov,51
2018,Dec,36
2019,Jan,36
2019,Feb,50
2019,Mar,29
2019,Apr,49
2019,May,30
2019,Jun,19
2019,Jul,36
2019,Aug,36
2019,Sep,41
2019,Oct,38
2019,Nov,19
2019,Dec,12
2020,Jan,32
2020,Feb,27
2020,Mar,27
2020,Apr,26
2020,May,21
2020,Jun,28
2020,Jul,19
2020,Aug,27
2020,Sep,37
2020,Oct,32
2020,Nov,30
2020,Dec,33
2021,Jan,25
2021,Feb,23
2021,Mar,25
2021,Apr,38
2021,May,20
2021,Jun,11
2021,Jul,20
2021,Aug,27
2021,Sep,21
2021,Oct,28
2021,Nov,21
2021,Dec,23
2022,Jan,23
2022,Feb,30
2022,Mar,13
