Owner:,ALLEN ROBERT B
Cname:,BRINK S HOME SECURITY HOLDINGS
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,75
2004,Sep,0
2004,Oct,74
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,44
2006,Jan,39
2006,Feb,0
2006,Mar,0
2006,Apr,75
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,100
2006,Sep,34
2006,Oct,31
2006,Nov,0
2006,Dec,61
2007,Jan,27
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,25
2007,Jul,24
2007,Aug,23
2007,Sep,23
2007,Oct,0
2007,Nov,0
2007,Dec,21
2008,Jan,0
2008,Feb,19
2008,Mar,0
2008,Apr,0
2008,May,0
2008,Jun,0
2008,Jul,0
2008,Aug,0
2008,Sep,17
2008,Oct,0
2008,Nov,35
2008,Dec,17
2009,Jan,16
2009,Feb,17
2009,Mar,0
2009,Apr,16
2009,May,0
2009,Jun,16
2009,Jul,16
2009,Aug,31
2009,Sep,0
2009,Oct,0
2009,Nov,15
2009,Dec,0
2010,Jan,14
2010,Feb,28
2010,Mar,0
2010,Apr,13
2010,May,27
2010,Jun,0
2010,Jul,0
2010,Aug,11
2010,Sep,11
2010,Oct,0
2010,Nov,21
2010,Dec,11
2011,Jan,25
2011,Feb,27
2011,Mar,8
2011,Apr,17
2011,May,8
2011,Jun,0
2011,Jul,8
2011,Aug,31
2011,Sep,15
2011,Oct,29
2011,Nov,44
2011,Dec,28
2012,Jan,40
2012,Feb,13
2012,Mar,19
2012,Apr,13
2012,May,19
2012,Jun,7
2012,Jul,13
2012,Aug,12
2012,Sep,6
2012,Oct,6
2012,Nov,6
2012,Dec,17
2013,Jan,11
2013,Feb,12
2013,Mar,32
2013,Apr,5
2013,May,22
2013,Jun,6
2013,Jul,33
2013,Aug,11
2013,Sep,11
2013,Oct,5
2013,Nov,11
2013,Dec,10
2014,Jan,5
2014,Feb,33
2014,Mar,15
2014,Apr,5
2014,May,11
2014,Jun,24
2014,Jul,12
2014,Aug,12
2014,Sep,0
2014,Oct,5
2014,Nov,17
2014,Dec,6
2015,Jan,16
2015,Feb,11
2015,Mar,11
2015,Apr,0
2015,May,0
2015,Jun,12
2015,Jul,6
2015,Aug,11
2015,Sep,11
2015,Oct,0
2015,Nov,5
2015,Dec,5
2016,Jan,4
2016,Feb,23
2016,Mar,9
2016,Apr,26
2016,May,4
2016,Jun,5
2016,Jul,23
2016,Aug,19
2016,Sep,9
2016,Oct,4
2016,Nov,0
2016,Dec,8
2017,Jan,4
2017,Feb,8
2017,Mar,15
2017,Apr,12
2017,May,4
2017,Jun,9
2017,Jul,22
2017,Aug,12
2017,Sep,8
2017,Oct,16
2017,Nov,8
2017,Dec,4
2018,Jan,19
2018,Feb,8
2018,Mar,11
2018,Apr,8
2018,May,8
2018,Jun,4
2018,Jul,12
2018,Aug,16
2018,Sep,12
2018,Oct,4
2018,Nov,12
2018,Dec,16
2019,Jan,23
2019,Feb,8
2019,Mar,4
2019,Apr,8
2019,May,4
2019,Jun,20
2019,Jul,8
2019,Aug,11
2019,Sep,7
2019,Oct,10
2019,Nov,4
2019,Dec,11
2020,Jan,14
2020,Feb,14
2020,Mar,12
2020,Apr,0
2020,May,6
2020,Jun,23
2020,Jul,3
2020,Aug,3
2020,Sep,13
2020,Oct,22
2020,Nov,18
2020,Dec,7
2021,Jan,4
2021,Feb,16
2021,Mar,14
2021,Apr,11
2021,May,7
2021,Jun,8
2021,Jul,11
2021,Aug,4
2021,Sep,4
2021,Oct,16
2021,Nov,4
2021,Dec,12
2022,Jan,4
2022,Feb,9
2022,Mar,8
