Owner:,BAKER ELI
Cname:,SCREAMING EAGLE ACQUISITION CO
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,0
2004,Feb,53
2004,Mar,0
2004,Apr,0
2004,May,47
2004,Jun,0
2004,Jul,100
2004,Aug,45
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,33
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,27
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,21
2006,Apr,22
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,20
2006,Sep,20
2006,Oct,0
2006,Nov,0
2006,Dec,36
2007,Jan,16
2007,Feb,34
2007,Mar,31
2007,Apr,15
2007,May,43
2007,Jun,0
2007,Jul,28
2007,Aug,27
2007,Sep,14
2007,Oct,24
2007,Nov,24
2007,Dec,38
2008,Jan,45
2008,Feb,12
2008,Mar,45
2008,Apr,55
2008,May,22
2008,Jun,0
2008,Jul,0
2008,Aug,45
2008,Sep,21
2008,Oct,29
2008,Nov,32
2008,Dec,41
2009,Jan,39
2009,Feb,31
2009,Mar,18
2009,Apr,47
2009,May,29
2009,Jun,29
2009,Jul,28
2009,Aug,28
2009,Sep,63
2009,Oct,34
2009,Nov,26
2009,Dec,26
2010,Jan,41
2010,Feb,25
2010,Mar,22
2010,Apr,23
2010,May,8
2010,Jun,16
2010,Jul,14
2010,Aug,27
2010,Sep,46
2010,Oct,32
2010,Nov,32
2010,Dec,38
2011,Jan,34
2011,Feb,48
2011,Mar,24
2011,Apr,20
2011,May,29
2011,Jun,15
2011,Jul,20
2011,Aug,18
2011,Sep,32
2011,Oct,30
2011,Nov,35
2011,Dec,54
2012,Jan,32
2012,Feb,28
2012,Mar,38
2012,Apr,40
2012,May,19
2012,Jun,8
2012,Jul,38
2012,Aug,22
2012,Sep,37
2012,Oct,21
2012,Nov,65
2012,Dec,41
2013,Jan,16
2013,Feb,24
2013,Mar,22
2013,Apr,19
2013,May,19
2013,Jun,23
2013,Jul,26
2013,Aug,32
2013,Sep,44
2013,Oct,37
2013,Nov,54
2013,Dec,31
2014,Jan,36
2014,Feb,71
2014,Mar,94
2014,Apr,94
2014,May,36
2014,Jun,94
2014,Jul,14
2014,Aug,24
2014,Sep,30
2014,Oct,35
2014,Nov,17
2014,Dec,40
2015,Jan,26
2015,Feb,31
2015,Mar,26
2015,Apr,17
2015,May,14
2015,Jun,11
2015,Jul,10
2015,Aug,37
2015,Sep,30
2015,Oct,16
2015,Nov,46
2015,Dec,32
2016,Jan,31
2016,Feb,41
2016,Mar,28
2016,Apr,29
2016,May,24
2016,Jun,25
2016,Jul,17
2016,Aug,28
2016,Sep,29
2016,Oct,34
2016,Nov,31
2016,Dec,39
2017,Jan,23
2017,Feb,17
2017,Mar,16
2017,Apr,21
2017,May,17
2017,Jun,16
2017,Jul,28
2017,Aug,10
2017,Sep,24
2017,Oct,23
2017,Nov,38
2017,Dec,71
2018,Jan,52
2018,Feb,32
2018,Mar,25
2018,Apr,59
2018,May,11
2018,Jun,10
2018,Jul,19
2018,Aug,47
2018,Sep,60
2018,Oct,74
2018,Nov,68
2018,Dec,85
2019,Jan,34
2019,Feb,17
2019,Mar,66
2019,Apr,14
2019,May,30
2019,Jun,41
2019,Jul,19
2019,Aug,36
2019,Sep,95
2019,Oct,54
2019,Nov,48
2019,Dec,71
2020,Jan,58
2020,Feb,38
2020,Mar,19
2020,Apr,20
2020,May,46
2020,Jun,22
2020,Jul,18
2020,Aug,18
2020,Sep,14
2020,Oct,24
2020,Nov,13
2020,Dec,26
2021,Jan,32
2021,Feb,14
2021,Mar,17
2021,Apr,29
2021,May,25
2021,Jun,23
2021,Jul,16
2021,Aug,27
2021,Sep,36
2021,Oct,26
2021,Nov,41
2021,Dec,28
2022,Jan,40
2022,Feb,27
2022,Mar,30
