Owner:,BASS CARL
Cname:,AUTODESK INC
Google Trends Search Term:,None
Google Trends Suggestion:,None
Category:,Unreliable

Year,Month,SVI Data
2004,Jan,65
2004,Feb,25
2004,Mar,16
2004,Apr,74
2004,May,45
2004,Jun,35
2004,Jul,95
2004,Aug,32
2004,Sep,41
2004,Oct,52
2004,Nov,64
2004,Dec,48
2005,Jan,17
2005,Feb,44
2005,Mar,37
2005,Apr,17
2005,May,100
2005,Jun,55
2005,Jul,47
2005,Aug,29
2005,Sep,34
2005,Oct,44
2005,Nov,59
2005,Dec,55
2006,Jan,33
2006,Feb,28
2006,Mar,40
2006,Apr,37
2006,May,40
2006,Jun,21
2006,Jul,15
2006,Aug,57
2006,Sep,19
2006,Oct,26
2006,Nov,34
2006,Dec,26
2007,Jan,26
2007,Feb,36
2007,Mar,14
2007,Apr,37
2007,May,40
2007,Jun,11
2007,Jul,30
2007,Aug,26
2007,Sep,39
2007,Oct,37
2007,Nov,35
2007,Dec,36
2008,Jan,40
2008,Feb,35
2008,Mar,16
2008,Apr,31
2008,May,18
2008,Jun,17
2008,Jul,27
2008,Aug,37
2008,Sep,24
2008,Oct,38
2008,Nov,32
2008,Dec,39
2009,Jan,16
2009,Feb,36
2009,Mar,26
2009,Apr,18
2009,May,29
2009,Jun,14
2009,Jul,27
2009,Aug,35
2009,Sep,26
2009,Oct,28
2009,Nov,27
2009,Dec,20
2010,Jan,33
2010,Feb,17
2010,Mar,26
2010,Apr,24
2010,May,43
2010,Jun,17
2010,Jul,22
2010,Aug,26
2010,Sep,30
2010,Oct,15
2010,Nov,18
2010,Dec,17
2011,Jan,26
2011,Feb,19
2011,Mar,18
2011,Apr,19
2011,May,21
2011,Jun,19
2011,Jul,12
2011,Aug,19
2011,Sep,23
2011,Oct,23
2011,Nov,35
2011,Dec,15
2012,Jan,23
2012,Feb,20
2012,Mar,25
2012,Apr,15
2012,May,16
2012,Jun,20
2012,Jul,15
2012,Aug,15
2012,Sep,31
2012,Oct,19
2012,Nov,12
2012,Dec,17
2013,Jan,21
2013,Feb,14
2013,Mar,21
2013,Apr,11
2013,May,28
2013,Jun,17
2013,Jul,12
2013,Aug,15
2013,Sep,17
2013,Oct,26
2013,Nov,10
2013,Dec,21
2014,Jan,23
2014,Feb,15
2014,Mar,19
2014,Apr,15
2014,May,19
2014,Jun,18
2014,Jul,17
2014,Aug,19
2014,Sep,16
2014,Oct,21
2014,Nov,19
2014,Dec,25
2015,Jan,20
2015,Feb,21
2015,Mar,14
2015,Apr,13
2015,May,23
2015,Jun,14
2015,Jul,11
2015,Aug,15
2015,Sep,21
2015,Oct,27
2015,Nov,16
2015,Dec,18
2016,Jan,16
2016,Feb,19
2016,Mar,18
2016,Apr,15
2016,May,16
2016,Jun,15
2016,Jul,13
2016,Aug,15
2016,Sep,11
2016,Oct,13
2016,Nov,22
2016,Dec,17
2017,Jan,12
2017,Feb,32
2017,Mar,16
2017,Apr,16
2017,May,16
2017,Jun,12
2017,Jul,14
2017,Aug,12
2017,Sep,12
2017,Oct,13
2017,Nov,10
2017,Dec,17
2018,Jan,9
2018,Feb,17
2018,Mar,15
2018,Apr,19
2018,May,11
2018,Jun,11
2018,Jul,15
2018,Aug,12
2018,Sep,14
2018,Oct,14
2018,Nov,16
2018,Dec,12
2019,Jan,13
2019,Feb,14
2019,Mar,10
2019,Apr,12
2019,May,16
2019,Jun,10
2019,Jul,9
2019,Aug,10
2019,Sep,13
2019,Oct,12
2019,Nov,11
2019,Dec,13
2020,Jan,14
2020,Feb,13
2020,Mar,11
2020,Apr,15
2020,May,16
2020,Jun,9
2020,Jul,14
2020,Aug,24
2020,Sep,12
2020,Oct,11
2020,Nov,10
2020,Dec,8
2021,Jan,11
2021,Feb,19
2021,Mar,11
2021,Apr,13
2021,May,14
2021,Jun,10
2021,Jul,10
2021,Aug,10
2021,Sep,16
2021,Oct,10
2021,Nov,12
2021,Dec,9
2022,Jan,11
2022,Feb,9
2022,Mar,8
